a,b,theta,A1,A2,status
6,7.2,65,0,2,Done
6,7.2,65,0,4,Done
6,7.2,65,0,6,Done
6,7.3,65,0,8,Done
6,7.3,65,0,10,Done
6,7.4,65,0,12,Done
6,7.4,65,0,14,Done
6,7.5,65,0,16,Done
6,7.6,65,0,18,Done
6,7.7,65,0,20,Done
6,7.8,65,0,22,Done
6,7.9,65,0,24,Done
6,8.0,65,0,26,Done
6,8.2,65,0,28,Done
6,8.3,65,0,30,Done
6,8.5,65,0,32,Done
6,8.7,65,0,34,Done
