theta,a,b,z,E,status,machine_type,file_name
0,3.8,0.0,1.1,-3.4350173504499253,Done,3,C5_theta=0_a=3.8_b=0.0_z=1.1.log
0,3.8,0.0,1.2,-3.5155733191641048,Done,3,C5_theta=0_a=3.8_b=0.0_z=1.2.log
0,3.8,0.0,1.3,-3.5544425435946323,Done,3,C5_theta=0_a=3.8_b=0.0_z=1.3.log
0,3.8,0.0,1.4,-3.550831851054681,Done,3,C5_theta=0_a=3.8_b=0.0_z=1.4.log
0,3.8,0.0,1.5,-3.506053992488887,Done,3,C5_theta=0_a=3.8_b=0.0_z=1.5.log
0,3.8,0.0,1.6,-3.4236456142098177,Done,3,C5_theta=0_a=3.8_b=0.0_z=1.6.log
0,3.8,0.0,1.7,-3.3081919318647124,Done,3,C5_theta=0_a=3.8_b=0.0_z=1.7.log
0,3.8,0.0,1.8,-3.165302257257281,Done,3,C5_theta=0_a=3.8_b=0.0_z=1.8.log
0,3.8,0.0,1.9,-3.0031354755046777,Done,3,C5_theta=0_a=3.8_b=0.0_z=1.9.log
0,3.8,0.0,2.0,-2.8303744423610624,Done,3,C5_theta=0_a=3.8_b=0.0_z=2.0.log
0,3.8,0.0,2.1,-2.6542750560038257,Done,3,C5_theta=0_a=3.8_b=0.0_z=2.1.log
0,3.8,0.0,2.2,-2.4828625419177115,Done,3,C5_theta=0_a=3.8_b=0.0_z=2.2.log
0,3.8,0.0,2.3,-2.3250092638481874,Done,3,C5_theta=0_a=3.8_b=0.0_z=2.3.log
0,3.8,0.0,2.4,-2.187411381077254,Done,3,C5_theta=0_a=3.8_b=0.0_z=2.4.log
0,3.8,0.0,2.5,-2.0752791091508698,Done,3,C5_theta=0_a=3.8_b=0.0_z=2.5.log
