cx,cy,cz,a,b,theta,z,E,Ei0,Eip1,Eip2,Eip3,Eip4,Eit1,Eit2,Eit3,Eit4,Ei0_,Eip1_,Eip2_,Eip3_,Eip4_,Eit1_,Eit2_,Eit3_,Eit4_,status,file_name,machine_type
-3.5,1.1,8.7,7.0,4.8,45,-1.3,-3.5126102170033846,-0.6259751105681062,-0.0394289633259177,-0.1269628432928584,-0.0073493971140123,-0.7663089368725196,-0.0287380754889454,-0.0446009007864631,-1.3278996389417443,-0.5418793578865007,-0.7662825814913958,-0.0496705539990216,-0.1221830996219068,-0.0087543920380994,-0.6260253113578074,-0.0287380754889454,-0.0446015282650478,-1.3279335244442336,-0.5418881430232432,Done,C6_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.5_cy=1.1_cz=8.7.log,3
-3.4,1.1,8.7,7.0,4.8,45,-1.3,-3.5229889186739456,-0.6761307297856547,-0.0409274572157301,-0.1325665076146833,-0.0076687997207045,-0.7588603932235856,-0.0303024579188786,-0.04716490660212,-1.3282824199995955,-0.5450131428369787,-0.7628701821085997,-0.0515461814356967,-0.1272050621919334,-0.0091534883249551,-0.5774798827478662,-0.0303024579188786,-0.0471655341389123,-1.328316305560293,-0.545021928002825,Done,C6_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.4_cy=1.1_cz=8.7.log,3
-3.3,1.1,8.7,7.0,4.8,45,-1.3,-3.531746761931572,-0.7276913440146018,-0.0424887021072208,-0.1383490122389048,-0.0080045175855048,-0.7427509564731736,-0.031972261989722,-0.0499008501938078,-1.329352324566571,-0.5541666311619338,-0.7460391088970937,-0.0534669895423576,-0.1324209253070876,-0.0095745475846342,-0.5318799860251602,-0.031972261989722,-0.0499014777306001,-1.3293855825613718,-0.5541760438936763,Done,C6_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.3_cy=1.1_cz=8.7.log,3
-3.2,1.1,8.7,7.0,4.8,45,-1.3,-3.5375104412960354,-0.7808803466323297,-0.0441158355097286,-0.1443266724818386,-0.0083565507084131,-0.7200156416802201,-0.0337562729255296,-0.0528275568503886,-1.3308483084256295,-0.5688378149934579,-0.7125928258465137,-0.0554323508986271,-0.1378331989690195,-0.0100200796732679,-0.4888641755387652,-0.0337562729255296,-0.0528288119239732,-1.330881566478638,-0.5688466001302004,Done,C6_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.2_cy=1.1_cz=8.7.log,3
-3.1,1.1,8.6,7.0,4.8,45,-1.3,-3.426765280193649,-0.8915762481337879,-0.0488365932251326,-0.1561627661285456,-0.0089495476568117,-0.7211721425992437,-0.0373380999953951,-0.0578714822768233,-1.3423800596501678,-0.4332975375582464,-0.5819082207744941,-0.0620155583019368,-0.1478545337449759,-0.0107417161925695,-0.482486791384872,-0.0373380999953951,-0.0578727372339926,-1.3424139452399686,-0.4333144802949391,Done,C6_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.1_cy=1.1_cz=8.6.log,3
-3.0,1.1,8.6,7.0,4.8,45,-1.3,-3.4187613901449367,-0.9462078963115346,-0.050761166436132,-0.1629850548342801,-0.0093524089897982,-0.6918812307994813,-0.0395124221977312,-0.0613867932406719,-1.347144115541596,-0.4702120682923123,-0.4686646286281757,-0.0643172650015913,-0.1538560393382795,-0.0112512542982585,-0.4416854637383949,-0.0395124221977312,-0.0613880483142565,-1.3471767461160198,-0.4702277560136281,Done,C6_a=7.0_b=4.8_theta=45_z=-1.3_cx=-3.0_cy=1.1_cz=8.6.log,3
-2.9,1.1,8.7,7.0,4.8,45,-1.3,-3.502802235627314,-0.93749491989729,-0.0493423663428984,-0.1636188399570528,-0.0095274843042716,-0.6270161496067885,-0.0398945757478941,-0.0629323503526393,-1.3332968524191529,-0.6358972986345179,-0.4712493423430715,-0.0616239920491352,-0.1551192170009017,-0.011506023351103,-0.3750250764132943,-0.0398952032846864,-0.0629336054262239,-1.3333269728464074,-0.6359042012772989,Done,C6_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.9_cy=1.1_cz=8.7.log,3
-2.8,1.2,8.7,7.0,4.8,45,-1.3,-3.40837704083242,-0.9652609823679086,-0.0532517536194063,-0.15719313750742,-0.0099083828972652,-0.5743354300502688,-0.0426505996729247,-0.0643498954887036,-1.2823681408772245,-0.6240612050169148,-0.4680182933225296,-0.066601401369553,-0.1490392725681886,-0.0119703807285986,-0.3342839896504301,-0.042651227209717,-0.0643498954595997,-1.2823944962292444,-0.6240655976289418,Done,C6_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.8_cy=1.2_cz=8.7.log,3
-2.7,0.3,9.2,7.0,4.8,45,-1.3,-3.247035434716963,-0.827561443002196,-0.0287801186786964,-0.2839112519286573,-0.0093498989590443,-0.485969471919816,-0.0316001485916785,-0.0779913353908341,-1.3048587266821414,-0.5237123158585746,-0.4189037131145596,-0.033096132450737,-0.2761389130901079,-0.011561244202312,-0.2424491561250761,-0.0316001485916785,-0.0779925904062111,-1.304888219689019,-0.523706040752586,Done,C6_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.7_cy=0.3_cz=9.2.log,3
-2.6,0.3,9.3,7.0,4.8,45,-1.3,-3.2168089055776363,-0.8059631763317157,-0.0278696016175672,-0.2841315078840125,-0.0095023838803172,-0.4206394057546276,-0.0316585070686414,-0.0798669627693016,-1.3612398726982065,-0.4687374197819736,-0.4758477356226649,-0.0317689487710595,-0.2773311820346862,-0.0117890303954482,-0.2057511163584422,-0.0316585070686414,-0.0798694728291593,-1.36126120807603,-0.4687317722127773,Done,C6_a=7.0_b=4.8_theta=45_z=-1.3_cx=-2.6_cy=0.3_cz=9.3.log,3
