a,b,theta,A2,z,status
8.2,6.0,30.0,9,0.4,NotYet
8.2,6.0,30.0,9,0.5,NotYet
8.2,6.0,30.0,9,0.6,NotYet
8.2,6.0,30.0,9,0.7,NotYet
8.2,6.0,30.0,9,0.8,NotYet
8.2,6.0,30.0,9,0.9,NotYet
8.2,6.0,30.0,9,1.0,NotYet
8.2,6.0,30.0,10,-0.9,NotYet
8.2,6.0,30.0,10,-0.7,NotYet
8.2,6.0,30.0,10,-0.5,NotYet
8.2,6.0,30.0,10,-0.3,NotYet
8.2,6.0,30.0,10,-0.1,NotYet
8.2,6.0,30.0,10,0.1,NotYet
8.2,6.0,30.0,10,0.3,NotYet
8.2,6.0,30.0,10,0.5,NotYet
8.2,6.0,30.0,10,0.7,NotYet
8.2,6.0,30.0,10,0.9,NotYet
