cx,cy,cz,a,b,theta,A1,A2,status
0,4.9,7,5.9,8,73,-15,29,NotYet
0,4.9,7,5.8,8.1,72,-16,29,NotYet
0,4.9,7,5.9,8.1,72,-16,29,NotYet
0,4.9,7,6,8.1,72,-16,29,NotYet
0,4.9,7,5.8,8.1,72,-15,29,NotYet
0,4.9,7,5.9,8.1,72,-15,29,NotYet
0,4.9,7,6,8.1,72,-15,29,NotYet
0,4.9,7,5.8,8.1,72,-14,29,NotYet
0,4.9,7,5.9,8.1,72,-14,29,NotYet
0,4.9,7,6,8.1,72,-14,29,NotYet
0,4.9,7,5.8,8.1,73,-16,29,NotYet
0,4.9,7,5.9,8.1,73,-16,29,NotYet
0,4.9,7,6,8.1,73,-16,29,NotYet
0,4.9,7,5.8,8.1,73,-15,29,NotYet
0,4.9,7,5.9,8.1,73,-15,29,NotYet
0,4.9,7,6,8.1,73,-15,29,NotYet
0,4.9,7,5.8,8.1,73,-14,29,NotYet
0,4.9,7,5.9,8.1,73,-14,29,NotYet
0,4.9,7,6,8.1,73,-14,29,NotYet
0,4.9,7,5.8,8.1,74,-16,29,NotYet
0,4.9,7,5.9,8.1,74,-16,29,NotYet
0,4.9,7,6,8.1,74,-16,29,NotYet
0,4.9,7,5.8,8.1,74,-15,29,NotYet
0,4.9,7,5.9,8.1,74,-15,29,NotYet
0,4.9,7,6,8.1,74,-15,29,NotYet
0,4.9,7,5.8,8.1,74,-14,29,NotYet
0,4.9,7,5.9,8.1,74,-14,29,NotYet
0,4.9,7,6,8.1,74,-14,29,NotYet
0,4.9,7,5.8,7.9,72,-16,29,NotYet
0,4.9,7,5.8,8,72,-16,29,NotYet
0,4.9,7,5.9,7.9,72,-16,29,NotYet
0,4.9,7,5.9,8,72,-16,29,NotYet
0,4.9,7,6,7.9,72,-16,29,NotYet
0,4.9,7,6,8,72,-16,29,NotYet
0,4.9,7,5.8,7.9,72,-15,29,NotYet
0,4.9,7,5.8,8,72,-15,29,NotYet
0,4.9,7,5.9,7.9,72,-15,29,NotYet
0,4.9,7,5.9,8,72,-15,29,NotYet
0,4.9,7,6,7.9,72,-15,29,NotYet
0,4.9,7,6,8,72,-15,29,NotYet
0,4.9,7,5.8,7.9,72,-14,29,NotYet
0,4.9,7,5.8,8,72,-14,29,NotYet
