cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.7,-0.7,13.1,7.45,5.75,25,1.7,1.5,0,0,-5.228464148,-1.094767751,-0.135640052,-0.278065996,-1.645163047,-0.064166663,-0.33977533,-0.097721505,-0.155651973,-1.76077047,-1.435530782,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.7_cy=-0.7_cz=13.1.log
1.6,-0.8,13.3,7.45,5.75,25,1.7,1.5,0,0,-5.226591659,-1.232000423,-0.123217864,-0.230922425,-1.56466983,-0.05738579,-0.300961326,-0.092286013,-0.145016934,-1.88219993,-1.352509954,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.6_cy=-0.8_cz=13.3.log
1.8,-0.8,13.2,7.45,5.75,25,1.7,1.5,0,0,-5.22636952,-1.324561913,-0.13115712,-0.227454805,-1.682526248,-0.05895833,-0.30121484,-0.090786892,-0.139406367,-1.747536284,-1.38570335,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.8_cy=-0.8_cz=13.2.log
1.7,-0.7,13.3,7.45,5.75,25,1.7,1.5,0,0,-5.216014978,-1.390025011,-0.118627,-0.242127244,-1.582822439,-0.052458581,-0.312595361,-0.088207826,-0.142428455,-1.80579745,-1.330253429,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.7_cy=-0.7_cz=13.3.log
1.6,-0.9,13.1,7.45,5.75,25,1.7,1.5,0,0,-5.212819069,-0.556706792,-0.146956567,-0.242118458,-1.642127154,-0.074013549,-0.308630753,-0.103723638,-0.154772831,-1.951589358,-1.517456605,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.6_cy=-0.9_cz=13.1.log
1.7,-0.9,13.3,7.45,5.75,25,1.7,1.5,0,0,-5.212755063,-1.228603084,-0.127561488,-0.203485178,-1.594558131,-0.058166412,-0.278805203,-0.090277354,-0.135823285,-1.847568908,-1.393495769,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.7_cy=-0.9_cz=13.3.log
1.8,-0.9,13.1,7.45,5.75,25,1.7,1.5,0,0,-5.186055767,-1.007252697,-0.145588595,-0.222704554,-1.765218261,-0.068822787,-0.29618221,-0.096548061,-0.14214482,-1.806758795,-1.38771954,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.8_cy=-0.9_cz=13.1.log
1.6,-0.9,13.3,7.45,5.75,25,1.7,1.5,0,0,-5.171769875,-1.140981353,-0.127782371,-0.21211595,-1.582432128,-0.060375247,-0.283994711,-0.093358428,-0.141480287,-1.849737582,-1.383352698,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.6_cy=-0.9_cz=13.3.log
1.8,-0.9,13.3,7.45,5.75,25,1.7,1.5,0,0,-5.170457124,-1.29390805,-0.127146076,-0.194962337,-1.584869377,-0.056113199,-0.273411127,-0.087280993,-0.130424816,-1.806267455,-1.381278777,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.8_cy=-0.9_cz=13.3.log
1.8,-0.8,13.3,7.45,5.75,25,1.7,1.5,0,0,-5.156636844,-1.380868385,-0.122665655,-0.212282868,-1.591748141,-0.053222888,-0.289190494,-0.086315256,-0.1334833,-1.759287664,-1.352561409,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=0.0_A2=0.0_cx=1.8_cy=-0.8_cz=13.3.log
