theta,A2,phi,a,b,z,status
30.0,-10.0,199,8.4,5.9,-2.0,NotYet
30.0,-10.0,201,8.3,6.0,-1.8,NotYet
30.0,-10.0,203,8.3,6.0,-1.6,NotYet
30.0,-10.0,205,8.3,6.0,-1.4,NotYet
30.0,-10.0,205,8.2,6.1,-1.2,NotYet
30.0,-8.0,199,8.3,5.9,-2.0,NotYet
30.0,-8.0,199,8.3,5.9,-1.8,NotYet
30.0,-8.0,202,8.2,6.0,-1.6,NotYet
30.0,-8.0,202,8.2,6.0,-1.4,NotYet
30.0,-8.0,202,8.2,6.0,-1.2,NotYet
30.0,-6.0,198,8.2,5.9,-2.0,NotYet
30.0,-6.0,199,8.2,5.9,-1.8,NotYet
30.0,-6.0,200,8.1,6.0,-1.6,NotYet
30.0,-6.0,200,8.1,6.0,-1.4,NotYet
30.0,-6.0,200,8.1,6.0,-1.2,NotYet
30.0,-4.0,197,8.2,5.8,-2.0,NotYet
30.0,-4.0,197,8.1,5.9,-1.8,NotYet
30.0,-4.0,197,8.1,5.9,-1.6,NotYet
30.0,-4.0,197,8.1,6.0,-1.4,NotYet
30.0,-4.0,197,8.1,6.0,-1.2,NotYet
30.0,-2.0,196,8.2,5.8,-2.0,NotYet
30.0,-2.0,194,8.2,5.8,-1.8,NotYet
30.0,-2.0,193,8.1,5.9,-1.6,NotYet
30.0,-2.0,193,8.1,6.0,-1.4,NotYet
30.0,-2.0,193,8.1,6.0,-1.2,NotYet
30.0,0.0,193,8.3,5.7,-2.0,NotYet
30.0,0.0,190,8.2,5.8,-1.8,NotYet
30.0,0.0,190,8.2,5.9,-1.6,NotYet
30.0,0.0,190,8.2,5.9,-1.4,NotYet
30.0,0.0,190,8.1,6.0,-1.2,NotYet
30.0,2.0,187,8.3,5.7,-2.0,NotYet
30.0,2.0,188,8.3,5.8,-1.8,NotYet
30.0,2.0,188,8.3,5.8,-1.6,NotYet
30.0,2.0,187,8.2,5.9,-1.4,NotYet
30.0,2.0,186,8.2,6.0,-1.2,NotYet
30.0,4.0,183,8.4,5.7,-2.0,NotYet
30.0,4.0,183,8.4,5.7,-1.8,NotYet
30.0,4.0,183,8.4,5.8,-1.6,NotYet
30.0,4.0,183,8.3,5.9,-1.4,NotYet
30.0,4.0,182,8.3,5.9,-1.2,NotYet
30.0,6.0,180,8.5,5.6,-2.0,NotYet
30.0,6.0,180,8.5,5.7,-1.8,NotYet
30.0,6.0,180,8.5,5.8,-1.6,NotYet
30.0,6.0,180,8.5,5.8,-1.4,NotYet
30.0,6.0,180,8.5,5.8,-1.2,NotYet
30.0,8.0,180,8.6,5.6,-2.0,NotYet
30.0,8.0,180,8.6,5.7,-1.8,NotYet
30.0,8.0,173,8.6,5.8,-1.6,NotYet
30.0,8.0,173,8.7,5.8,-1.4,NotYet
30.0,8.0,173,8.7,5.8,-1.2,NotYet
30.0,10.0,177,8.9,5.5,-2.0,NotYet
30.0,10.0,169,8.8,5.7,-1.8,NotYet
30.0,10.0,169,8.9,5.7,-1.6,NotYet
30.0,10.0,169,8.8,5.8,-1.4,NotYet
30.0,10.0,169,8.9,5.7,-1.2,NotYet
