a,b,theta,A1,A2,phi_r,status
6.1,7.9,67.5,5,-11,92,NotYet
6.1,7.9,66.5,5,-11,91,NotYet
6,8,65.5,5,-11,90,NotYet
6,8,64.5,5,-11,89,NotYet
5.9,8.1,63.5,5,-11,88,InProgress
5.9,8.1,62.5,5,-11,86,InProgress
