a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,E_m,machine_type,status,file_name
5.9,8.2,63.5,5,-11,88,-28.20897159,-0.423983407,-7.000300757,-9.596033523,-9.519740857,-1.668913046,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=88_cx=0_cy=0_cz=0.log
5.9,8,63.5,5,-11,86,-28.2081119,-0.508439978,-6.979028168,-9.634368108,-9.429467268,-1.656808378,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.9_b=8.0_phi_r=86_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-11,85,-28.20515633,-0.457561467,-7.341151639,-9.505885436,-9.25077752,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=85_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-11,83,-28.19982877,-0.423186469,-7.319100937,-9.451775249,-9.373072944,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=83_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-11,84,-28.19881848,-0.459080041,-7.329912934,-9.491904513,-9.2761352,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=84_cx=0_cy=0_cz=0.log
5.9,8.2,63.5,5,-11,86,-28.19660337,-0.427008005,-6.979028168,-9.585133674,-9.548625142,-1.656808378,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=86_cx=0_cy=0_cz=0.log
5.8,8.2,62.5,5,-11,84,-28.19281948,-0.444063727,-7.186997532,-9.509380667,-9.410591767,-1.641785789,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.3,62.5,5,-11,86,-28.18660086,-0.405277333,-7.208684277,-9.49863142,-9.417199448,-1.656808378,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=86_cx=0_cy=0_cz=0.log
5.8,8.3,62.5,5,-11,87,-28.18420377,-0.403802685,-7.220274387,-9.495581722,-9.401436396,-1.663108578,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=87_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-11,85,-28.18139252,-0.457561467,-7.154078357,-9.541433877,-9.378538557,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=85_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-11,84,-28.17892013,-0.459080041,-7.143354211,-9.536344771,-9.398355322,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.3,62.5,5,-11,85,-28.17711291,-0.40662648,-7.197608726,-9.491760186,-9.431337248,-1.649780266,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=85_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-11,83,-28.17614027,-0.460454288,-7.319100937,-9.46408072,-9.299811152,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=83_cx=0_cy=0_cz=0.log
5.9,8.2,63.5,5,-11,85,-28.16851602,-0.428325776,-6.969151161,-9.560905513,-9.560353304,-1.649780266,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=85_cx=0_cy=0_cz=0.log
6,8.1,62.5,5,-11,86,-28.16754338,-0.480873463,-6.885485252,-9.639727044,-9.504649241,-1.656808378,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=6.0_b=8.1_phi_r=86_cx=0_cy=0_cz=0.log
5.7,8.4,60.5,5,-11,84,-28.16610638,-0.401826028,-7.566289676,-9.352672594,-9.203532293,-1.641785789,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.7_b=8.4_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-11,82,-28.16391009,-0.424303436,-7.308784673,-9.42176772,-9.386526759,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=82_cx=0_cy=0_cz=0.log
6,8.1,62.5,5,-11,85,-28.16296883,-0.482486164,-6.875777673,-9.631073681,-9.523851047,-1.649780266,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=6.0_b=8.1_phi_r=85_cx=0_cy=0_cz=0.log
5.7,8.4,60.5,5,-11,83,-28.16295628,-0.403118699,-7.554059507,-9.352289813,-9.220795093,-1.632693169,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.7_b=8.4_phi_r=83_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-11,83,-28.16180166,-0.460454288,-7.133157174,-9.519169823,-9.416327209,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.2_phi_r=83_cx=0_cy=0_cz=0.log
5.8,8.3,60.5,5,-11,84,-28.16052154,-0.436433205,-7.414193803,-9.427434136,-9.240674609,-1.641785789,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.3,60.5,5,-11,83,-28.16008856,-0.437845103,-7.402829597,-9.425946937,-9.260773755,-1.632693169,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=83_cx=0_cy=0_cz=0.log
6,8.1,62.5,5,-11,87,-28.15946105,-0.47912271,-6.895782691,-9.637806863,-9.483640206,-1.663108578,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=6.0_b=8.1_phi_r=87_cx=0_cy=0_cz=0.log
5.8,8.1,62.5,5,-11,86,-28.15887119,-0.480873463,-7.208684277,-9.563986587,-9.248518484,-1.656808378,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.8_b=8.1_phi_r=86_cx=0_cy=0_cz=0.log
5.8,8.1,62.5,5,-11,87,-28.15749067,-0.47912271,-7.220274387,-9.579322931,-9.215662061,-1.663108578,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.8_b=8.1_phi_r=87_cx=0_cy=0_cz=0.log
5.8,8.2,63.5,5,-11,88,-28.15482375,-0.423983407,-7.020374802,-9.600689647,-9.44086285,-1.668913046,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=88_cx=0_cy=0_cz=0.log
5.8,8.3,62.5,5,-11,84,-28.15307927,-0.407850125,-7.186997532,-9.472658781,-9.443787046,-1.641785789,3,Done,mono-C4-BTBT_theta=62.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.1,63.5,5,-11,88,-28.15194348,-0.462424669,-7.020374802,-9.644006662,-9.356224301,-1.668913046,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.8_b=8.1_phi_r=88_cx=0_cy=0_cz=0.log
5.8,8.2,63.5,5,-11,87,-28.15142265,-0.425564732,-7.008985495,-9.592613593,-9.461150248,-1.663108578,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.8_b=8.2_phi_r=87_cx=0_cy=0_cz=0.log
5.7,8.4,60.5,5,-11,82,-28.1470991,-0.404285868,-7.542576073,-9.341320938,-9.236388716,-1.622527507,3,Done,mono-C4-BTBT_theta=60.5_A1=5_A2=-11_a=5.7_b=8.4_phi_r=82_cx=0_cy=0_cz=0.log
5.8,8.1,63.5,5,-11,87,-28.1469485,-0.464137772,-7.008985495,-9.625451191,-9.385265464,-1.663108578,3,Done,mono-C4-BTBT_theta=63.5_A1=5_A2=-11_a=5.8_b=8.1_phi_r=87_cx=0_cy=0_cz=0.log
