cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.9,-0.8,15.7,7.2,6.0,25,0.0,0.0,-4.070586147368886,-1.4181631873361766,-0.2912863770034164,-0.063353409525007,-1.6316954279318452,-0.2017770954407751,-0.1333935656584799,-0.2023663272848352,-0.1475985096767544,-0.671235524234362,-1.1795512547250837,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.8_cz=15.7.log
1.9,-0.8,15.9,7.2,6.0,25,0.0,0.0,-3.6312475713784806,-1.341674110852182,-0.2588641904294491,-0.0551531089004129,-1.4040630377130583,-0.1663943165913224,-0.1215248415246605,-0.184727648855187,-0.1354066178901121,-0.559329783427529,-1.07794671820011,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.8_cz=15.9.log
1.8,-0.7,15.7,7.2,6.0,25,0.0,0.0,-4.122783056925982,-1.4391126087866724,-0.2826907448470592,-0.0706601361744105,-1.6417437454219908,-0.1938905497081577,-0.1410906033124774,-0.2097998107783496,-0.1578175099566579,-0.6955584394745529,-1.1750131025910378,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.7_cz=15.7.log
1.8,-0.7,15.9,7.2,6.0,25,0.0,0.0,-3.672040427511092,-1.38196464558132,-0.2510680062696337,-0.0614294637925922,-1.4450858765048906,-0.1603877909947186,-0.1281526021193713,-0.1911414285423234,-0.144461587187834,-0.5801066394196823,-1.0422865797299892,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.7_cz=15.9.log
1.8,-0.6,15.6,7.2,6.0,25,0.0,0.0,-4.301335379655939,-1.4459330149693417,-0.2845092690549791,-0.0807894023600965,-1.6928839278407397,-0.1959763932973146,-0.1552635442931205,-0.2160378877306357,-0.1688918062718585,-0.8002785632852465,-1.188449346460402,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.6_cz=15.6.log
1.8,-0.6,15.8,7.2,6.0,25,0.0,0.0,-3.9348673433996737,-1.4794188309460878,-0.2534236784558743,-0.0701367927249521,-1.553262952947989,-0.1630446682684123,-0.1409789067693054,-0.1970789281185716,-0.1546969027258455,-0.6714796256273985,-1.0814789718715474,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.6_cz=15.8.log
1.8,-0.5,15.6,7.2,6.0,25,0.0,0.0,-4.325754931312986,-1.5067926996853205,-0.2700840688776225,-0.086385536706075,-1.67337087681517,-0.1805634924676269,-0.1629806621931493,-0.2123587967362254,-0.1729386184597388,-0.8408395544392988,-1.1595292933052406,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.5_cz=15.6.log
1.8,-0.5,15.8,7.2,6.0,25,0.0,0.0,-3.9472882768604896,-1.5077973431907594,-0.2409977256320417,-0.0748167622368782,-1.5537461356725544,-0.1510567171499133,-0.1477999403141439,-0.1937750880606472,-0.158369718817994,-0.7076242018956691,-1.0494119559880346,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.5_cz=15.8.log
1.8,-0.4,15.6,7.2,6.0,25,0.0,0.0,-4.341087824432179,-1.5465548711363226,-0.2564244312234223,-0.0923945722170174,-1.6534436694346368,-0.1667482322081923,-0.1711332721170038,-0.2085968740284443,-0.1769753901753574,-0.8802961285691708,-1.131869907490909,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.4_cz=15.6.log
1.8,-0.4,15.8,7.2,6.0,25,0.0,0.0,-3.954430908896029,-1.524752663448453,-0.2291653968859464,-0.0798970831092447,-1.5524051464162767,-0.1398769991938024,-0.1549836746416986,-0.1903959466144442,-0.162026847130619,-0.7439670709427446,-1.0175005623605102,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.4_cz=15.8.log
1.8,-0.3,15.6,7.2,6.0,25,0.0,0.0,-4.348973115207627,-1.5698329817969352,-0.2434864302631467,-0.0988064697012305,-1.6347614414989948,-0.1539558134973049,-0.1798092252574861,-0.2047797308769077,-0.1809971019392833,-0.9181312163127586,-1.1047388850711286,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.3_cz=15.6.log
1.8,-0.3,15.8,7.2,6.0,25,0.0,0.0,-3.9579132756916806,-1.533917446853593,-0.2179756385739892,-0.0852660587988793,-1.549964132718742,-0.1295858351513743,-0.1625552105251699,-0.186958446749486,-0.1656707976944744,-0.7802026357967407,-0.9854492341401055,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.3_cz=15.8.log
1.8,-0.2,15.6,7.2,6.0,25,0.0,0.0,-4.352109409752302,-1.5824559729080647,-0.2312675553839653,-0.1059663586784154,-1.6187461314257234,-0.1422803623136133,-0.189022327074781,-0.2008960715029388,-0.1849981055129319,-0.9539720774628222,-1.0773738013813272,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.2_cz=15.6.log
1.8,-0.2,15.8,7.2,6.0,25,0.0,0.0,-3.9592206929810345,-1.5383501776959747,-0.2074836713727563,-0.0909751448780298,-1.547157280612737,-0.1204354842193424,-0.1706124390475452,-0.1834638436557725,-0.1692840001778677,-0.8160460069775581,-0.9529197432566434,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.2_cz=15.8.log
1.9,-0.1,15.6,7.2,6.0,25,0.0,0.0,-4.392656596377492,-1.6884148018434644,-0.2163867834024131,-0.1090185672510415,-1.6981198713183403,-0.1263529034331441,-0.1959123872220516,-0.1875376384705305,-0.1802591499872505,-0.9800200175959616,-1.0277371330885217,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.1_cz=15.6.log
1.9,-0.1,15.8,7.2,6.0,25,0.0,0.0,-3.964530996163376,-1.5583972395397725,-0.1948192645795643,-0.0931450745556503,-1.5599735446739942,-0.1074384972453117,-0.1768975791055709,-0.1717626648023724,-0.1651913799578324,-0.8596140261506662,-0.9226273254025728,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.1_cz=15.8.log
1.9,0.0,15.5,7.2,6.0,25,0.0,0.0,-4.520361784030683,-1.698587366263382,-0.2166327673476189,-0.1269741381984204,-1.698587366263382,-0.1269741381984204,-0.2166327673476189,-0.1920142949093133,-0.1920142949093133,-1.0470725987106562,-1.047066323691979,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=0.0_cz=15.5.log
1.9,0.0,15.7,7.2,6.0,25,0.0,0.0,-4.201826413162053,-1.6415724349208176,-0.1955446661449968,-0.1083885473199188,-1.6415724349208176,-0.1083885473199188,-0.1955446661449968,-0.1760736585129052,-0.1760736585129052,-0.952086410135962,-0.9520870376145468,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=0.0_cz=15.7.log
2.0,-0.9,15.7,7.2,6.0,25,0.0,0.0,-3.9634987426688895,-1.371308898087591,-0.2993197599425912,-0.0566867436282336,-1.58397831232287,-0.2099560608621686,-0.1262399519328028,-0.1949497866444289,-0.1381996648851782,-0.6447583674453199,-1.1618460603058338,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-0.9_cz=15.7.log
1.8,-0.7,15.6,7.2,6.0,25,0.0,0.0,-4.266501986072399,-1.3608740344643593,-0.2997100711800158,-0.0756965312175452,-1.7102577972691506,-0.2129957193974405,-0.1479417576920241,-0.2196341474773362,-0.1648462496232241,-0.7591622254112735,-1.219121407950297,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.7_cz=15.6.log
1.8,-0.6,15.5,7.2,6.0,25,0.0,0.0,-4.363728385185823,-1.2839971566572783,-0.3011822095140815,-0.086607675300911,-1.7101956738624722,-0.2147991829551756,-0.1628200195264071,-0.2259970988379791,-0.1763434876920655,-0.8692739154212177,-1.2123129243263977,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.6_cz=15.5.log
1.9,-0.8,15.6,7.2,6.0,25,0.0,0.0,-4.211935912491754,-1.3675632909871638,-0.3087085643783211,-0.0678589316084981,-1.7330056622158736,-0.2218159998301416,-0.1396862361580133,-0.2116428075823933,-0.1540129168424755,-0.7329473675927147,-1.1940134778851643,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.8_cz=15.6.log
2.0,-1.0,15.7,7.2,6.0,25,0.0,0.0,-3.911621863546316,-1.2731205261079594,-0.3145149147603661,-0.0531726873014122,-1.5633156630210578,-0.2273493830580264,-0.1206488378811627,-0.1975966239115223,-0.1348839021520689,-0.6070977272465825,-1.1959826041711494,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-1.0_cz=15.7.log
1.8,-0.5,15.5,7.2,6.0,25,0.0,0.0,-4.399261138867587,-1.3733734062407166,-0.2856814577244222,-0.0927309177350252,-1.673900495050475,-0.1973983307834714,-0.1710228305310011,-0.222131009795703,-0.1805917301680892,-0.91083766752854,-1.1886470123426989,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.5_cz=15.5.log
1.8,-0.4,15.5,7.2,6.0,25,0.0,0.0,-4.423186213243753,-1.436399255413562,-0.2709839183371514,-0.0993009475059807,-1.6383307185024023,-0.181893813656643,-0.1797113339416682,-0.2181720493827015,-0.1848305605817586,-0.9501737594837324,-1.1666998501168564,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.4_cz=15.5.log
1.8,-0.3,15.5,7.2,6.0,25,0.0,0.0,-4.437265655142255,-1.4777973452582955,-0.257108417339623,-0.1064144009724259,-1.6057202788069844,-0.1677007924299687,-0.1889784017112106,-0.214138415060006,-0.1890511927194893,-0.9866471507120878,-1.145569078391418,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.3_cz=15.5.log
1.8,-0.2,15.5,7.2,6.0,25,0.0,0.0,-4.444197757693473,-1.5038195572560653,-0.2440034984610974,-0.1143837778363376,-1.5777214099653063,-0.1546360342763364,-0.1988064632751047,-0.2100545798894018,-0.1932793551823124,-1.0199453413952142,-1.1242331106914207,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.2_cz=15.5.log
1.9,0.0,15.4,7.2,6.0,25,0.0,0.0,-4.551929929293692,-1.6364400307647884,-0.2278426059056073,-0.1372765977866947,-1.6364400307647884,-0.1372765977866947,-0.2278426059056073,-0.2004116335883736,-0.2004116335883736,-1.0747765375999734,-1.074770890059881,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=0.0_cz=15.4.log
1.9,-0.1,15.5,7.2,6.0,25,0.0,0.0,-4.518073882209137,-1.687306618783623,-0.2278601760044694,-0.1178112374618649,-1.7098994890693575,-0.1368762461934238,-0.2060115330386907,-0.1958534010918811,-0.1881664035608992,-1.0293510886840522,-1.06182033859659,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.1_cz=15.5.log
2.0,-1.0,15.6,7.2,6.0,25,0.0,0.0,-4.000099518103525,-1.2036746216472238,-0.3335165448952466,-0.0568737413268536,-1.6820054145064205,-0.2505948634352535,-0.1260780540760606,-0.2064721252536401,-0.1405823203967884,-0.6637079145293683,-1.1629655379801989,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-1.0_cz=15.6.log
1.8,-0.3,15.4,7.2,6.0,25,0.0,0.0,-4.409903081483208,-1.2688992663752288,-0.2713277940638363,-0.1145757960621267,-1.5027032170910388,-0.1826116850133985,-0.1985265936236828,-0.2238102267729118,-0.1973983305506408,-1.0523970209760591,-1.1669753270689398,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.3_cz=15.4.log
2.0,-0.9,15.6,7.2,6.0,25,0.0,0.0,-4.076266995398328,-1.3357667315285653,-0.3170858232770115,-0.0606814720667898,-1.700479936320335,-0.2309538004919886,-0.1319942183326929,-0.2036897459765896,-0.1440618631895631,-0.7043906426988542,-1.1356437525246292,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-0.9_cz=15.6.log
1.9,-0.8,15.5,7.2,6.0,25,0.0,0.0,-4.259938545292243,-1.2165592843666673,-0.3269615755416453,-0.0725790618453174,-1.8166791007388383,-0.2435567113570869,-0.1462161052040755,-0.2212273954646662,-0.160645697498694,-0.7980126244947314,-1.1687769083073365,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.8_cz=15.5.log
1.8,-0.4,15.4,7.2,6.0,25,0.0,0.0,-4.385898941196501,-1.1993874735198915,-0.2861997808795422,-0.106744471238926,-1.5553902117535472,-0.1983107302803546,-0.1886269960086792,-0.2280471740523353,-0.1929448922164738,-1.0191873091971502,-1.1783897338900715,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.4_cz=15.4.log
1.8,-0.7,15.5,7.2,6.0,25,0.0,0.0,-4.314920030126814,-1.1653845891123638,-0.3175476705655455,-0.0810002458747476,-1.7448624637909234,-0.2337160995230078,-0.1550564661156386,-0.2297690615523606,-0.172090224805288,-0.8262304943054914,-1.2380464819725605,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.7_cz=15.5.log
1.8,-0.2,15.4,7.2,6.0,25,0.0,0.0,-4.423641157220118,-1.3176982088480145,-0.2572954152710736,-0.1233207751065492,-1.4567519146949053,-0.1680911034345626,-0.2089809102471918,-0.2195055079646408,-0.2018687119707465,-1.081054147682153,-1.1551436258014292,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.2_cz=15.4.log
1.9,-0.1,15.4,7.2,6.0,25,0.0,0.0,-4.547975988942199,-1.6126818745397031,-0.2397891411092132,-0.1271900020074099,-1.65942634944804,-0.1483119886834174,-0.2165072653442621,-0.2044640933163464,-0.1963441137922927,-1.0675990782910958,-1.0776153929764405,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.1_cz=15.4.log
1.9,0.0,15.3,7.2,6.0,25,0.0,0.0,-4.451826397096738,-1.479590141447261,-0.2394766414072364,-0.1484400006011128,-1.479590141447261,-0.1484400006011128,-0.2394766414072364,-0.2090844495687633,-0.2090844495687633,-1.0830753572518006,-1.0830753572518006,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=0.0_cz=15.3.log
1.8,-0.5,15.4,7.2,6.0,25,0.0,0.0,-4.349231335276272,-1.1027195581700653,-0.3019766372162848,-0.0995469312183559,-1.6130163375055415,-0.2157680585514754,-0.1793737334664911,-0.2322000351268798,-0.1884958463488146,-0.9816346006700768,-1.1907002250663936,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.5_cz=15.4.log
1.8,-0.6,15.4,7.2,6.0,25,0.0,0.0,-4.297873720759526,-0.9746159017086028,-0.3185654915869236,-0.09283884963952,-1.6728349833283571,-0.235240948619321,-0.170665149576962,-0.2362499849405139,-0.184032995137386,-0.9403350300854072,-1.2048750483663753,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.6_cz=15.4.log
1.8,-0.7,15.4,7.2,6.0,25,0.0,0.0,-4.229718918679282,-0.8122389037162066,-0.3362060529179871,-0.0866628959774971,-1.731654633069411,-0.2561583672650158,-0.1624284535646438,-0.2402108280221,-0.1795770467724651,-0.8962329998612404,-1.221023390768096,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.8_cy=-0.7_cz=15.4.log
2.0,-1.0,15.5,7.2,6.0,25,0.0,0.0,-3.977975398360286,-1.0389802296413109,-0.3534035920165479,-0.0608082290273159,-1.7962454922962934,-0.2760454141534865,-0.1316980337724089,-0.2156312613515183,-0.1464602064806968,-0.7240505310473964,-1.0632429040269926,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-1.0_cz=15.5.log
2.0,-0.9,15.5,7.2,6.0,25,0.0,0.0,-4.088237690390088,-1.2145907855592668,-0.3356839644256979,-0.064944775076583,-1.81011534598656,-0.25393070676364,-0.1379568185657262,-0.2127076922915876,-0.1501066670753061,-0.7673267582431436,-1.0494853745913133,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-0.9_cz=15.5.log
1.9,-0.8,15.4,7.2,6.0,25,0.0,0.0,-4.174118081282359,-0.9273010200122371,-0.34603160433471203,-0.07749748509377241,-1.872952314792201,-0.26726403925567865,-0.15298442798666656,-0.23109436267986894,-0.16749057662673295,-0.8658740661339834,-1.0876436301041394,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.8_cz=15.4.log
1.9,-0.1,15.3,7.2,6.0,25,0.0,0.0,-4.444940416025929,-1.434826715616509,-0.2521824636496603,-0.1372941678855568,-1.5216922971885651,-0.1607969275210052,-0.2274121341761201,-0.2133264171425253,-0.2048016936751082,-1.091083640116267,-1.0686263120733202,3,Done,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=1.9_cy=-0.1_cz=15.3.log
2.0,-0.9,15.4,7.2,6.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,InProgress,pentacene_a=7.2_b=6.0_theta=25_Rt=0.0_Rp=0.0_cx=2.0_cy=-0.9_cz=15.4.log
