cx,cy,cz,a,b,theta,Rt,Rp,status
2.0,-1.0,15.6,7.2,6.0,25,0.0,0.0,NotYet
2.0,-0.9,15.5,7.2,6.0,25,0.0,0.0,NotYet
1.9,-0.8,15.5,7.2,6.0,25,0.0,0.0,NotYet
1.8,-0.7,15.5,7.2,6.0,25,0.0,0.0,NotYet
1.8,-0.6,15.5,7.2,6.0,25,0.0,0.0,NotYet
1.8,-0.5,15.5,7.2,6.0,25,0.0,0.0,NotYet
1.8,-0.4,15.5,7.2,6.0,25,0.0,0.0,NotYet
1.8,-0.3,15.5,7.2,6.0,25,0.0,0.0,NotYet
1.8,-0.2,15.5,7.2,6.0,25,0.0,0.0,NotYet
1.9,-0.1,15.4,7.2,6.0,25,0.0,0.0,NotYet
1.9,0.0,15.4,7.2,6.0,25,0.0,0.0,NotYet
