theta,A2,phi,a,b,z,status
30.0,8.0,173,8.7,5.7,-1.0,NotYet
30.0,8.0,173,8.7,5.7,-0.8,NotYet
30.0,8.0,173,8.7,5.7,-0.6,NotYet
30.0,8.0,173,8.6,5.8,-0.4,NotYet
30.0,8.0,173,8.5,6.0,-0.2,NotYet
30.0,8.0,180,8.3,6.2,0.0,NotYet
30.0,8.0,180,8.2,6.3,0.2,NotYet
30.0,8.0,180,8.2,6.4,0.4,NotYet
30.0,8.0,183,8.3,6.3,0.6,NotYet
30.0,8.0,183,8.3,6.3,0.8,NotYet
30.0,8.0,180,8.4,6.2,1.0,NotYet
30.0,10.0,169,8.9,5.7,-1.0,NotYet
30.0,10.0,169,8.9,5.6,-0.8,NotYet
30.0,10.0,169,8.9,5.7,-0.6,NotYet
30.0,10.0,169,8.7,5.9,-0.4,NotYet
30.0,10.0,169,8.5,6.1,-0.2,NotYet
30.0,10.0,177,8.4,6.3,0.0,NotYet
30.0,10.0,180,8.3,6.4,0.2,NotYet
30.0,10.0,180,8.3,6.4,0.4,NotYet
30.0,10.0,180,8.4,6.3,0.6,NotYet
30.0,10.0,180,8.5,6.2,0.8,NotYet
30.0,10.0,180,8.6,6.2,1.0,NotYet
