cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,status
1.5,-1,13.3,7.3,5.9,25,2.1,1.9,0,0,NotYet
0.3,1.3,13.5,7.3,5.9,25,2.1,1.9,0,0,NotYet
