cx,cy,d_,cz
-3.5,-2.4,2.3829431276084208,11.865201345410501
-3.5,-2.3,2.4469773764689986,11.875068927604412
-3.5,-2.1999999999999997,2.5068053962253067,11.880730280694053
-3.5,-2.0999999999999996,2.562456956087521,11.8822151738896
-3.5,-2.0,2.6139398283274264,11.87953137946284
-3.5,-1.9,2.661239958191345,11.872664842660091
-3.5,-1.7999999999999998,2.7043211327416845,11.861579350543764
-3.5,-1.6999999999999997,2.7431239998808827,11.846215551016297
-3.5,-1.5999999999999999,2.7775644426319346,11.826489327100681
-3.5,-1.5,2.807531188227747,11.802289406029827
-3.5,-1.4,2.832882486901754,11.773474038037167
-3.5,-1.2999999999999998,2.8534416154411115,11.739866499909859
-3.5,-1.1999999999999997,2.868990846305529,11.701249064107609
-3.5,-1.0999999999999999,2.879263353375979,11.657354904511392
-3.5,-0.9999999999999998,2.8839322647124224,11.607857149181168
-3.5,-0.8999999999999999,2.882595659052022,11.552353876854102
-3.5,-0.7999999999999998,2.8747556234044183,11.490347174539831
-3.5,-0.6999999999999997,2.8597883299018996,11.421213214370646
-3.5,-0.5999999999999999,2.8369000239712907,11.34415824177337
-3.5,-0.4999999999999998,2.80505994043353,11.258151491568944
-3.5,-0.3999999999999999,2.7628934365617024,11.161818321030449
-3.5,-0.2999999999999998,2.708502024474374,11.053260242276453
-3.5,-0.19999999999999973,2.6391377653241417,10.929729316459554
-3.5,-0.09999999999999964,2.550554683658671,10.786979568127418
-3.5,4.440892098500626e-16,2.435527640588667,10.617785858390747
-3.5,0.10000000000000009,2.2796655824342427,10.407757133569655
-3.5,0.20000000000000018,2.043686356174222,10.117611240642969
-3.5,0.30000000000000027,1.3820477487154275,9.401805966517507
-3.5,0.40000000000000036,1.377003687933417,9.34259523906883
-3.5,0.5000000000000004,1.3651118034751573,9.276536687943903
-3.5,0.6000000000000001,1.345656190619838,9.202914408421918
-3.5,0.7000000000000002,1.3177157106570352,9.120807261792448
-3.5,0.8000000000000003,1.2800766136683226,9.029001498137069
-3.5,0.9000000000000004,1.2310890167933195,8.925847234595398
-3.5,1.0000000000000004,1.1684155351080907,8.809007086243504
-3.5,1.1,1.0974412494863302,8.683866133955076
-3.5,1.2000000000000002,1.234918095587627,8.767176313389706
-3.5,1.3000000000000003,1.3637690167883,8.841860567923712
-3.5,1.4000000000000004,1.4849478783642258,8.908872762832972
-3.5,1.5000000000000004,1.599193953999798,8.968952171801877
-3.5,1.6,1.7070911108337246,9.022682661969137
-3.5,1.7000000000000006,1.8091070695730203,9.070531954041765
-3.5,1.8000000000000003,1.905620337091218,9.112878554893298
-3.5,1.9,1.9969391931281457,9.150030744263558
-3.5,2.0000000000000004,2.0833153713723327,9.182240255841078
-3.5,2.1,2.1649540852250055,9.209712303027086
-3.5,2.2000000000000006,2.242021461662331,9.232613012797744
-3.5,2.3000000000000003,2.314650085614449,9.251074970083195
-3.5,2.400000000000001,2.3829431276084208,9.2652013454105
-3.4,-2.4,2.3808440502096673,11.863102268011747
-3.4,-2.3,2.4448869629262084,11.872978514061622
-3.4,-2.1999999999999997,2.50471992119345,11.878644805662196
-3.4,-2.0999999999999996,2.5603727701870227,11.880130987989101
-3.4,-2.0,2.611853304665509,11.877444855800922
-3.4,-1.9,2.6591474356645755,11.870572320133322
-3.4,-1.7999999999999998,2.7022188523441386,11.859477070146218
-3.4,-1.6999999999999997,2.7410080441699236,11.844099595305337
-3.4,-1.5999999999999999,2.7754306654338947,11.824355549902641
-3.4,-1.5,2.8053751333017622,11.800133351103842
-3.4,-1.4,2.8306992907515145,11.771290841886927
-3.4,-1.2999999999999998,2.8512258877838548,11.737650772252602
-3.4,-1.1999999999999997,2.8667365191237657,11.698994736925846
-3.4,-1.0999999999999999,2.8769634854610615,11.655055036596474
-3.4,-0.9999999999999998,2.8815787822414762,11.605503666710222
-3.4,-0.8999999999999999,2.88017900237325,11.54993722017533
-3.4,-0.7999999999999998,2.872264252774439,11.487855803909852
-3.4,-0.6999999999999997,2.8572080124560024,11.418632896924748
-3.4,-0.5999999999999999,2.8342127684838836,11.341470986285962
-3.4,-0.4999999999999998,2.8022423387798465,11.25533388991526
-3.4,-0.3999999999999999,2.7599139486291513,11.158838833097898
-3.4,-0.2999999999999998,2.705316245652467,11.050074463454546
-3.4,-0.19999999999999973,2.6356794784789077,10.92627102961432
-3.4,-0.09999999999999964,2.5467169642642435,10.78314184873299
-3.4,4.440892098500626e-16,2.4311160160523233,10.613374233854403
-3.4,0.10000000000000009,2.274247457856317,10.40233900899173
-3.4,0.20000000000000018,2.035767698715297,10.109692583184044
-3.4,0.30000000000000027,1.3797916608819492,9.399549878684029
