a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.0,8.1,65,0,28,-84.95222849957645,-1.03108050650917,-11.527101421030238,-14.958966161124408,2,Done,hexacene_A1=0_A2=28_theta=65_a=6_b=8.1_cx=0_cy=0_cz=0.log
6.0,8.0,65,0,26,-83.61118942825124,-1.0139745837077498,-11.527101421030238,-14.632259354693815,2,Done,hexacene_A1=0_A2=26_theta=65_a=6_b=8.0_cx=0_cy=0_cz=0.log
6.0,8.3,65,0,30,-86.83748189220205,-0.987688189605251,-11.527101421030238,-15.451975667732768,2,Done,hexacene_A1=0_A2=30_theta=65_a=6_b=8.3_cx=0_cy=0_cz=0.log
6.1,7.9,65,0,28,-81.97928692307323,-1.184933408163488,-11.089689300395548,-14.35751037648879,2,Done,hexacene_A1=0_A2=28_theta=65_a=6.1_b=7.9_cx=0_cy=0_cz=0.log
6.1,7.8,65,0,26,-80.4727734643966,-1.1665787405800074,-11.089689300395548,-13.990059345611373,2,Done,hexacene_A1=0_A2=26_theta=65_a=6.1_b=7.8_cx=0_cy=0_cz=0.log
6.0,8.7,65,0,34,-87.92825742485002,-0.9334525004960595,-11.527101421030238,-15.751787395449355,1,Done,hexacene_A1=0_A2=34_theta=65_a=6_b=8.7_cx=0_cy=0_cz=0.log
6.1,8.1,65,0,30,-85.03434445662424,-1.130835770862177,-11.089689300395548,-15.148323578527195,2,Done,hexacene_A1=0_A2=30_theta=65_a=6.1_b=8.1_cx=0_cy=0_cz=0.log
6.0,8.9,65,0,36,-87.00180166121572,-0.9210403526667506,-11.527101421030238,-15.526379528455436,1,Done,hexacene_A1=0_A2=36_theta=65_a=6_b=8.9_cx=0_cy=0_cz=0.log
6.0,8.5,65,0,32,-87.85065953899175,-0.9554843767546116,-11.527101421030238,-15.721371985855512,1,Done,hexacene_A1=0_A2=32_theta=65_a=6_b=8.5_cx=0_cy=0_cz=0.log
6.1,8.0,65,0,28,-83.60785107500851,-1.1044364252593368,-11.089689300395548,-14.804899905924684,2,Done,hexacene_A1=0_A2=28_theta=65_a=6.1_b=8.0_cx=0_cy=0_cz=0.log
6.1,7.9,65,0,26,-82.20834062295035,-1.0868849707767367,-11.089689300395548,-14.463798020151444,2,Done,hexacene_A1=0_A2=26_theta=65_a=6.1_b=7.9_cx=0_cy=0_cz=0.log
6.1,8.2,65,0,30,-85.87843325920403,-1.0563691593706608,-11.089689300395548,-15.396579084917905,2,Done,hexacene_A1=0_A2=30_theta=65_a=6.1_b=8.2_cx=0_cy=0_cz=0.log
6.1,8.5,65,0,34,-87.66863143676892,-1.062688184902072,-11.089689300395548,-15.84096911654342,1,Done,hexacene_A1=0_A2=34_theta=65_a=6.1_b=8.5_cx=0_cy=0_cz=0.log
6.1,8.7,65,0,36,-87.02470577601343,-1.0462474231608212,-11.089689300395548,-15.688208082225174,1,Done,hexacene_A1=0_A2=36_theta=65_a=6.1_b=8.7_cx=0_cy=0_cz=0.log
6.1,8.3,65,0,32,-86.96851853001863,-1.0906437556259334,-11.089689300395548,-15.651963104493916,1,Done,hexacene_A1=0_A2=32_theta=65_a=6.1_b=8.3_cx=0_cy=0_cz=0.log
6.1,8.1,65,0,28,-84.53792129643261,-1.03108050650917,-11.089689300395548,-15.074095420655794,2,Done,hexacene_A1=0_A2=28_theta=65_a=6.1_b=8.1_cx=0_cy=0_cz=0.log
6.1,8.0,65,0,26,-83.23784607835114,-1.0139745837077498,-11.089689300395548,-14.757629577536136,2,Done,hexacene_A1=0_A2=26_theta=65_a=6.1_b=8.0_cx=0_cy=0_cz=0.log
6.1,8.3,65,0,30,-86.1408453900367,-0.987688189605251,-11.089689300395548,-15.496522602508776,2,Done,hexacene_A1=0_A2=30_theta=65_a=6.1_b=8.3_cx=0_cy=0_cz=0.log
6.1,8.6,65,0,34,-87.50731116672978,-0.9955697155091912,-11.089689300395548,-15.834198283730077,1,Done,hexacene_A1=0_A2=34_theta=65_a=6.1_b=8.6_cx=0_cy=0_cz=0.log
6.1,8.8,65,0,36,-86.71317216195166,-0.98118091118522,-11.089689300395548,-15.642857934697531,1,Done,hexacene_A1=0_A2=36_theta=65_a=6.1_b=8.8_cx=0_cy=0_cz=0.log
6.1,8.4,65,0,32,-87.20259231049567,-1.0204442117828876,-11.089689300395548,-15.7455813215347,1,Done,hexacene_A1=0_A2=32_theta=65_a=6.1_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.2,65,0,28,-85.48957786289975,-0.9631776493042709,-11.691640818025917,-15.044985232059844,2,Done,hexacene_A1=0_A2=28_theta=65_a=5.9_b=8.2_cx=0_cy=0_cz=0.log
5.9,8.1,65,0,26,-84.21575766196474,-0.9463478308171034,-11.691640818025917,-14.734945091069676,2,Done,hexacene_A1=0_A2=26_theta=65_a=5.9_b=8.1_cx=0_cy=0_cz=0.log
5.9,8.4,65,0,30,-87.0232876027003,-0.9238829729147257,-11.691640818025917,-15.448060005204752,2,Done,hexacene_A1=0_A2=30_theta=65_a=5.9_b=8.4_cx=0_cy=0_cz=0.log
6.1,8.7,65,0,34,-86.97112897317857,-0.9334525004960595,-11.089689300395548,-15.731211342848836,1,Done,hexacene_A1=0_A2=34_theta=65_a=6.1_b=8.7_cx=0_cy=0_cz=0.log
6.1,8.9,65,0,36,-86.09688204014674,-0.9210403526667506,-11.089689300395548,-15.518855683505535,1,Done,hexacene_A1=0_A2=36_theta=65_a=6.1_b=8.9_cx=0_cy=0_cz=0.log
6.1,8.5,65,0,32,-86.96684935409576,-0.9554843767546116,-11.089689300395548,-15.71912549994886,1,Done,hexacene_A1=0_A2=32_theta=65_a=6.1_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.2,65,0,28,-85.56147795822471,-0.9631776493042709,-11.527101421030238,-15.145229954388924,2,Done,hexacene_A1=0_A2=28_theta=65_a=6_b=8.2_cx=0_cy=0_cz=0.log
6.0,8.1,65,0,26,-84.31315976427868,-0.9463478308171034,-11.527101421030238,-14.841565315146,2,Done,hexacene_A1=0_A2=26_theta=65_a=6_b=8.1_cx=0_cy=0_cz=0.log
6.0,8.4,65,0,30,-86.8453885181807,-0.9238829729147257,-11.527101421030238,-15.485854932572693,2,Done,hexacene_A1=0_A2=30_theta=65_a=6_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.9,65,0,38,-84.79847599891946,-1.0410955660045147,-11.691640818025917,-14.833250807714649,1,Done,hexacene_A1=0_A2=38_theta=65_a=5.9_b=8.9_cx=0_cy=0_cz=0.log
6.0,9.0,65,0,38,-85.30298148933798,-0.9771146464627236,-11.527101421030238,-15.073637338588014,1,Done,hexacene_A1=0_A2=38_theta=65_a=6_b=9.0_cx=0_cy=0_cz=0.log
5.8,8.4,65,0,32,-86.47134235827252,-1.0204442117828876,-11.44025403703563,-15.387486465158872,1,Done,hexacene_A1=0_A2=32_theta=65_a=5.8_b=8.4_cx=0_cy=0_cz=0.log
6.1,8.1,65,0,26,-83.66807948471978,-0.9463478308171034,-11.089689300395548,-14.89900130557362,2,Done,hexacene_A1=0_A2=26_theta=65_a=6.1_b=8.1_cx=0_cy=0_cz=0.log
6.1,8.2,65,0,28,-84.87779326271266,-0.9631776493042709,-11.089689300395548,-15.193014840828257,2,Done,hexacene_A1=0_A2=28_theta=65_a=6.1_b=8.2_cx=0_cy=0_cz=0.log
6.1,8.4,65,0,30,-85.92412853753194,-0.9238829729147257,-11.089689300395548,-15.474245997727849,2,Done,hexacene_A1=0_A2=30_theta=65_a=6.1_b=8.4_cx=0_cy=0_cz=0.log
5.9,8.2,65,0,26,-84.62781837908551,-0.8832893511280417,-11.691640818025917,-14.869489510194398,2,Done,hexacene_A1=0_A2=26_theta=65_a=5.9_b=8.2_cx=0_cy=0_cz=0.log
5.9,8.3,65,0,28,-85.81878215866163,-0.8999811171088368,-11.691640818025917,-15.158884572098032,2,Done,hexacene_A1=0_A2=28_theta=65_a=5.9_b=8.3_cx=0_cy=0_cz=0.log
5.9,8.6,65,0,36,-86.61932176584378,-1.1170556514989585,-11.691640818025917,-15.250482206698509,1,Done,hexacene_A1=0_A2=36_theta=65_a=5.9_b=8.6_cx=0_cy=0_cz=0.log
5.9,9.0,65,0,38,-85.05010750843212,-0.9771146464627236,-11.691640818025917,-14.92814914486371,1,Done,hexacene_A1=0_A2=38_theta=65_a=5.9_b=9.0_cx=0_cy=0_cz=0.log
5.8,8.3,65,0,30,-85.6003333767876,-0.987688189605251,-11.44025403703563,-15.18611223087646,2,Done,hexacene_A1=0_A2=30_theta=65_a=5.8_b=8.3_cx=0_cy=0_cz=0.log
5.8,8.5,65,0,32,-87.01274543534964,-0.9554906517732888,-11.44025403703563,-15.555314014432952,1,Done,hexacene_A1=0_A2=32_theta=65_a=5.8_b=8.5_cx=0_cy=0_cz=0.log
6.0,8.2,65,0,26,-84.47075262619182,-0.8832893511280417,-11.527101421030238,-14.912492770468816,2,Done,hexacene_A1=0_A2=26_theta=65_a=6_b=8.2_cx=0_cy=0_cz=0.log
