a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,E_m,machine_type,status,file_name
5.8,8.2,61.5,5,-7,218,-26.91422393,-0.435366438,-7.245054757,-9.450219024,-9.540473787,-0.243109924,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.2_phi_r=218_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,220,-26.91401058,-0.455704037,-7.06826009,-9.40071476,-9.637562134,-0.351769556,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=220_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,219,-26.91190214,-0.453846607,-7.073468423,-9.473098038,-9.614457216,-0.297031858,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=219_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-9,218,-26.9104275,-0.462895302,-7.261432768,-9.404718274,-9.538271227,-0.243109924,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.8_b=8.2_phi_r=218_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-7,218,-26.91033964,-0.475439227,-7.085033432,-9.51214171,-9.59461535,-0.243109924,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.9_b=8.1_phi_r=218_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-9,217,-26.89136374,-0.460416637,-7.268234977,-9.463164555,-9.509343016,-0.190204556,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-9_a=5.8_b=8.2_phi_r=217_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-5,220,-26.89098723,-0.417356901,-7.214018112,-9.337769232,-9.570073434,-0.351769556,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=220_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,221,-26.88993302,-0.45744224,-7.063641616,-9.303551111,-9.658194663,-0.407103388,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=221_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-5,219,-26.88947494,-0.415631249,-7.219772379,-9.406569428,-9.550470021,-0.297031858,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=219_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-5,219,-26.88938708,-0.453846607,-7.219772379,-9.393730573,-9.525005666,-0.297031858,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=219_cx=0_cy=0_cz=0.log
