a,b,theta,A1,A2,phi_r,status
5.8,8.2,61.5,5,-7,218,InProgress
5.9,8.1,61.5,5,-5,220,InProgress
5.8,8.2,61.5,5,-9,218,InProgress
5.9,8.1,61.5,5,-3,218,InProgress
5.9,8,61.5,5,-1,218,InProgress
