theta,a1,z1,E1,machine_type,status,file_name
0,3.8,1.3,-3.5544425435946323,3,Done,C5_theta=0_a1=3.8_z1=1.3_1.log
5,3.8,1.3,-3.557567543408368,3,Done,C5_theta=5_a1=3.8_z1=1.3_1.log
10,3.8,1.3,-3.497198571320041,3,Done,C5_theta=10_a1=3.8_z1=1.3_1.log
15,4.0,1.3,-3.3401522711646976,3,Done,C5_theta=15_a1=4.0_z1=1.3_1.log
20,4.3,1.3,-2.747516139424988,3,Done,C5_theta=20_a1=4.3_z1=1.3_1.log
25,4.6,1.3,-2.117143438808853,3,Done,C5_theta=25_a1=4.6_z1=1.3_1.log
30,4.8,1.3,-1.741003904651734,3,Done,C5_theta=30_a1=4.8_z1=1.3_1.log
35,5.0,1.3,-1.4484217195567908,3,Done,C5_theta=35_a1=5.0_z1=1.3_1.log
40,5.1,1.3,-1.3145048104197483,3,Done,C5_theta=40_a1=5.1_z1=1.3_1.log
45,5.2,1.3,-1.218082878884161,3,Done,C5_theta=45_a1=5.2_z1=1.3_1.log
50,5.2,1.3,-1.2216716085531516,3,Done,C5_theta=50_a1=5.2_z1=1.3_1.log
55,5.2,1.3,-1.2479573749587871,3,Done,C5_theta=55_a1=5.2_z1=1.3_1.log
60,5.1,1.3,-1.348916831339011,3,Done,C5_theta=60_a1=5.1_z1=1.3_1.log
65,5.0,1.3,-1.4549289982533082,3,Done,C5_theta=65_a1=5.0_z1=1.3_1.log
70,4.9,1.3,-1.5510597652028082,3,Done,C5_theta=70_a1=4.9_z1=1.3_1.log
75,4.7,1.3,-1.5407529134245124,3,Done,C5_theta=75_a1=4.7_z1=1.3_1.log
80,4.5,1.3,-1.1459631545876618,3,Done,C5_theta=80_a1=4.5_z1=1.3_1.log
85,4.6,1.3,-1.505077087393147,3,Done,C5_theta=85_a1=4.6_z1=1.3_1.log
90,4.6,1.3,-1.5131330607837299,3,Done,C5_theta=90_a1=4.6_z1=1.3_1.log
