a,b,theta,A1,A2,status
6,8.4,66,-1,32,NotYet
6,8.4,67,-3,32,NotYet
6,8.3,69,-5,32,NotYet
6,8.3,69,-6,31,NotYet
6,8.3,70,-7,32,NotYet
6,8.3,71,-8,32,NotYet
6,8.3,72,-9,32,NotYet
6,8.3,72,-10,31,NotYet
6,8.3,73,-11,31,NotYet
6.1,8.2,76,-13,31,NotYet
6.1,8.3,77,-15,31,NotYet
6.2,8.3,78,-17,31,NotYet
