a,b,theta,A1,A2,status
5.9,8.3,71,-12,33,NotYet
5.9,8.3,70,-12,33,NotYet
5.9,8.3,70,-11,33,NotYet
5.9,8.3,72,-11,33,NotYet
6,8.2,70,-9,33,NotYet
6,8.2,72,-9,33,NotYet
5.9,8.4,68,-7,33,NotYet
5.9,8.4,70,-7,33,NotYet
5.9,8.4,66,-5,33,NotYet
5.9,8.4,68,-5,33,NotYet
