theta,phi,r,z,status
45,80,4.7,0.0,InProgress
45,85,4.8,0.0,InProgress
45,90,4.8,0.0,InProgress
50,0,5.2,0.0,InProgress
50,5,5.2,0.0,InProgress
50,10,5.1,0.0,InProgress
50,15,5.0,0.0,InProgress
50,20,4.8,0.0,InProgress
50,25,4.6,0.0,InProgress
50,30,4.5,0.0,InProgress
50,35,4.5,0.0,InProgress
50,40,4.5,0.0,InProgress
50,45,4.5,0.0,InProgress
50,50,4.5,0.0,InProgress
50,55,4.4,0.0,InProgress
50,60,4.3,0.0,InProgress
50,65,4.2,0.0,InProgress
50,70,4.4,0.0,InProgress
50,75,4.5,0.0,InProgress
50,80,4.7,0.0,InProgress
50,85,4.7,0.0,InProgress
50,90,4.8,0.0,InProgress
55,0,5.2,0.0,InProgress
55,5,5.2,0.0,InProgress
55,10,5.1,0.0,InProgress
55,15,5.0,0.0,InProgress
55,20,4.8,0.0,InProgress
55,25,4.6,0.0,InProgress
55,30,4.6,0.0,InProgress
55,35,4.7,0.0,InProgress
55,40,4.7,0.0,InProgress
55,45,4.7,0.0,InProgress
55,50,4.6,0.0,InProgress
55,55,4.5,0.0,InProgress
55,60,4.4,0.0,InProgress
55,65,4.2,0.0,InProgress
55,70,4.3,0.0,InProgress
55,75,4.5,0.0,InProgress
55,80,4.6,0.0,InProgress
55,85,4.7,0.0,InProgress
55,90,4.7,0.0,InProgress
60,0,5.2,0.0,InProgress
60,5,5.1,0.0,InProgress
60,10,5.1,0.0,InProgress
60,15,4.9,0.0,InProgress
60,20,4.8,0.0,InProgress
60,25,4.7,0.0,InProgress
60,30,4.8,0.0,InProgress
60,35,4.8,0.0,InProgress
60,40,4.8,0.0,InProgress
60,45,4.8,0.0,InProgress
60,50,4.7,0.0,InProgress
60,55,4.6,0.0,InProgress
60,60,4.5,0.0,InProgress
60,65,4.3,0.0,InProgress
60,70,4.3,0.0,InProgress
60,75,4.4,0.0,InProgress
60,80,4.5,0.0,InProgress
60,85,4.6,0.0,InProgress
60,90,4.6,0.0,InProgress
65,0,5.1,0.0,InProgress
65,5,5.1,0.0,InProgress
65,10,5.0,0.0,InProgress
65,15,4.9,0.0,InProgress
65,20,4.8,0.0,InProgress
65,25,4.8,0.0,InProgress
65,30,4.9,0.0,InProgress
65,35,4.9,0.0,InProgress
65,40,4.9,0.0,InProgress
65,45,4.9,0.0,InProgress
65,50,4.8,0.0,InProgress
65,55,4.7,0.0,InProgress
65,60,4.6,0.0,InProgress
65,65,4.4,0.0,InProgress
65,70,4.2,0.0,InProgress
65,75,4.3,0.0,InProgress
65,80,4.5,0.0,InProgress
65,85,4.5,0.0,InProgress
65,90,4.5,0.0,InProgress
70,0,5.0,0.0,InProgress
70,5,5.0,0.0,InProgress
70,10,4.9,0.0,InProgress
70,15,4.8,0.0,InProgress
70,20,4.7,0.0,InProgress
70,25,4.9,0.0,InProgress
70,30,4.9,0.0,InProgress
70,35,5.0,0.0,InProgress
70,40,5.0,0.0,InProgress
70,45,5.0,0.0,InProgress
70,50,4.9,0.0,InProgress
70,55,4.8,0.0,InProgress
70,60,4.7,0.0,InProgress
70,65,4.5,0.0,InProgress
70,70,4.3,0.0,InProgress
70,75,4.2,0.0,InProgress
70,80,4.3,0.0,InProgress
70,85,4.4,0.0,InProgress
70,90,4.4,0.0,InProgress
75,0,4.9,0.0,InProgress
75,5,4.9,0.0,InProgress
75,10,4.9,0.0,InProgress
75,15,4.8,0.0,InProgress
75,20,4.8,0.0,InProgress
75,25,4.9,0.0,InProgress
75,30,5.0,0.0,InProgress
75,35,5.1,0.0,InProgress
75,40,5.1,0.0,InProgress
75,45,5.1,0.0,InProgress
75,50,5.0,0.0,InProgress
75,55,4.9,0.0,InProgress
75,60,4.7,0.0,InProgress
75,65,4.5,0.0,InProgress
75,70,4.3,0.0,InProgress
75,75,4.1,0.0,InProgress
75,80,4.2,0.0,InProgress
75,85,4.3,0.0,InProgress
75,90,4.3,0.0,InProgress
80,0,4.8,0.0,InProgress
80,5,4.8,0.0,InProgress
80,10,4.8,0.0,InProgress
80,15,4.7,0.0,InProgress
80,20,4.8,0.0,InProgress
80,25,5.0,0.0,InProgress
80,30,5.1,0.0,InProgress
80,35,5.1,0.0,InProgress
80,40,5.1,0.0,InProgress
80,45,5.1,0.0,InProgress
80,50,5.0,0.0,InProgress
80,55,4.9,0.0,InProgress
80,60,4.8,0.0,InProgress
80,65,4.6,0.0,InProgress
80,70,4.3,0.0,InProgress
80,75,4.0,0.0,InProgress
80,80,4.1,0.0,InProgress
80,85,4.1,0.0,InProgress
80,90,4.1,0.0,InProgress
85,0,4.7,0.0,InProgress
85,5,4.7,0.0,InProgress
85,10,4.6,0.0,InProgress
85,15,4.7,0.0,InProgress
85,20,4.8,0.0,InProgress
85,25,5.0,0.0,InProgress
85,30,5.1,0.0,InProgress
85,35,5.2,0.0,InProgress
85,40,5.2,0.0,InProgress
85,45,5.1,0.0,InProgress
85,50,5.1,0.0,InProgress
85,55,4.9,0.0,InProgress
85,60,4.8,0.0,InProgress
85,65,4.6,0.0,InProgress
85,70,4.3,0.0,InProgress
85,75,4.0,0.0,InProgress
85,80,3.9,0.0,InProgress
85,85,4.0,0.0,InProgress
85,90,4.0,0.0,InProgress
90,0,4.6,0.0,InProgress
90,5,4.5,0.0,InProgress
90,10,4.5,0.0,InProgress
90,15,4.7,0.0,InProgress
90,20,4.9,0.0,InProgress
90,25,5.0,0.0,InProgress
90,30,5.1,0.0,InProgress
90,35,5.2,0.0,InProgress
90,40,5.2,0.0,InProgress
90,45,5.2,0.0,InProgress
90,50,5.1,0.0,InProgress
90,55,5.0,0.0,InProgress
90,60,4.8,0.0,InProgress
90,65,4.6,0.0,InProgress
90,70,4.3,0.0,InProgress
90,75,4.0,0.0,InProgress
90,80,3.7,0.0,InProgress
90,85,3.8,0.0,InProgress
90,90,3.8,0.0,InProgress
