theta,phi,r,z,E,status,machine_type,file_name,E1
10,85,4.4,0.0,-2.241248601552797,Done,2,C6_theta=10_phi=85_r=4.4_z=0.0.log,0.0
10,90,4.5,0.0,-2.439465832838323,Done,1,C6_theta=10_phi=90_r=4.5_z=0.0.log,0.0
15,0,4.7,0.0,-2.3442700557643548,Done,2,C6_theta=15_phi=0_r=4.7_z=0.0.log,0.0
15,5,4.6,0.0,-2.531416128127603,Done,1,C6_theta=15_phi=5_r=4.6_z=0.0.log,0.0
15,10,4.6,0.0,-2.633760499127675,Done,1,C6_theta=15_phi=10_r=4.6_z=0.0.log,0.0
15,15,4.5,0.0,-2.960039971221704,Done,2,C6_theta=15_phi=15_r=4.5_z=0.0.log,0.0
15,20,4.4,0.0,-3.3044061639811844,Done,2,C6_theta=15_phi=20_r=4.4_z=0.0.log,0.0
15,25,4.2,0.0,-3.5559272322861943,Done,2,C6_theta=15_phi=25_r=4.2_z=0.0.log,0.0
15,30,4.3,0.0,-3.368380808562506,Done,1,C6_theta=15_phi=30_r=4.3_z=0.0.log,0.0
15,35,4.5,0.0,-2.9249251391156577,Done,1,C6_theta=15_phi=35_r=4.5_z=0.0.log,0.0
15,40,4.6,0.0,-2.591191475687083,Done,1,C6_theta=15_phi=40_r=4.6_z=0.0.log,0.0
15,45,4.7,0.0,-2.3563232678861823,Done,2,C6_theta=15_phi=45_r=4.7_z=0.0.log,0.0
15,50,4.7,0.0,-2.270874603651464,Done,2,C6_theta=15_phi=50_r=4.7_z=0.0.log,0.0
15,55,4.7,0.0,-2.269981029414339,Done,2,C6_theta=15_phi=55_r=4.7_z=0.0.log,0.0
15,60,4.6,0.0,-2.2845781670475844,Done,1,C6_theta=15_phi=60_r=4.6_z=0.0.log,0.0
15,65,4.5,0.0,-2.255679449037416,Done,1,C6_theta=15_phi=65_r=4.5_z=0.0.log,0.0
15,70,4.4,0.0,-2.1025852067687083,Done,2,C6_theta=15_phi=70_r=4.4_z=0.0.log,0.0
15,75,4.4,0.0,-2.142526845826069,Done,1,C6_theta=15_phi=75_r=4.4_z=0.0.log,0.0
15,80,4.5,0.0,-2.330647441209294,Done,2,C6_theta=15_phi=80_r=4.5_z=0.0.log,0.0
15,85,4.6,0.0,-2.362447137973504,Done,2,C6_theta=15_phi=85_r=4.6_z=0.0.log,0.0
15,90,4.6,0.0,-2.327148445474449,Done,1,C6_theta=15_phi=90_r=4.6_z=0.0.log,0.0
20,0,4.8,0.0,-2.1249446431174874,Done,2,C6_theta=20_phi=0_r=4.8_z=0.0.log,0.0
20,5,4.8,0.0,-2.153331940498901,Done,2,C6_theta=20_phi=5_r=4.8_z=0.0.log,0.0
20,10,4.7,0.0,-2.3772570014116354,Done,1,C6_theta=20_phi=10_r=4.7_z=0.0.log,0.0
20,15,4.6,0.0,-2.673406580928713,Done,2,C6_theta=20_phi=15_r=4.6_z=0.0.log,0.0
20,20,4.5,0.0,-3.016537834017072,Done,1,C6_theta=20_phi=20_r=4.5_z=0.0.log,0.0
20,25,4.3,0.0,-3.3993741548911203,Done,2,C6_theta=20_phi=25_r=4.3_z=0.0.log,0.0
20,30,4.2,0.0,-3.343429128377465,Done,2,C6_theta=20_phi=30_r=4.2_z=0.0.log,0.0
20,35,4.4,0.0,-3.1175669440999627,Done,1,C6_theta=20_phi=35_r=4.4_z=0.0.log,0.0
20,40,4.5,0.0,-2.788689580571372,Done,2,C6_theta=20_phi=40_r=4.5_z=0.0.log,0.0
20,45,4.6,0.0,-2.5397701687761582,Done,1,C6_theta=20_phi=45_r=4.6_z=0.0.log,0.0
20,50,4.6,0.0,-2.4282547391485423,Done,1,C6_theta=20_phi=50_r=4.6_z=0.0.log,0.0
20,55,4.6,0.0,-2.4041508250520565,Done,2,C6_theta=20_phi=55_r=4.6_z=0.0.log,0.0
20,60,4.6,0.0,-2.4508965549757704,Done,2,C6_theta=20_phi=60_r=4.6_z=0.0.log,0.0
20,65,4.5,0.0,-2.4157133242988493,Done,2,C6_theta=20_phi=65_r=4.5_z=0.0.log,0.0
20,70,4.4,0.0,-2.182475387438899,Done,1,C6_theta=20_phi=70_r=4.4_z=0.0.log,0.0
20,75,4.5,0.0,-2.3332202322490048,Done,1,C6_theta=20_phi=75_r=4.5_z=0.0.log,0.0
20,80,4.6,0.0,-2.313820760580711,Done,1,C6_theta=20_phi=80_r=4.6_z=0.0.log,0.0
20,85,4.6,0.0,-2.1801140673051123,Done,2,C6_theta=20_phi=85_r=4.6_z=0.0.log,0.0
20,90,4.7,0.0,-2.203104151180014,Done,2,C6_theta=20_phi=90_r=4.7_z=0.0.log,0.0
25,0,4.9,0.0,-1.9497808741871268,Done,2,C6_theta=25_phi=0_r=4.9_z=0.0.log,0.0
25,5,4.9,0.0,-1.977216866449453,Done,1,C6_theta=25_phi=5_r=4.9_z=0.0.log,0.0
25,10,4.8,0.0,-2.1722243840631563,Done,1,C6_theta=25_phi=10_r=4.8_z=0.0.log,0.0
25,15,4.7,0.0,-2.441285611857893,Done,2,C6_theta=25_phi=15_r=4.7_z=0.0.log,0.0
25,20,4.6,0.0,-2.7700606911676005,Done,2,C6_theta=25_phi=20_r=4.6_z=0.0.log,0.0
25,25,4.4,0.0,-3.2199527306947857,Done,1,C6_theta=25_phi=25_r=4.4_z=0.0.log,0.0
25,30,4.2,0.0,-3.330191177461529,Done,2,C6_theta=25_phi=30_r=4.2_z=0.0.log,0.0
25,35,4.3,0.0,-3.289741255255649,Done,1,C6_theta=25_phi=35_r=4.3_z=0.0.log,0.0
25,40,4.5,0.0,-2.954268761764979,Done,2,C6_theta=25_phi=40_r=4.5_z=0.0.log,0.0
25,45,4.5,0.0,-2.781362146284664,Done,2,C6_theta=25_phi=45_r=4.5_z=0.0.log,0.0
25,50,4.6,0.0,-2.62105906920624,Done,1,C6_theta=25_phi=50_r=4.6_z=0.0.log,0.0
25,55,4.5,0.0,-2.601325134659419,Done,2,C6_theta=25_phi=55_r=4.5_z=0.0.log,0.0
25,60,4.5,0.0,-2.6023046777991112,Done,1,C6_theta=25_phi=60_r=4.5_z=0.0.log,0.0
25,65,4.4,0.0,-2.4276906076993328,Done,2,C6_theta=25_phi=65_r=4.4_z=0.0.log,0.0
25,70,4.4,0.0,-2.291227890527807,Done,2,C6_theta=25_phi=70_r=4.4_z=0.0.log,0.0
25,75,4.5,0.0,-2.2877546226372942,Done,1,C6_theta=25_phi=75_r=4.5_z=0.0.log,0.0
25,80,4.6,0.0,-2.201518433401361,Done,1,C6_theta=25_phi=80_r=4.6_z=0.0.log,0.0
25,85,4.7,0.0,-2.127661761449417,Done,2,C6_theta=25_phi=85_r=4.7_z=0.0.log,0.0
25,90,4.7,0.0,-2.070122859498952,Done,1,C6_theta=25_phi=90_r=4.7_z=0.0.log,0.0
30,0,5.0,0.0,-1.806821545993444,Done,2,C6_theta=30_phi=0_r=5.0_z=0.0.log,0.0
30,5,5.0,0.0,-1.832632914854912,Done,2,C6_theta=30_phi=5_r=5.0_z=0.0.log,0.0
30,10,4.9,0.0,-2.0077916636655573,Done,2,C6_theta=30_phi=10_r=4.9_z=0.0.log,0.0
30,15,4.8,0.0,-2.252625357854413,Done,1,C6_theta=30_phi=15_r=4.8_z=0.0.log,0.0
30,20,4.7,0.0,-2.55785563448444,Done,1,C6_theta=30_phi=20_r=4.7_z=0.0.log,0.0
30,25,4.5,0.0,-3.028200734901475,Done,1,C6_theta=30_phi=25_r=4.5_z=0.0.log,0.0
30,30,4.3,0.0,-3.366004428127781,Done,2,C6_theta=30_phi=30_r=4.3_z=0.0.log,0.0
30,35,4.2,0.0,-3.358602320193313,Done,2,C6_theta=30_phi=35_r=4.2_z=0.0.log,0.0
30,40,4.3,0.0,-3.276650141691789,Done,2,C6_theta=30_phi=40_r=4.3_z=0.0.log,0.0
