a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,E_m,machine_type,status,file_name,phi_b
8.2,5.8,28.5,2,-6,40,-32.76371527,-6.775231745,-0.456588827,-12.46407425,-12.70606721,-0.36175324,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.8_phi_r=40_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.8,28.5,2,-6,41,-32.52777779,-6.722878586,-0.457705794,-12.1892186,-12.75319949,-0.404775325,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.8_phi_r=41_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.9,28.5,2,-6,39,-33.93294211,-8.019841354,-0.455565985,-12.6724766,-12.46573088,-0.319327289,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.9_phi_r=39_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.9,28.5,2,-6,40,-33.89421846,-7.987850894,-0.456588827,-12.42162948,-12.66669096,-0.36145831,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.9_phi_r=40_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.9,28.5,2,-6,41,-33.67795342,-7.939325546,-0.457705794,-12.14806649,-12.72836891,-0.404486671,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.9_phi_r=41_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,6,28.5,2,-6,39,-34.56439914,-8.77474216,-0.455565985,-12.61187796,-12.40314931,-0.319063734,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=6.0_phi_r=39_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,6,28.5,2,-6,40,-34.53025632,-8.74404437,-0.456588827,-12.36032802,-12.6081129,-0.361182206,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=6.0_phi_r=40_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,6,28.5,2,-6,41,-34.33505679,-8.700965809,-0.457705794,-12.08810791,-12.68405416,-0.404223117,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=6.0_phi_r=41_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.8,28.5,2,-6,189,-18.91574302,-9.490787545,-0.523519043,-10.55099707,1.242576477,0.406984161,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.8_phi_r=189_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.8,28.5,2,-6,190,-24.57912744,-9.507102805,-0.522333049,-10.73165719,-4.229078545,0.411044151,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.8_phi_r=190_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.8,28.5,2,-6,191,-28.3071518,-9.522219521,-0.521291383,-10.92684418,-7.751172947,0.414376229,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.8_phi_r=191_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.9,28.5,2,-6,189,-19.93439255,-9.236809148,-0.523519043,-10.56350962,-0.017137298,0.406582554,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.9_phi_r=189_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.9,28.5,2,-6,190,-25.05594092,-9.25045749,-0.522333049,-10.74147773,-4.952365396,0.410692745,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.9_phi_r=190_phi_b=0_cx=0_cy=0_cz=0.log,0
8,5.9,28.5,2,-6,191,-28.45648663,-9.262988865,-0.521291383,-10.93388484,-8.152409117,0.414087574,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.9_phi_r=191_phi_b=0_cx=0_cy=0_cz=0.log,0
8,6,28.5,2,-6,189,-20.74281368,-8.87484883,-0.523519043,-10.55221444,-1.198443698,0.406212324,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=6.0_phi_r=189_phi_b=0_cx=0_cy=0_cz=0.log,0
8,6,28.5,2,-6,190,-25.35361284,-8.886633467,-0.522333049,-10.72755955,-5.627446929,0.410360164,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=6.0_phi_r=190_phi_b=0_cx=0_cy=0_cz=0.log,0
8,6,28.5,2,-6,191,-28.44199115,-8.897495666,-0.521291383,-10.91720563,-8.519816222,0.413817745,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=6.0_phi_r=191_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,5.8,28.5,2,-6,189,-20.99378003,-9.490787545,-0.482442238,-10.44982363,-0.978112387,0.407385767,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.8_phi_r=189_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,5.8,28.5,2,-6,190,-25.86347098,-9.507102805,-0.481375471,-10.62824982,-5.658100793,0.411357905,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.8_phi_r=190_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,5.8,28.5,2,-6,191,-29.03781817,-9.522219521,-0.480440481,-10.82199981,-8.627773043,0.414614682,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.8_phi_r=191_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,5.9,28.5,2,-6,189,-21.74581312,-9.236809148,-0.482442238,-10.4371793,-1.996347764,0.406965335,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.9_phi_r=189_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,5.9,28.5,2,-6,191,-29.0586013,-9.262988865,-0.480440481,-10.80355729,-8.925940694,0.414326028,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=5.9_phi_r=191_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,6,28.5,2,-6,189,-22.30476765,-8.87484883,-0.482442238,-10.40356987,-2.950476719,0.406570004,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=6.0_phi_r=189_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,6,28.5,2,-6,190,-26.28611152,-8.886633467,-0.481375471,-10.57647397,-6.752296255,0.410667645,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=6.0_phi_r=190_phi_b=0_cx=0_cy=0_cz=0.log,0
8.1,6,28.5,2,-6,191,-28.92366155,-8.897495666,-0.480440481,-10.76426889,-9.195500165,0.414043648,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.1_b=6.0_phi_r=191_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.8,28.5,2,-6,189,-22.65224504,-9.490787545,-0.44491714,-10.30038212,-2.823933052,0.407774823,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.8_phi_r=189_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.8,28.5,2,-6,190,-26.82484768,-9.507102805,-0.443963325,-10.47570214,-6.80973852,0.41165911,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.8_phi_r=190_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.8,28.5,2,-6,191,-29.51752447,-9.522219521,-0.443147562,-10.66689816,-9.300112357,0.414853136,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.8_phi_r=191_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.9,28.5,2,-6,189,-23.18101006,-9.236809148,-0.44491714,-10.26712409,-3.639520349,0.407360667,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.9_phi_r=189_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.9,28.5,2,-6,190,-26.96930676,-9.25045749,-0.443963325,-10.43962032,-7.246585882,0.411320255,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.9_phi_r=190_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,5.9,28.5,2,-6,191,-29.43204505,-9.262988865,-0.443147562,-10.62769761,-9.51276922,0.414558206,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=5.9_phi_r=191_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,6,28.5,2,-6,189,-23.53090336,-8.87484883,-0.44491714,-10.21548629,-4.40259761,0.40694651,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=6.0_phi_r=189_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,6,28.5,2,-6,190,-26.95497443,-8.886633467,-0.443963325,-10.38520892,-7.650143838,0.410975124,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=6.0_phi_r=190_phi_b=0_cx=0_cy=0_cz=0.log,0
8.2,6,28.5,2,-6,191,-29.19778302,-8.897495666,-0.443147562,-10.5702177,-9.701191648,0.414269552,3,Done,mono-C9-BTBT_theta=28.5_A1=2_A2=-6_a=8.2_b=6.0_phi_r=191_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8,61.5,5,-5,79,-32.2162379,-1.161652787,-8.229592846,-11.28547242,-9.953450669,-1.586069176,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.0_phi_r=79_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8,61.5,5,-5,80,-31.99439429,-1.154480348,-8.24549395,-11.66322717,-9.333320186,-1.597872639,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.0_phi_r=80_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8,61.5,5,-5,81,-31.43724698,-1.146479595,-8.262945003,-11.86559914,-8.553356631,-1.608866614,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.0_phi_r=81_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.1,61.5,5,-5,79,-32.77585759,-1.064689942,-8.229592846,-11.50675755,-10.38884848,-1.585968774,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=79_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.1,61.5,5,-5,80,-32.59074214,-1.05798186,-8.24549395,-11.80747916,-9.881996104,-1.597791062,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=80_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.1,61.5,5,-5,81,-32.11472561,-1.050514491,-8.262945003,-11.95507579,-9.237380182,-1.608810138,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=81_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.2,61.5,5,-5,79,-33.14096801,-0.976474586,-8.229592846,-11.63621913,-10.71283817,-1.585843272,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=79_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.2,61.5,5,-5,80,-32.98703353,-0.970274787,-8.24549395,-11.86966541,-10.30390873,-1.597690661,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=80_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.2,61.5,5,-5,81,-32.58055138,-0.963353352,-8.262945003,-11.9695901,-9.775928089,-1.608734837,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=81_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8,61.5,5,-5,79,-32.71818942,-1.161652787,-7.986056216,-11.58392245,-10.40029426,-1.586263704,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.0_phi_r=79_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8,61.5,5,-5,80,-32.49633954,-1.154480348,-8.001141556,-11.87905923,-9.863641437,-1.598016966,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.0_phi_r=80_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8,61.5,5,-5,81,-31.96212772,-1.146479595,-8.017488192,-12.01923869,-9.169954232,-1.608967016,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.0_phi_r=81_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.1,61.5,5,-5,79,-33.11299361,-1.064689942,-7.986056216,-11.73055271,-10.74550007,-1.586194678,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=79_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.1,61.5,5,-5,81,-32.47070575,-1.050514491,-8.017488192,-12.05242769,-9.741346013,-1.608929365,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=81_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.2,61.5,5,-5,79,-33.33609224,-0.976474586,-7.986056216,-11.79607731,-10.99139613,-1.586088001,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=79_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.2,61.5,5,-5,80,-33.18120395,-0.970274787,-8.001141556,-11.9664902,-10.64541222,-1.597885189,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=80_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.2,61.5,5,-5,81,-32.79128806,-0.963353352,-8.017488192,-12.01919476,-10.18237887,-1.608872889,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=81_phi_b=0_cx=0_cy=0_cz=0.log,0
6,8,61.5,5,-5,79,-32.99630813,-1.161652787,-7.660365975,-11.8162392,-10.77162958,-1.586420581,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.0_phi_r=79_phi_b=0_cx=0_cy=0_cz=0.log,0
6,8,61.5,5,-5,80,-32.77842411,-1.154480348,-7.674403375,-12.03709135,-10.31431912,-1.598129918,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.0_phi_r=80_phi_b=0_cx=0_cy=0_cz=0.log,0
6,8,61.5,5,-5,81,-32.27105717,-1.146479595,-7.689601667,-12.12206875,-9.703852291,-1.609054867,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.0_phi_r=81_phi_b=0_cx=0_cy=0_cz=0.log,0
6,8.1,61.5,5,-5,79,-33.24453853,-1.064689942,-7.660365975,-11.89691816,-11.03617525,-1.586389206,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=79_phi_b=0_cx=0_cy=0_cz=0.log,0
6,8.1,61.5,5,-5,80,-33.06178252,-1.05798186,-7.674403375,-12.06057277,-10.67071342,-1.598111092,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=80_phi_b=0_cx=0_cy=0_cz=0.log,0
6,8.1,61.5,5,-5,81,-32.62805389,-1.050514491,-7.689601667,-12.10584762,-10.17304779,-1.609042317,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=81_phi_b=0_cx=0_cy=0_cz=0.log,0
6,8.2,61.5,5,-5,79,-33.34160806,-0.976474586,-7.660365975,-11.90609864,-11.21235495,-1.586313904,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.2_phi_r=79_phi_b=0_cx=0_cy=0_cz=0.log,0
6,8.2,61.5,5,-5,80,-33.18870897,-0.970268512,-7.674403375,-12.01998543,-10.92599077,-1.598060891,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.2_phi_r=80_phi_b=0_cx=0_cy=0_cz=0.log,0
6,8.2,61.5,5,-5,81,-32.81850945,-0.963353352,-7.689601667,-12.030879,-10.52567076,-1.609004666,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.2_phi_r=81_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8,61.5,5,-5,219,-30.12778422,-0.836113149,-8.255132504,-11.54785945,-9.197514472,-0.29116464,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.0_phi_r=219_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8,61.5,5,-5,220,-30.91023271,-0.841741914,-8.239112173,-11.54728842,-9.936777727,-0.345312478,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.0_phi_r=220_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8,61.5,5,-5,221,-31.49645255,-0.846975348,-8.224654343,-11.46907557,-10.55495665,-0.400790637,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.0_phi_r=221_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.1,61.5,5,-5,219,-30.72671114,-0.766572491,-8.255132504,-11.57946086,-9.834412021,-0.291133265,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=219_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.1,61.5,5,-5,220,-31.4006004,-0.77182475,-8.239112173,-11.60951858,-10.43502067,-0.345124225,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=220_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.1,61.5,5,-5,221,-31.9070951,-0.776706778,-8.224654343,-11.57425252,-10.93099202,-0.400489432,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=221_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.2,61.5,5,-5,219,-31.10999424,-0.703470086,-8.255132504,-11.54438932,-10.31588162,-0.291120714,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=219_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.2,61.5,5,-5,220,-31.69093673,-0.708364664,-8.239112173,-11.60053892,-10.79796618,-0.344954797,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=220_phi_b=0_cx=0_cy=0_cz=0.log,0
5.8,8.2,61.5,5,-5,221,-32.12935286,-0.712901561,-8.224654343,-11.60212652,-11.18948222,-0.400188227,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=221_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8,61.5,5,-5,219,-30.43870915,-0.836113149,-8.007899839,-11.62414584,-9.679435877,-0.291114439,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.0_phi_r=219_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8,61.5,5,-5,220,-31.18616141,-0.841741914,-7.992996477,-11.65446085,-10.35151164,-0.34545053,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.0_phi_r=220_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8,61.5,5,-5,221,-31.75006699,-0.846975348,-7.979536387,-11.61809665,-10.90439815,-0.401060466,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.0_phi_r=221_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.1,61.5,5,-5,219,-30.88447342,-0.766572491,-8.007899839,-11.60982606,-10.20911079,-0.291064238,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=219_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.1,61.5,5,-5,221,-32.01526527,-0.776706778,-7.979536387,-11.66609489,-11.19213658,-0.400790637,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=221_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.2,61.5,5,-5,219,-31.13765488,-0.703470086,-8.007899839,-11.53615011,-10.59910826,-0.291026588,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=219_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.2,61.5,5,-5,220,-31.69204114,-0.708364664,-7.992996477,-11.61411196,-11.03149402,-0.345074024,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=220_phi_b=0_cx=0_cy=0_cz=0.log,0
5.9,8.2,61.5,5,-5,221,-32.11385964,-0.712901561,-7.979536387,-11.64555021,-11.37537578,-0.400495707,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=221_phi_b=0_cx=0_cy=0_cz=0.log,0
6,8,61.5,5,-5,219,-30.56209644,-0.836113149,-7.678287661,-11.6620098,-10.09462787,-0.291057963,3,Done,mono-C9-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.0_phi_r=219_phi_b=0_cx=0_cy=0_cz=0.log,0
