a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,machine_type,status,file_name
5.9,8.0,61.5,5,-5,80.0,-51.16033809096552,-0.6019326924579218,-7.0867528094677255,-9.22982496151235,-8.661658582044765,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8_phi_r=80_cx=0_cy=0_cz=0.log
5.9,8.0,61.5,5,-5,220.0,-53.02485855389386,-0.4980107612209394,-7.068260089727119,-9.345644482295029,-9.600513943703843,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8_phi_r=220_cx=0_cy=0_cz=0.log
5.8,7.9,61.5,5,-5,79.0,-49.02601342881098,-0.6606299777049571,-7.224428503657691,-8.482893533422612,-8.145054699620232,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=7.9_phi_r=79_cx=0_cy=0_cz=0.log
5.8,7.9,61.5,5,-5,80.0,-49.51489392039366,-0.6593498577130958,-7.232046474819072,-8.775401045102626,-8.090649582562037,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=7.9_phi_r=80_cx=0_cy=0_cz=0.log
5.8,7.9,61.5,5,-5,80.1,-49.55662333383225,-0.6591992549365386,-7.232849687454291,-8.801549386465922,-8.084713338059373,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=7.9_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,8.0,61.5,5,-5,79.0,-50.12273775599897,-0.603093585697934,-7.224428503657691,-8.774503705324605,-8.459343083319254,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8.0,61.5,5,-5,80.0,-50.54935670481064,-0.6019326924579218,-7.232046474819072,-9.022175627527758,-8.418523557600565,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.0,61.5,5,-5,80.1,-50.58576483372599,-0.601807190454565,-7.232849687454291,-9.044220053590834,-8.414005485363305,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-5,79.0,-50.863613713299856,-0.5511043824953958,-7.224428503657691,-8.971359867602587,-8.684914102894254,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=79_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-5,80.0,-51.23449722188525,-0.5500564406393096,-7.232046474819072,-9.179536309908144,-8.6556093855761,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=80_cx=0_cy=0_cz=0.log
5.8,8.1,61.5,5,-5,80.1,-51.2660986261908,-0.5499372140038759,-7.232849687454291,-9.197966278763488,-8.652296132873744,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.1_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,7.9,61.5,5,-5,79.0,-49.950210156617686,-0.6606299777049571,-7.079561544815078,-8.79565706755966,-8.439256488229148,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=7.9_phi_r=79_cx=0_cy=0_cz=0.log
5.9,7.9,61.5,5,-5,80.0,-50.38660571211949,-0.6593498577130958,-7.0867528094677255,-9.048449471243655,-8.398750717635266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=7.9_phi_r=80_cx=0_cy=0_cz=0.log
5.9,7.9,61.5,5,-5,80.1,-50.4235786003992,-0.6591992549365386,-7.08749954670202,-9.070870403316803,-8.394220095244236,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=7.9_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,8.0,61.5,5,-5,79.0,-50.77974072564393,-0.603093585697934,-7.079561544815078,-9.01680414180737,-8.690411090501584,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.0,61.5,5,-5,80.1,-51.19257955555804,-0.601807190454565,-7.08749954670202,-9.248618885874748,-8.658364154747687,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,79.0,-51.290546416072175,-0.5511043824953958,-7.079561544815078,-9.153237366117535,-8.861369914608076,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,80.0,-51.62116888491437,-0.5500564406393096,-7.0867528094677255,-9.331236852449363,-8.842538339900784,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=80_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,80.1,-51.649118181783706,-0.5499372140038759,-7.08749954670202,-9.346843026345596,-8.840279303840362,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,7.9,61.5,5,-5,79.0,-50.47453241213225,-0.6606299777049571,-6.842350214836188,-9.052565936697649,-8.681720076827332,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=7.9_phi_r=79_cx=0_cy=0_cz=0.log
6.0,7.9,61.5,5,-5,80.0,-50.86203238833696,-0.6593498577130958,-6.849033196107484,-9.268755682045594,-8.653877458302304,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=7.9_phi_r=80_cx=0_cy=0_cz=0.log
6.0,7.9,61.5,5,-5,80.1,-50.89467545761727,-0.6591992549365386,-6.849729732144624,-9.28776923508849,-8.650639506638981,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=7.9_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,8.0,61.5,5,-5,79.0,-51.06495657120831,-0.603093585697934,-6.842350214836188,-9.210742382332684,-8.876292102737352,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8_phi_r=79_cx=0_cy=0_cz=0.log
6.0,8.0,61.5,5,-5,80.0,-51.402657352853566,-0.6019326924579218,-6.849033196107484,-9.391835493268443,-8.858527294592932,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8_phi_r=80_cx=0_cy=0_cz=0.log
6.0,8.0,61.5,5,-5,80.1,-51.43112120660953,-0.601807190454565,-6.849729732144624,-9.40766757063102,-8.856356110074557,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,8.1,61.5,5,-5,79.0,-51.37037823838182,-0.5511043824953958,-6.842350214836188,-9.293316423078068,-8.998418098781258,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=79_cx=0_cy=0_cz=0.log
6.0,8.1,61.5,5,-5,80.0,-51.663387757726014,-0.5500564406393096,-6.849033196107484,-9.443510941811835,-8.989093300304376,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=80_cx=0_cy=0_cz=0.log
6.0,8.1,61.5,5,-5,80.1,-51.68803635123186,-0.5499372140038759,-6.849729732144624,-9.456544324639252,-8.987806904828176,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=6.0_b=8.1_phi_r=80.1_cx=0_cy=0_cz=0.log
5.8,7.9,61.5,5,-5,219.0,-52.342177875107154,-0.5427082986570895,-7.219772379379719,-9.157705237157645,-9.250903022359124,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=7.9_phi_r=219_cx=0_cy=0_cz=0.log
5.8,7.9,61.5,5,-5,220.0,-52.16033802647144,-0.5448418324813247,-7.214018112397753,-9.0158566016471,-9.30545246670954,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=7.9_phi_r=220_cx=0_cy=0_cz=0.log
5.8,7.9,61.5,5,-5,220.1,-52.1379735711962,-0.5450363607378677,-7.213478454039432,-8.999717044527642,-9.310754926293155,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=7.9_phi_r=220.1_cx=0_cy=0_cz=0.log
5.8,8.0,61.5,5,-5,219.0,-52.91957492753863,-0.4960215548053384,-7.219772379379719,-9.314714514417574,-9.429279015166683,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8_phi_r=219_cx=0_cy=0_cz=0.log
5.8,8.0,61.5,5,-5,220.0,-52.765684372745454,-0.4980107612209394,-7.214018112397753,-9.200601820484737,-9.4702114922693,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8_phi_r=220_cx=0_cy=0_cz=0.log
