theta,x2,y2,z2,E2,machine_type,status,file_name
,1.5,6.9,0.3,-1.581728688965086,3,Done,naphthalene_x2=1.5_y2=6.9_z2=0.3_2.log
,1.5,7.0,0.3,-1.4669313819613308,3,Done,naphthalene_x2=1.5_y2=7.0_z2=0.3_2.log
,1.5,7.1,0.3,-1.3417632172931917,3,Done,naphthalene_x2=1.5_y2=7.1_z2=0.3_2.log
,1.6,6.9,0.1,-1.597140334546566,3,Done,naphthalene_x2=1.6_y2=6.9_z2=0.1_2.log
,1.6,6.9,0.2,-1.597299722081516,3,Done,naphthalene_x2=1.6_y2=6.9_z2=0.2_2.log
,1.6,6.9,0.3,-1.5972733666421846,3,Done,naphthalene_x2=1.6_y2=6.9_z2=0.3_2.log
,1.6,7.0,0.3,-1.4665322856744751,3,Done,naphthalene_x2=1.6_y2=7.0_z2=0.3_2.log
,1.6,7.1,0.3,-1.3325946687255057,3,Done,naphthalene_x2=1.6_y2=7.1_z2=0.3_2.log
,1.3,6.8,0.2,-1.504118252079934,3,Done,naphthalene_x2=1.3_y2=6.8_z2=0.2_2.log
,1.3,6.8,0.3,-1.5194571065949276,3,Done,naphthalene_x2=1.3_y2=6.8_z2=0.3_2.log
,1.3,6.8,0.4,-1.5395198562473524,3,Done,naphthalene_x2=1.3_y2=6.8_z2=0.4_2.log
,1.3,6.9,0.2,-1.4785127065842971,3,Done,naphthalene_x2=1.3_y2=6.9_z2=0.2_2.log
,1.3,6.9,0.3,-1.4877741265809163,3,Done,naphthalene_x2=1.3_y2=6.9_z2=0.3_2.log
,1.3,6.9,0.4,-1.499596415087581,3,Done,naphthalene_x2=1.3_y2=6.9_z2=0.4_2.log
,1.3,7.0,0.2,-1.4170016663847491,3,Done,naphthalene_x2=1.3_y2=7.0_z2=0.2_2.log
,1.3,7.0,0.3,-1.4215209933463484,3,Done,naphthalene_x2=1.3_y2=7.0_z2=0.3_2.log
,1.3,7.0,0.4,-1.426977192866616,3,Done,naphthalene_x2=1.3_y2=7.0_z2=0.4_2.log
,1.4,6.8,0.2,-1.6003224378218874,3,Done,naphthalene_x2=1.4_y2=6.8_z2=0.2_2.log
,1.4,6.8,0.3,-1.611091136932373,3,Done,naphthalene_x2=1.4_y2=6.8_z2=0.3_2.log
,1.4,6.8,0.4,-1.6248988668667153,3,Done,naphthalene_x2=1.4_y2=6.8_z2=0.4_2.log
,1.4,6.9,0.4,-1.55235745589016,3,Done,naphthalene_x2=1.4_y2=6.9_z2=0.4_2.log
,1.4,7.0,0.4,-1.454368631762918,3,Done,naphthalene_x2=1.4_y2=7.0_z2=0.4_2.log
,1.5,6.8,0.2,-1.6704742906731551,3,Done,naphthalene_x2=1.5_y2=6.8_z2=0.2_2.log
,1.5,6.8,0.3,-1.6771434669499286,3,Done,naphthalene_x2=1.5_y2=6.8_z2=0.3_2.log
,1.5,6.8,0.4,-1.6854058910976164,3,Done,naphthalene_x2=1.5_y2=6.8_z2=0.4_2.log
,1.5,6.9,0.4,-1.5845480913994834,3,Done,naphthalene_x2=1.5_y2=6.9_z2=0.4_2.log
,1.5,7.0,0.4,-1.4659863519482317,3,Done,naphthalene_x2=1.5_y2=7.0_z2=0.4_2.log
,1.3,6.7,0.1,-1.4670029181870632,3,Done,naphthalene_x2=1.3_y2=6.7_z2=0.1_2.log
,1.3,6.7,0.2,-1.4816885346081108,3,Done,naphthalene_x2=1.3_y2=6.7_z2=0.2_2.log
,1.3,6.7,0.3,-1.5051981968572363,3,Done,naphthalene_x2=1.3_y2=6.7_z2=0.3_2.log
,1.3,6.8,0.1,-1.4944872286287136,3,Done,naphthalene_x2=1.3_y2=6.8_z2=0.1_2.log
,1.3,6.9,0.1,-1.4726398404454812,3,Done,naphthalene_x2=1.3_y2=6.9_z2=0.1_2.log
,1.4,6.7,0.1,-1.6127772562904283,3,Done,naphthalene_x2=1.4_y2=6.7_z2=0.1_2.log
,1.4,6.7,0.2,-1.62366706476314,3,Done,naphthalene_x2=1.4_y2=6.7_z2=0.2_2.log
,1.4,6.7,0.3,-1.6409957534633577,3,Done,naphthalene_x2=1.4_y2=6.7_z2=0.3_2.log
,1.4,6.8,0.1,-1.59350328653818,3,Done,naphthalene_x2=1.4_y2=6.8_z2=0.1_2.log
,1.5,6.7,0.1,-1.7256330471718684,3,Done,naphthalene_x2=1.5_y2=6.7_z2=0.1_2.log
,1.5,6.7,0.2,-1.7332290558260866,3,Done,naphthalene_x2=1.5_y2=6.7_z2=0.2_2.log
,1.5,6.7,0.3,-1.7452101041562855,3,Done,naphthalene_x2=1.5_y2=6.7_z2=0.3_2.log
,1.5,6.8,0.1,-1.666180239757523,3,Done,naphthalene_x2=1.5_y2=6.8_z2=0.1_2.log
,1.3,6.6,0.1,-1.3680006654467434,3,Done,naphthalene_x2=1.3_y2=6.6_z2=0.1_2.log
,1.3,6.6,0.2,-1.3900532494299114,3,Done,naphthalene_x2=1.3_y2=6.6_z2=0.2_2.log
,1.3,6.6,0.3,-1.4254360282211564,3,Done,naphthalene_x2=1.3_y2=6.6_z2=0.3_2.log
,1.4,6.6,0.1,-1.5788044923101552,3,Done,naphthalene_x2=1.4_y2=6.6_z2=0.1_2.log
,1.4,6.6,0.2,-1.5952803948894143,3,Done,naphthalene_x2=1.4_y2=6.6_z2=0.2_2.log
,1.4,6.6,0.3,-1.6216433450463228,3,Done,naphthalene_x2=1.4_y2=6.6_z2=0.3_2.log
,1.5,6.6,0.1,-1.745249009807594,3,Done,naphthalene_x2=1.5_y2=6.6_z2=0.1_2.log
,1.5,6.6,0.2,-1.7571974276797846,3,Done,naphthalene_x2=1.5_y2=6.6_z2=0.2_2.log
,1.5,6.6,0.3,-1.7761927829124031,3,Done,naphthalene_x2=1.5_y2=6.6_z2=0.3_2.log
,1.3,6.5,0.0,-1.149475328042172,3,Done,naphthalene_x2=1.3_y2=6.5_z2=0.0_2.log
,1.3,6.5,0.1,-1.1607428975403309,3,Done,naphthalene_x2=1.3_y2=6.5_z2=0.1_2.log
,1.3,6.5,0.2,-1.193912448710762,3,Done,naphthalene_x2=1.3_y2=6.5_z2=0.2_2.log
,1.3,6.6,0.0,-1.3605038035311736,3,Done,naphthalene_x2=1.3_y2=6.6_z2=0.0_2.log
,1.3,6.7,0.0,-1.462001663458068,3,Done,naphthalene_x2=1.3_y2=6.7_z2=0.0_2.log
,1.4,6.5,0.0,-1.4576367038534954,3,Done,naphthalene_x2=1.4_y2=6.5_z2=0.0_2.log
,1.4,6.5,0.1,-1.4660365527379329,3,Done,naphthalene_x2=1.4_y2=6.5_z2=0.1_2.log
,1.4,6.5,0.2,-1.490744131442625,3,Done,naphthalene_x2=1.4_y2=6.5_z2=0.2_2.log
,1.4,6.6,0.0,-1.5731920428806916,3,Done,naphthalene_x2=1.4_y2=6.6_z2=0.0_2.log
,1.4,6.7,0.0,-1.6090642795315944,3,Done,naphthalene_x2=1.4_y2=6.7_z2=0.0_2.log
,1.5,6.5,0.0,-1.701932622003369,3,Done,naphthalene_x2=1.5_y2=6.5_z2=0.0_2.log
,1.5,6.5,0.1,-1.7080671597504988,3,Done,naphthalene_x2=1.5_y2=6.5_z2=0.1_2.log
,1.5,6.5,0.2,-1.7260792067972943,3,Done,naphthalene_x2=1.5_y2=6.5_z2=0.2_2.log
,1.5,6.6,0.0,-1.74117082223529,3,Done,naphthalene_x2=1.5_y2=6.6_z2=0.0_2.log
,1.5,6.7,0.0,-1.72304017591523,3,Done,naphthalene_x2=1.5_y2=6.7_z2=0.0_2.log
