theta,x1,y1,z1,E1,machine_type,status,file_name
,3.5,1.1,1.4,-5.356339391146321,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_1.log
,3.4,1.0,1.3,-5.311359474319033,3,Done,naphthalene_x1=3.4_y1=1.0_z1=1.3_1.log
,3.4,1.0,1.4,-5.333257690770552,3,Done,naphthalene_x1=3.4_y1=1.0_z1=1.4_1.log
,3.4,1.0,1.5,-5.325354829896241,3,Done,naphthalene_x1=3.4_y1=1.0_z1=1.5_1.log
,3.4,1.1,1.3,-5.343041826796252,3,Done,naphthalene_x1=3.4_y1=1.1_z1=1.3_1.log
,3.4,1.1,1.4,-5.356279150175396,3,Done,naphthalene_x1=3.4_y1=1.1_z1=1.4_1.log
,3.4,1.1,1.5,-5.344754301477224,3,Done,naphthalene_x1=3.4_y1=1.1_z1=1.5_1.log
,3.4,1.2,1.3,-5.351518859271891,3,Done,naphthalene_x1=3.4_y1=1.2_z1=1.3_1.log
,3.4,1.2,1.4,-5.357460123952478,3,Done,naphthalene_x1=3.4_y1=1.2_z1=1.4_1.log
,3.4,1.2,1.5,-5.343301615852397,3,Done,naphthalene_x1=3.4_y1=1.2_z1=1.5_1.log
,3.5,1.0,1.3,-5.332025261188392,3,Done,naphthalene_x1=3.5_y1=1.0_z1=1.3_1.log
,3.5,1.0,1.4,-5.344660802511498,3,Done,naphthalene_x1=3.5_y1=1.0_z1=1.4_1.log
,3.5,1.0,1.5,-5.334256686735898,3,Done,naphthalene_x1=3.5_y1=1.0_z1=1.5_1.log
,3.5,1.1,1.3,-5.350852443603799,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.3_1.log
,3.5,1.1,1.5,-5.342212885967456,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.5_1.log
,3.5,1.2,1.3,-5.350433267012704,3,Done,naphthalene_x1=3.5_y1=1.2_z1=1.3_1.log
,3.5,1.2,1.4,-5.350102569267619,3,Done,naphthalene_x1=3.5_y1=1.2_z1=1.4_1.log
,3.5,1.2,1.5,-5.333449081372237,3,Done,naphthalene_x1=3.5_y1=1.2_z1=1.5_1.log
,3.6,1.0,1.3,-5.142349695961457,3,Done,naphthalene_x1=3.6_y1=1.0_z1=1.3_1.log
,3.6,1.0,1.4,-5.147662823146675,3,Done,naphthalene_x1=3.6_y1=1.0_z1=1.4_1.log
,3.6,1.0,1.5,-5.135093797929585,3,Done,naphthalene_x1=3.6_y1=1.0_z1=1.5_1.log
,3.6,1.1,1.3,-5.148712647380307,3,Done,naphthalene_x1=3.6_y1=1.1_z1=1.3_1.log
,3.6,1.1,1.4,-5.149015107192099,3,Done,naphthalene_x1=3.6_y1=1.1_z1=1.4_1.log
,3.6,1.1,1.5,-5.133887096075341,3,Done,naphthalene_x1=3.6_y1=1.1_z1=1.5_1.log
,3.6,1.2,1.3,-5.1411072261980735,3,Done,naphthalene_x1=3.6_y1=1.2_z1=1.3_1.log
,3.6,1.2,1.4,-5.137274395092391,3,Done,naphthalene_x1=3.6_y1=1.2_z1=1.4_1.log
,3.6,1.2,1.5,-5.12026448152028,3,Done,naphthalene_x1=3.6_y1=1.2_z1=1.5_1.log
