theta,x1,y1,z1,x2,y2,z2,E3,E4,machine_type,status,file_name
,3.5,1.1,1.4,1.4,7.2,0.2,-0.1637430869741365,-2.7252702824771404,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=7.2_z2=0.2_3.log
,3.5,1.1,1.4,1.5,7.0,0.0,-0.179133397177793,-3.037860623851884,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=7.0_z2=0.0_3.log
,3.5,1.1,1.4,1.5,7.0,0.1,-0.1777911532553844,-3.071119908883702,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=7.0_z2=0.1_3.log
,3.5,1.1,1.4,1.5,7.0,0.2,-0.176366078085266,-3.084426885936409,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=7.0_z2=0.2_3.log
,3.5,1.1,1.4,1.5,7.1,0.2,-0.167117835721001,-2.935266503831372,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=7.1_z2=0.2_3.log
,3.5,1.1,1.4,1.5,7.2,0.2,-0.158313870371785,-2.76799179072259,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=7.2_z2=0.2_3.log
,3.5,1.1,1.4,1.6,7.0,0.0,-0.172643688682001,-2.988420993438922,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=7.0_z2=0.0_3.log
,3.5,1.1,1.4,1.6,7.0,0.1,-0.171367960923817,-3.0172770408098586,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=7.0_z2=0.1_3.log
,3.5,1.1,1.4,1.6,7.0,0.2,-0.1700169319519773,-3.016911829967285,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=7.0_z2=0.2_3.log
,3.5,1.1,1.4,1.6,7.1,0.0,-0.1637738349381834,-2.8698121908819303,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=7.1_z2=0.0_3.log
,3.5,1.1,1.4,1.6,7.1,0.1,-0.1625715256668627,-2.9010678364429623,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=7.1_z2=0.1_3.log
,3.5,1.1,1.4,1.6,7.1,0.2,-0.1612976804608479,-2.910699487430975,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=7.1_z2=0.2_3.log
,3.5,1.1,1.4,1.6,7.2,0.0,-0.1553175100707449,-2.7251039922703058,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=7.2_z2=0.0_3.log
,3.5,1.1,1.4,1.6,7.2,0.1,-0.1541854821261949,-2.7569068265729584,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=7.2_z2=0.1_3.log
,3.5,1.1,1.4,1.6,7.2,0.2,-0.1529863104806281,-2.7732151839591097,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=7.2_z2=0.2_3.log
,3.5,1.1,1.4,1.4,6.9,0.1,-0.1947251381352543,-3.2255532573908567,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.9_z2=0.1_3.log
,3.5,1.1,1.4,1.4,6.9,0.2,-0.1931331452797167,-3.242393115768209,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.9_z2=0.2_3.log
,3.5,1.1,1.4,1.4,6.9,0.3,-0.1914520460413769,-3.240937292575836,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.9_z2=0.3_3.log
,3.5,1.1,1.4,1.4,7.0,0.3,-0.1812669311766512,-3.092312804190442,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=7.0_z2=0.3_3.log
,3.5,1.1,1.4,1.4,7.1,0.3,-0.1715668815886601,-2.924003326916136,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=7.1_z2=0.3_3.log
,3.5,1.1,1.4,1.5,6.9,0.1,-0.1875803092843853,-3.2003449256299064,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.9_z2=0.1_3.log
,3.5,1.1,1.4,1.5,6.9,0.2,-0.1860705201979726,-3.2047864414635114,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.9_z2=0.2_3.log
,3.5,1.1,1.4,1.5,6.9,0.3,-0.1844766447902657,-3.1812523065018468,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=6.9_z2=0.3_3.log
,3.5,1.1,1.4,1.5,7.0,0.3,-0.1748631915543228,-3.0770473683369346,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=7.0_z2=0.3_3.log
,3.5,1.1,1.4,1.5,7.1,0.3,-0.1657021730788983,-2.939429405203555,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.5_y2=7.1_z2=0.3_3.log
,3.5,1.1,1.4,1.6,6.9,0.1,-0.1805898479069583,-3.0914882559445687,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=6.9_z2=0.1_3.log
,3.5,1.1,1.4,1.6,6.9,0.2,-0.1791578700649552,-3.0769143361249007,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=6.9_z2=0.2_3.log
,3.5,1.1,1.4,1.6,6.9,0.3,-0.1776455709477886,-3.023651914903894,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=6.9_z2=0.3_3.log
,3.5,1.1,1.4,1.6,7.0,0.3,-0.1685912291286513,-2.9869551301235333,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=7.0_z2=0.3_3.log
,3.5,1.1,1.4,1.6,7.1,0.3,-0.1599541814648546,-2.8981292071403004,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.6_y2=7.1_z2=0.3_3.log
,3.5,1.1,1.4,1.3,6.8,0.2,-0.211807215353474,-3.379549859033432,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.8_z2=0.2_3.log
,3.5,1.1,1.4,1.3,6.8,0.3,-0.2099359805579297,-3.383942429034505,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.8_z2=0.3_3.log
,3.5,1.1,1.4,1.3,6.8,0.4,-0.2079693642444908,-3.372834874491673,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.8_z2=0.4_3.log
,3.5,1.1,1.4,1.3,6.9,0.2,-0.2003338224603794,-3.214613248128444,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.9_z2=0.2_3.log
,3.5,1.1,1.4,1.3,6.9,0.3,-0.1985686369007453,-3.2270850093627814,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.9_z2=0.3_3.log
,3.5,1.1,1.4,1.3,6.9,0.4,-0.1967149723204784,-3.228261590527836,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=6.9_z2=0.4_3.log
,3.5,1.1,1.4,1.3,7.0,0.2,-0.1894421314354986,-3.0349408197798766,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.0_z2=0.2_3.log
,3.5,1.1,1.4,1.3,7.0,0.3,-0.1877786024124361,-3.052633464278188,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.0_z2=0.3_3.log
,3.5,1.1,1.4,1.3,7.0,0.4,-0.1860309871844947,-3.0621709887636825,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.3_y2=7.0_z2=0.4_3.log
,3.5,1.1,1.4,1.4,6.8,0.2,-0.2039238072466105,-3.374713639379479,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.8_z2=0.2_3.log
,3.5,1.1,1.4,1.4,6.8,0.3,-0.2021397962816991,-3.35895749082556,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.8_z2=0.3_3.log
,3.5,1.1,1.4,1.4,6.8,0.4,-0.2002660513971932,-3.319415575708262,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.8_z2=0.4_3.log
,3.5,1.1,1.4,1.4,6.9,0.4,-0.1896843503345735,-3.22157045151107,3,Done,naphthalene_x1=3.5_y1=1.1_z1=1.4_x2=1.4_y2=6.9_z2=0.4_3.log
