a,b,theta,A1,A2,phi_r,phi_b,status
5.8,8.2,61.5,5,-5,223,0,NotYet
5.8,8.2,61.5,5,-7,223,0,NotYet
5.8,8.2,61.5,5,-3,223,0,NotYet
