cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.1,1.5,13.6,7.2,6,25,2.1,1.9,-5.477362852,-1.121606354,-0.024377509,-1.680465505,-1.022384473,-0.022732177,-1.709462742,-0.052823792,-0.415789381,-1.989538653,-0.228696647,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.1_cy=1.5_cz=13.6.log
0.2,1.6,13.4,7.2,6,25,2.1,1.9,-5.477187149,-1.065048877,-0.027309235,-1.653915557,-0.588409852,-0.023874245,-1.863033264,-0.057238325,-0.467618569,-2.086532874,-0.255001866,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.6_cz=13.4.log
0.3,1.4,13.4,7.2,6,25,2.1,1.9,-5.475834865,-1.03162142,-0.030203311,-1.756280008,-0.461682952,-0.024716364,-1.788516452,-0.060121106,-0.427137272,-2.150712714,-0.29135352,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.4_cz=13.4.log
0.2,1.4,13.6,7.2,6,25,2.1,1.9,-5.475829845,-1.141893752,-0.02605296,-1.637535036,-0.971349084,-0.022661896,-1.645154262,-0.053906247,-0.388185844,-2.063796931,-0.247617328,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.4_cz=13.6.log
0.3,1.3,13.5,7.2,6,25,2.1,1.9,-5.475268851,-1.073660825,-0.029504265,-1.651400497,-0.745588557,-0.024048693,-1.625184384,-0.058292541,-0.389995582,-2.165622979,-0.286664138,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.3_cz=13.5.log
0.3,1.5,13.4,7.2,6,25,2.1,1.9,-5.473668073,-1.115101585,-0.029145329,-1.716709227,-0.477838825,-0.02383785,-1.852779751,-0.058354665,-0.434655469,-2.095661889,-0.277289766,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.5_cz=13.4.log
0.3,1.6,13.5,7.2,6,25,2.1,1.9,-5.471958109,-1.224993646,-0.026566263,-1.574692419,-0.75143695,-0.02162023,-1.821040295,-0.053380393,-0.410247213,-2.050619849,-0.247535752,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.6_cz=13.5.log
0.1,1.4,13.4,7.2,6,25,2.1,1.9,-5.469187024,-0.833451252,-0.028445028,-1.801477043,-0.635727871,-0.026606424,-1.811057866,-0.06151857,-0.47738639,-2.090751623,-0.271147699,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.1_cy=1.4_cz=13.4.log
0.1,1.6,13.6,7.2,6,25,2.1,1.9,-5.463496764,-1.122773523,-0.02355296,-1.65347128,-1.011915096,-0.02195783,-1.725033775,-0.051248114,-0.422727132,-1.99174686,-0.218422426,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.1_cy=1.6_cz=13.6.log
0.4,1.4,13.6,7.2,6,25,2.1,1.9,-5.463232582,-1.213744902,-0.027655621,-1.593924346,-0.893557925,-0.020916163,-1.608535288,-0.052763551,-0.350491318,-2.116335833,-0.264474757,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.4_cy=1.4_cz=13.6.log
0.4,1.3,13.5,7.2,6,25,2.1,1.9,-5.455077462,-1.132724576,-0.030346384,-1.63372856,-0.711790868,-0.023107428,-1.600506925,-0.057580317,-0.370034489,-2.164394314,-0.29696597,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.4_cy=1.3_cz=13.5.log
0.4,1.5,13.5,7.2,6,25,2.1,1.9,-5.44413808,-1.256050371,-0.028306976,-1.631608831,-0.705235899,-0.021519828,-1.765770469,-0.054370604,-0.382730899,-2.033993344,-0.268797046,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.4_cy=1.5_cz=13.5.log
0.3,1.6,13.6,7.2,6,25,2.1,1.9,-5.441514461,-1.211163326,-0.025091615,-1.548756176,-0.892227604,-0.020331324,-1.753113593,-0.050321282,-0.380811974,-2.052773463,-0.232265924,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.6_cz=13.6.log
0.2,1.3,13.5,7.2,6,25,2.1,1.9,-5.440216771,-1.012837536,-0.028637046,-1.662658026,-0.787960542,-0.024991213,-1.644515457,-0.058965232,-0.410998342,-2.112777852,-0.276675434,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.3_cz=13.5.log
0.4,1.5,13.6,7.2,6,25,2.1,1.9,-5.432354698,-1.237714529,-0.026725651,-1.58134779,-0.871190958,-0.020200802,-1.687921579,-0.051275097,-0.356138908,-2.060660009,-0.251730029,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.4_cy=1.5_cz=13.6.log
0.4,1.3,13.6,7.2,6,25,2.1,1.9,-5.425792825,-1.170386471,-0.028616966,-1.554068676,-0.897479862,-0.021656625,-1.520550856,-0.054262672,-0.344588331,-2.152883898,-0.277678195,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.4_cy=1.3_cz=13.6.log
0.3,1.3,13.6,7.2,6,25,2.1,1.9,-5.422151385,-1.134082508,-0.027799948,-1.569843022,-0.922118415,-0.022561494,-1.544103817,-0.054891437,-0.362523822,-2.126015803,-0.268465721,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.3_cz=13.6.log
0.1,1.4,13.6,7.2,6,25,2.1,1.9,-5.415450833,-1.100867148,-0.025230922,-1.649839252,-1.014172877,-0.023529115,-1.653670828,-0.054418295,-0.408554191,-1.979411269,-0.239412008,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.1_cy=1.4_cz=13.6.log
0.3,1.3,13.4,7.2,6,25,2.1,1.9,-5.385711879,-0.916008977,-0.031297689,-1.727024237,-0.416377985,-0.025635039,-1.704817913,-0.061905744,-0.419384386,-2.187892054,-0.305948775,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.3_cz=13.4.log
0.2,1.3,13.6,7.2,6,25,2.1,1.9,-5.373344284,-1.09655239,-0.026964105,-1.580003664,-0.951475843,-0.023466364,-1.562619127,-0.055486944,-0.381315864,-2.056578056,-0.259422674,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.3_cz=13.6.log
0.2,1.3,13.4,7.2,6,25,2.1,1.9,-5.368805505,-0.820368923,-0.030397839,-1.740976294,-0.478271807,-0.026616464,-1.724750141,-0.062676326,-0.442894676,-2.157661132,-0.294882637,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.3_cz=13.4.log
0.4,1.4,13.4,7.2,6,25,2.1,1.9,-5.367241122,-1.123672117,-0.031049195,-1.720235834,-0.390090336,-0.023761294,-1.766675339,-0.059361191,-0.404326656,-2.073965731,-0.301845488,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.4_cy=1.4_cz=13.4.log
0.4,1.2,13.5,7.2,6,25,2.1,1.9,-5.354810149,-1.034142755,-0.031419426,-1.566082982,-0.679210549,-0.023948292,-1.507473548,-0.059212471,-0.363302562,-2.199152093,-0.312004247,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.4_cy=1.2_cz=13.5.log
0.3,1.6,13.4,7.2,6,25,2.1,1.9,-5.353958618,-1.167646763,-0.028126253,-1.571799598,-0.468037119,-0.022988201,-1.881209719,-0.056615835,-0.441892542,-2.021843495,-0.26370292,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.6_cz=13.4.log
0.4,1.3,13.4,7.2,6,25,2.1,1.9,-5.336043208,-1.00995852,-0.032168673,-1.705311136,-0.368146312,-0.024648593,-1.679302101,-0.061096884,-0.39721383,-2.150391429,-0.317573398,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.4_cy=1.3_cz=13.4.log
0.4,1.2,13.6,7.2,6,25,2.1,1.9,-5.334513966,-1.107742148,-0.029609687,-1.483634443,-0.881066711,-0.022422187,-1.429308392,-0.055778736,-0.338473246,-2.17197589,-0.291394309,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.4_cy=1.2_cz=13.6.log
0.3,1.2,13.5,7.2,6,25,2.1,1.9,-5.333012334,-0.971895018,-0.030545932,-1.577809889,-0.695257235,-0.024922187,-1.532631679,-0.059968621,-0.382741567,-2.173137411,-0.300633766,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.2_cz=13.5.log
0.4,1.5,13.4,7.2,6,25,2.1,1.9,-5.300111985,-1.206182152,-0.029962348,-1.65819392,-0.384293399,-0.02291541,-1.839618356,-0.057647461,-0.411168397,-1.973852158,-0.286861176,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.4_cy=1.5_cz=13.4.log
0.3,1.2,13.6,7.2,6,25,2.1,1.9,-5.297049109,-1.06804461,-0.028767568,-1.494543077,-0.892415856,-0.023358432,-1.453019485,-0.0564508,-0.355921162,-2.123266681,-0.281335951,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.2_cz=13.6.log
0.2,1.2,13.5,7.2,6,25,2.1,1.9,-5.269212765,-0.911487141,-0.029654868,-1.58381767,-0.721784592,-0.025896083,-1.553139961,-0.060690885,-0.403138779,-2.102698786,-0.289794158,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.2_cz=13.5.log
0.4,1.2,13.4,7.2,6,25,2.1,1.9,-5.225790955,-0.864756471,-0.033333331,-1.644420075,-0.315593604,-0.025572287,-1.585286043,-0.062857049,-0.38982992,-2.204612685,-0.334010395,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.4_cy=1.2_cz=13.4.log
0.2,1.2,13.6,7.2,6,25,2.1,1.9,-5.225471553,-1.029922123,-0.027901605,-1.500387705,-0.909962291,-0.024288402,-1.472339263,-0.057083957,-0.374211196,-2.040192515,-0.27158319,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.2_cz=13.6.log
0.3,1.2,13.4,7.2,6,25,2.1,1.9,-5.222447582,-0.767334288,-0.032434737,-1.658227806,-0.339127739,-0.026590109,-1.611694174,-0.063711718,-0.411401204,-2.208432339,-0.321197896,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.3_cy=1.2_cz=13.4.log
0.2,1.2,13.4,7.2,6,25,2.1,1.9,-5.168284684,-0.672625459,-0.031509787,-1.665415305,-0.379067496,-0.02760542,-1.633212747,-0.064536894,-0.434134636,-2.155852021,-0.309043027,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=0.2_cy=1.2_cz=13.4.log
1.5,-0.8,13.3,7.2,6,25,2.1,1.9,-5.141650022,-1.116588784,-0.08562625,-0.251261279,-1.508830225,-0.036115711,-0.312128494,-0.078509031,-0.154017309,-1.939034765,-1.314813545,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=1.5_cy=-0.8_cz=13.3.log
1.5,-0.9,13.3,7.2,6,25,2.1,1.9,-5.138558281,-1.029797876,-0.08850652,-0.230589845,-1.544138957,-0.037684486,-0.294116447,-0.079474769,-0.149932219,-1.94795231,-1.348781917,3,Done,tetracene_a=7.2_b=6.0_theta=25.0_Rt=2.1_Rp=1.9_cx=1.5_cy=-0.9_cz=13.3.log
