cx,cy,cz,a,b,theta,Rt,Rp,status
1.5,-0.8,13.2,7.3,5.9,25.5,2.1,1.9,Done
0.3,1.3,13.5,7.3,5.9,25.5,2.1,1.9,Done
1.5,-0.8,13.2,7.2,6.0,25.0,2.1,1.9,Done
0.3,1.3,13.5,7.2,6.0,25.0,2.1,1.9,Done
