theta,A2,z,a,b,phi,status
60.0,-10,-1.0,5.8,8.5,94,NotYet
60.0,-10,-0.8,5.8,8.5,94,NotYet
60.0,-10,-0.6,5.8,8.5,94,NotYet
60.0,-10,-0.4,5.8,8.5,94,NotYet
60.0,-10,-0.2,5.8,8.5,94,NotYet
60.0,-10,0.0,5.8,8.5,94,NotYet
60.0,-10,0.2,5.8,8.5,94,NotYet
60.0,-10,0.4,5.8,8.5,94,NotYet
60.0,-10,0.6,5.8,8.5,94,NotYet
60.0,-10,0.8,5.8,8.5,94,NotYet
60.0,-10,1.0,5.8,8.5,94,NotYet
60.0,-8,-1.0,5.8,8.5,94,NotYet
60.0,-8,-0.8,5.8,8.5,94,NotYet
60.0,-8,-0.6,5.8,8.5,94,NotYet
60.0,-8,-0.4,5.8,8.5,94,NotYet
60.0,-8,-0.2,5.8,8.5,94,NotYet
60.0,-8,0.0,5.8,8.5,94,NotYet
60.0,-8,0.2,5.8,8.5,94,NotYet
60.0,-8,0.4,5.8,8.5,94,NotYet
60.0,-8,0.6,5.8,8.5,94,NotYet
60.0,-8,0.8,5.8,8.5,94,NotYet
60.0,-8,1.0,5.8,8.5,94,NotYet
60.0,-6,-1.0,5.8,8.5,94,NotYet
60.0,-6,-0.8,5.8,8.5,94,NotYet
60.0,-6,-0.6,5.8,8.5,94,NotYet
60.0,-6,-0.4,5.8,8.5,94,NotYet
60.0,-6,-0.2,5.8,8.5,94,NotYet
60.0,-6,0.0,5.8,8.5,94,NotYet
60.0,-6,0.2,5.8,8.5,94,NotYet
60.0,-6,0.4,5.8,8.5,94,NotYet
60.0,-6,0.6,5.8,8.5,94,NotYet
60.0,-6,0.8,5.8,8.5,94,NotYet
60.0,-6,1.0,5.8,8.5,94,NotYet
60.0,-4,-1.0,5.8,8.5,94,NotYet
60.0,-4,-0.8,5.8,8.5,94,NotYet
60.0,-4,-0.6,5.8,8.5,94,NotYet
60.0,-4,-0.4,5.8,8.5,94,NotYet
60.0,-4,-0.2,5.8,8.5,94,NotYet
60.0,-4,0.0,5.8,8.5,94,NotYet
60.0,-4,0.2,5.8,8.5,94,NotYet
60.0,-4,0.4,5.8,8.5,94,NotYet
60.0,-4,0.6,5.8,8.5,94,NotYet
60.0,-4,0.8,5.8,8.5,94,NotYet
60.0,-4,1.0,5.8,8.5,94,NotYet
60.0,-2,-1.0,5.8,8.5,94,NotYet
60.0,-2,-0.8,5.8,8.5,94,NotYet
60.0,-2,-0.6,5.8,8.5,94,NotYet
60.0,-2,-0.4,5.8,8.5,94,NotYet
60.0,-2,-0.2,5.8,8.5,94,NotYet
60.0,-2,0.0,5.8,8.5,94,NotYet
60.0,-2,0.2,5.8,8.5,94,NotYet
60.0,-2,0.4,5.8,8.5,94,NotYet
60.0,-2,0.6,5.8,8.5,94,NotYet
60.0,-2,0.8,5.8,8.5,94,NotYet
60.0,-2,1.0,5.8,8.5,94,NotYet
60.0,0,-1.0,5.8,8.5,94,NotYet
60.0,0,-0.8,5.8,8.5,94,NotYet
60.0,0,-0.6,5.8,8.5,94,NotYet
60.0,0,-0.4,5.8,8.5,94,NotYet
60.0,0,-0.2,5.8,8.5,94,NotYet
60.0,0,0.0,5.8,8.5,94,NotYet
60.0,0,0.2,5.8,8.5,94,NotYet
60.0,0,0.4,5.8,8.5,94,NotYet
60.0,0,0.6,5.8,8.5,94,NotYet
60.0,0,0.8,5.8,8.5,94,NotYet
60.0,0,1.0,5.8,8.5,94,NotYet
