a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,E_m,machine_type,status,file_name
5.9,8.2,61.5,5,-5,85,-27.78471835,-0.494716334,-7.132335136,-9.686407513,-8.821479104,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=85_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-5,84,-27.78073366,-0.496893793,-7.121887094,-9.663591249,-8.856575739,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=84_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-5,83,-27.75506223,-0.4988328,-7.112035187,-9.623731814,-8.88776926,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=83_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-5,85,-27.75464807,-0.452961819,-7.281136582,-9.593272478,-8.777496928,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.3_phi_r=85_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-5,84,-27.74778939,-0.454938475,-7.270161432,-9.570355813,-8.81054788,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.3_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-5,85,-27.73321861,-0.494716334,-7.281136582,-9.669834973,-8.637750451,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=85_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-5,85,-27.73029441,-0.452961819,-7.132335136,-9.581556867,-8.913660323,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.3_phi_r=85_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,85,-27.72837423,-0.540769293,-7.132335136,-9.745644457,-8.659845078,-1.649780266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=85_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-5,84,-27.72698116,-0.454938475,-7.121887094,-9.56922002,-8.939149779,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.3_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.2,61.5,5,-5,84,-27.72499195,-0.496893793,-7.270161432,-9.634663038,-8.681487898,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.2_phi_r=84_cx=0_cy=0_cz=0.log
5.9,8.1,61.5,5,-5,84,-27.72379968,-0.543178931,-7.121887094,-9.710679599,-8.706268268,-1.641785789,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.1_phi_r=84_cx=0_cy=0_cz=0.log
5.8,8.3,61.5,5,-5,83,-27.71998442,-0.456695503,-7.25963809,-9.530697181,-8.840260478,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.8_b=8.3_phi_r=83_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-5,83,-27.7046167,-0.456695503,-7.112035187,-9.542174339,-8.961018503,-1.632693169,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.3_phi_r=83_cx=0_cy=0_cz=0.log
5.9,8.2,61.5,5,-5,82,-27.70366288,-0.500508251,-7.102917467,-9.563283775,-8.914425885,-1.622527507,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-5_a=5.9_b=8.2_phi_r=82_cx=0_cy=0_cz=0.log
