a,b,theta,A1,A2,Rt,Rp,status
7.2,6,25,-0.5,-1.1,2.1,1.9,NotYet
7.2,6,25,-0.5,-1.2,2.1,1.9,NotYet
7.2,6,25,-0.5,-1.3,2.1,1.9,NotYet
7.2,6,25,-0.5,-1.4,2.1,1.9,NotYet
