theta,A2,phi,a,b,z,status
58.0,-6.0,30.0,6.1,9.1,-3.2,NotYet
58.0,-14.0,30.0,6.1,9.1,-3.0,NotYet
58.0,-12.0,30.0,6.1,8.7,-3.0,NotYet
58.0,-10.0,30.0,6.1,8.5,-3.0,NotYet
58.0,-8.0,30.0,6.2,8.6,-3.0,NotYet
58.0,-6.0,30.0,6.1,9.3,-3.0,NotYet
58.0,-14.0,30.0,6.1,9.4,-2.8,NotYet
58.0,-12.0,30.0,6.1,8.9,-2.8,NotYet
58.0,-10.0,30.0,6.1,8.6,-2.8,NotYet
58.0,-8.0,30.0,6.2,8.7,-2.8,NotYet
58.0,-6.0,30.0,6.1,9.4,-2.8,NotYet
62.0,-14.0,30.0,6.1,8.9,-3.4,NotYet
62.0,-12.0,30.0,6.1,8.6,-3.4,NotYet
62.0,-10.0,30.0,6.1,8.4,-3.4,NotYet
62.0,-8.0,30.0,6.1,8.3,-3.4,NotYet
62.0,-6.0,30.0,6.2,8.5,-3.4,NotYet
62.0,-14.0,30.0,6.1,8.8,-3.2,NotYet
62.0,-12.0,30.0,6.1,8.6,-3.2,NotYet
62.0,-10.0,30.0,6.1,8.4,-3.2,NotYet
62.0,-8.0,30.0,6.1,8.3,-3.2,NotYet
62.0,-6.0,30.0,6.2,8.7,-3.2,NotYet
62.0,-14.0,30.0,6.1,9.0,-3.0,NotYet
62.0,-12.0,30.0,6.1,8.6,-3.0,NotYet
62.0,-10.0,30.0,6.1,8.4,-3.0,NotYet
62.0,-8.0,30.0,6.1,8.4,-3.0,NotYet
62.0,-6.0,30.0,6.2,8.8,-3.0,NotYet
62.0,-14.0,30.0,6.1,9.3,-2.8,NotYet
62.0,-12.0,30.0,6.1,8.8,-2.8,NotYet
62.0,-10.0,30.0,6.1,8.5,-2.8,NotYet
62.0,-8.0,30.0,6.2,8.4,-2.8,NotYet
62.0,-6.0,30.0,6.2,8.9,-2.8,NotYet
64.0,-14.0,30.0,6.1,8.8,-3.4,NotYet
64.0,-12.0,30.0,6.1,8.6,-3.4,NotYet
64.0,-10.0,30.0,6.1,8.4,-3.4,NotYet
64.0,-8.0,30.0,6.1,8.3,-3.4,NotYet
64.0,-6.0,30.0,6.2,8.4,-3.4,NotYet
64.0,-14.0,30.0,6.2,8.7,-3.2,NotYet
64.0,-12.0,30.0,6.1,8.5,-3.2,NotYet
64.0,-10.0,30.0,6.1,8.3,-3.2,NotYet
64.0,-8.0,30.0,6.1,8.2,-3.2,NotYet
64.0,-6.0,30.0,6.2,8.5,-3.2,NotYet
