cx,cy,cz,a,b,theta,Rt,Rp,E,E_p1,E_t1,E_t2,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.2,1.4,16,7.1,5.9,25,2.2,2.2,-82.1484266,-12.60700534,-9.232282291,-13.4050073,-1.117644256,-0.022646836,-1.789879404,-0.90269447,-0.019387549,-1.946511547,-0.053268696,-0.489482273,-2.153132392,-0.234652972,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=5.9_Rt=2.2_Rp=2.2.log
0.2,1.4,16,7.3,5.8,25,2.2,2.1,-82.13839083,-12.64965783,-9.363659039,-13.4081825,-1.117644256,-0.024919677,-1.645655015,-0.90269447,-0.021419426,-1.886656506,-0.053529113,-0.432885891,-2.113843364,-0.247943006,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.8_Rt=2.2_Rp=2.1.log
0.2,1.4,16,7.2,6,25,2.2,2,-82.13267986,-12.77330804,-9.177129182,-13.45677248,-1.117644256,-0.024789155,-1.754913919,-0.90269447,-0.021361695,-1.769963491,-0.052269073,-0.405145556,-2.149258146,-0.256773954,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=6.0_Rt=2.2_Rp=2.0.log
0.2,1.4,16,7.3,5.9,25,2.4,2.1,-82.1239217,-12.73889288,-9.349973046,-13.24316118,-1.117644256,-0.024106424,-1.783207717,-0.90269447,-0.020711595,-1.891719257,-0.046735062,-0.369413882,-2.168510152,-0.275232789,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.9_Rt=2.4_Rp=2.1.log
0.2,1.4,16,7.2,6,25,2.1,2.1,-82.12091467,-12.65749166,-9.086479087,-13.59517546,-1.117644256,-0.023311996,-1.816199683,-0.90269447,-0.020022589,-1.844709972,-0.05554593,-0.471303936,-2.106423685,-0.225746095,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=6.0_Rt=2.1_Rp=2.1.log
0.2,1.4,16,7.3,5.9,25,2,1.9,-82.11875981,-12.47667089,-9.599497378,-13.47956302,-1.117644256,-0.02727033,-1.690976297,-0.90269447,-0.023596886,-1.753999637,-0.059591487,-0.429140284,-2.014452055,-0.242373855,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.9_Rt=2.0_Rp=1.9.log
0.2,1.4,16,7.3,5.9,25,2.1,2.2,-82.11734603,-12.60833504,-9.232282291,-13.47956302,-1.117644256,-0.022646836,-1.789879404,-0.90269447,-0.019387549,-1.946511547,-0.056081196,-0.498195877,-2.071699165,-0.213134399,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.9_Rt=2.1_Rp=2.2.log
0.2,1.4,16,7.1,6,25,2.3,2.1,-82.11306452,-12.82313861,-9.086479087,-13.37881566,-1.117644256,-0.023311996,-1.816199683,-0.90269447,-0.020022589,-1.844709972,-0.049376252,-0.415801304,-2.179479027,-0.261150837,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=6.0_Rt=2.3_Rp=2.1.log
0.2,1.4,16,7.1,5.9,25,2.3,2.1,-82.10911372,-12.71645815,-9.349973046,-13.22227764,-1.117644256,-0.024106424,-1.783207717,-0.90269447,-0.020711595,-1.891719257,-0.050090986,-0.419537498,-2.158760529,-0.267417151,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=5.9_Rt=2.3_Rp=2.1.log
0.2,1.4,16,7.1,6,25,2.2,2.3,-82.1086456,-12.72894434,-8.912479349,-13.50547353,-1.117644256,-0.020604918,-1.870683866,-0.90269447,-0.01756275,-1.972152233,-0.052498742,-0.523262391,-2.166241704,-0.214751492,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.1_b=6.0_Rt=2.2_Rp=2.3.log
0.2,1.4,16,7.3,5.9,25,2,2,-82.09245082,-12.47667089,-9.474024243,-13.51115187,-1.117644256,-0.025640059,-1.7466904,-0.90269447,-0.022108432,-1.82640676,-0.059591487,-0.462447887,-2.014452055,-0.22729479,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.3_b=5.9_Rt=2.0_Rp=2.0.log
0.2,1.4,16,7.2,5.9,25,2,1.9,-82.08703792,-12.40217918,-9.599497378,-13.48278465,-1.117644256,-0.02727033,-1.690976297,-0.90269447,-0.023596886,-1.753999637,-0.05991842,-0.440975122,-2.053616209,-0.246457063,3,Done,pentacene_theta=25_cx=0.2_cy=1.4_cz=16_a=7.2_b=5.9_Rt=2.0_Rp=1.9.log
