theta,A2,z,a,b,phi,status
60.0,-10.0,-2.0,5.7,8.5,200,NotYet
60.0,-10.0,-1.8,5.7,8.5,200,NotYet
60.0,-10.0,-1.6,5.8,8.5,200,NotYet
60.0,-10.0,-1.4,5.8,8.5,200,NotYet
60.0,-10.0,-1.2,5.8,8.5,200,NotYet
60.0,-8.0,-2.0,5.7,8.4,200,NotYet
60.0,-8.0,-1.8,5.7,8.4,200,NotYet
60.0,-8.0,-1.6,5.7,8.4,200,NotYet
60.0,-8.0,-1.4,5.7,8.4,200,NotYet
60.0,-8.0,-1.2,5.7,8.4,200,NotYet
60.0,-6.0,-2.0,5.7,8.3,200,NotYet
60.0,-6.0,-1.8,5.7,8.3,200,NotYet
60.0,-6.0,-1.6,5.7,8.3,200,NotYet
60.0,-6.0,-1.4,5.7,8.3,200,NotYet
60.0,-6.0,-1.2,5.7,8.3,200,NotYet
60.0,-4.0,-2.0,5.7,8.2,200,NotYet
60.0,-4.0,-1.8,5.7,8.2,200,NotYet
60.0,-4.0,-1.6,5.7,8.2,200,NotYet
60.0,-4.0,-1.4,5.7,8.2,200,NotYet
60.0,-4.0,-1.2,5.7,8.3,200,NotYet
60.0,-2.0,-2.0,5.8,8.2,200,NotYet
60.0,-2.0,-1.8,5.8,8.2,200,NotYet
60.0,-2.0,-1.6,5.8,8.2,200,NotYet
60.0,-2.0,-1.4,5.8,8.2,200,NotYet
60.0,-2.0,-1.2,5.8,8.2,200,NotYet
60.0,0.0,-2.0,5.8,8.2,200,NotYet
60.0,0.0,-1.8,5.8,8.2,200,NotYet
60.0,0.0,-1.6,5.8,8.2,200,NotYet
60.0,0.0,-1.4,5.8,8.2,200,NotYet
60.0,0.0,-1.2,5.8,8.2,200,NotYet
60.0,2.0,-2.0,5.9,8.2,200,NotYet
60.0,2.0,-1.8,5.9,8.2,200,NotYet
60.0,2.0,-1.6,5.9,8.2,200,NotYet
60.0,2.0,-1.4,5.9,8.2,200,NotYet
60.0,2.0,-1.2,5.9,8.2,200,NotYet
60.0,4.0,-2.0,6.0,8.2,200,NotYet
60.0,4.0,-1.8,6.0,8.2,200,NotYet
60.0,4.0,-1.6,6.0,8.2,200,NotYet
60.0,4.0,-1.4,6.0,8.3,200,NotYet
60.0,4.0,-1.2,6.0,8.3,200,NotYet
60.0,6.0,-2.0,6.1,8.2,200,NotYet
60.0,6.0,-1.8,6.1,8.3,200,NotYet
60.0,6.0,-1.6,6.1,8.3,200,NotYet
60.0,6.0,-1.4,6.1,8.3,200,NotYet
60.0,6.0,-1.2,6.1,8.3,200,NotYet
60.0,8.0,-2.0,6.1,8.3,200,NotYet
60.0,8.0,-1.8,6.1,8.4,200,NotYet
60.0,8.0,-1.6,6.1,8.4,200,NotYet
60.0,8.0,-1.4,6.1,8.4,200,NotYet
60.0,8.0,-1.2,6.1,8.4,200,NotYet
60.0,10.0,-2.0,6.2,8.4,200,NotYet
60.0,10.0,-1.8,6.2,8.4,200,NotYet
60.0,10.0,-1.6,6.2,8.5,200,NotYet
60.0,10.0,-1.4,6.2,8.5,200,NotYet
60.0,10.0,-1.2,6.2,8.5,200,NotYet
