a,b,theta,A2,z,status
8.2,6.0,30.0,-20,-2.0,NotYet
8.2,6.0,30.0,-20,-1.8,NotYet
8.2,6.0,30.0,-20,-1.6,NotYet
8.2,6.0,30.0,-20,-1.4,NotYet
8.2,6.0,30.0,-20,-1.2,NotYet
8.2,6.0,30.0,-20,-1.0,NotYet
8.2,6.0,30.0,-20,-0.8,NotYet
8.2,6.0,30.0,-20,-0.6,NotYet
8.2,6.0,30.0,-20,-0.4,NotYet
8.2,6.0,30.0,-20,-0.2,NotYet
8.2,6.0,30.0,-20,0.0,NotYet
8.2,6.0,30.0,-20,0.2,NotYet
8.2,6.0,30.0,-20,0.4,NotYet
8.2,6.0,30.0,-20,0.6,NotYet
8.2,6.0,30.0,-20,0.8,NotYet
8.2,6.0,30.0,-20,1.0,NotYet
8.2,6.0,30.0,-18,-2.0,NotYet
8.2,6.0,30.0,-18,-1.8,NotYet
8.2,6.0,30.0,-18,-1.6,NotYet
8.2,6.0,30.0,-18,-1.4,NotYet
8.2,6.0,30.0,-18,-1.2,NotYet
8.2,6.0,30.0,-18,-1.0,NotYet
8.2,6.0,30.0,-18,-0.8,NotYet
8.2,6.0,30.0,-18,-0.6,NotYet
8.2,6.0,30.0,-18,-0.4,NotYet
8.2,6.0,30.0,-18,-0.2,NotYet
8.2,6.0,30.0,-18,0.0,NotYet
8.2,6.0,30.0,-18,0.2,NotYet
8.2,6.0,30.0,-18,0.4,NotYet
8.2,6.0,30.0,-18,0.6,NotYet
8.2,6.0,30.0,-18,0.8,NotYet
8.2,6.0,30.0,-18,1.0,NotYet
8.2,6.0,30.0,-16,-2.0,NotYet
8.2,6.0,30.0,-16,-1.8,NotYet
8.2,6.0,30.0,-16,-1.6,NotYet
8.2,6.0,30.0,-16,-1.4,NotYet
8.2,6.0,30.0,-16,-1.2,NotYet
8.2,6.0,30.0,-16,-1.0,NotYet
8.2,6.0,30.0,-16,-0.8,NotYet
8.2,6.0,30.0,-16,-0.6,NotYet
8.2,6.0,30.0,-16,-0.4,NotYet
8.2,6.0,30.0,-16,-0.2,NotYet
8.2,6.0,30.0,-16,0.0,NotYet
8.2,6.0,30.0,-16,0.2,NotYet
8.2,6.0,30.0,-16,0.4,NotYet
8.2,6.0,30.0,-16,0.6,NotYet
8.2,6.0,30.0,-16,0.8,NotYet
8.2,6.0,30.0,-16,1.0,NotYet
8.2,6.0,30.0,-14,-2.0,NotYet
8.2,6.0,30.0,-14,-1.8,NotYet
8.2,6.0,30.0,-14,-1.6,NotYet
8.2,6.0,30.0,-14,-1.4,NotYet
8.2,6.0,30.0,-14,-1.2,NotYet
8.2,6.0,30.0,-14,-1.0,NotYet
8.2,6.0,30.0,-14,-0.8,NotYet
8.2,6.0,30.0,-14,-0.6,NotYet
8.2,6.0,30.0,-14,-0.4,NotYet
8.2,6.0,30.0,-14,-0.2,NotYet
8.2,6.0,30.0,-14,0.0,NotYet
8.2,6.0,30.0,-14,0.2,NotYet
8.2,6.0,30.0,-14,0.4,NotYet
8.2,6.0,30.0,-14,0.6,NotYet
8.2,6.0,30.0,-14,0.8,NotYet
8.2,6.0,30.0,-14,1.0,NotYet
8.2,6.0,30.0,-12,-2.0,NotYet
8.2,6.0,30.0,-12,-1.8,NotYet
8.2,6.0,30.0,-12,-1.6,NotYet
8.2,6.0,30.0,-12,-1.4,NotYet
8.2,6.0,30.0,-12,-1.2,NotYet
8.2,6.0,30.0,-12,-1.0,NotYet
8.2,6.0,30.0,-12,-0.8,NotYet
8.2,6.0,30.0,-12,-0.6,NotYet
8.2,6.0,30.0,-12,-0.4,NotYet
8.2,6.0,30.0,-12,-0.2,NotYet
8.2,6.0,30.0,-12,0.0,NotYet
8.2,6.0,30.0,-12,0.2,NotYet
8.2,6.0,30.0,-12,0.4,NotYet
8.2,6.0,30.0,-12,0.6,NotYet
8.2,6.0,30.0,-12,0.8,NotYet
8.2,6.0,30.0,-12,1.0,NotYet
