cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,status
1.5,-1.1,13.2,7.3,5.8,25,2.1,1.9,-0.7,-2.1,NotYet
1.4,-1.1,13.2,7.3,5.8,25,2.1,1.9,-0.8,-2.4,NotYet
1.4,-1.2,13.2,7.3,5.8,25,2.1,1.9,-0.9,-2.7,NotYet
1.4,-1.2,13.2,7.3,5.8,25,2.1,1.9,-1,-3,NotYet
0.3,1,13.5,7.3,5.8,25,2.1,1.9,-0.7,-2.1,NotYet
0.3,1,13.5,7.3,5.8,25,2.1,1.9,-0.8,-2.4,NotYet
