a,b,theta,A1,A2,Rt,Rp,status
7.2,6,25,0,0,2.1,1.9,NotYet
7.2,6,25,0.5,0,2.1,1.9,NotYet
7.2,6,25,1,0,2.1,1.9,NotYet
7.2,6,25,1.5,0,2.1,1.9,NotYet
7.2,6,25,2,0,2.1,1.9,NotYet
7.2,6,25,0,0.5,2.1,1.9,NotYet
7.2,6,25,0.5,0.5,2.1,1.9,NotYet
7.2,6,25,1,0.5,2.1,1.9,NotYet
7.2,6,25,1.5,0.5,2.1,1.9,NotYet
7.2,6,25,2,0.5,2.1,1.9,NotYet
7.2,6,25,0,1,2.1,1.9,NotYet
7.2,6,25,0.5,1,2.1,1.9,NotYet
7.2,6,25,1,1,2.1,1.9,NotYet
7.2,6,25,1.5,1,2.1,1.9,NotYet
7.2,6,25,2,1,2.1,1.9,NotYet
7.2,6,25,0,1.5,2.1,1.9,NotYet
7.2,6,25,0.5,1.5,2.1,1.9,NotYet
7.2,6,25,1,1.5,2.1,1.9,NotYet
7.2,6,25,1.5,1.5,2.1,1.9,NotYet
7.2,6,25,2,1.5,2.1,1.9,NotYet
7.2,6,25,0,2,2.1,1.9,NotYet
7.2,6,25,0.5,2,2.1,1.9,NotYet
7.2,6,25,1,2,2.1,1.9,NotYet
7.2,6,25,1.5,2,2.1,1.9,NotYet
7.2,6,25,2,2,2.1,1.9,NotYet
