cx,cy,cz,a,b,theta,A1,A2,status
0,5.2,7,5.9,8.2,69,-7,30,NotYet
0,5.2,7.1,5.9,8.2,69,-7,30,NotYet
0,5.1,6.9,6,8.2,68,-5,31,NotYet
0,5.2,6.9,6,8.2,68,-5,31,NotYet
0,5.2,7,6,8.2,68,-5,31,NotYet
0,5.2,7.1,6,8.2,68,-5,31,NotYet
0,5.3,6.9,5.9,8.2,69,-7,30,NotYet
0,5.3,7,5.9,8.2,69,-7,30,NotYet
0,5.3,7.1,5.9,8.2,69,-7,30,NotYet
0,5.3,6.9,6,8.2,68,-5,31,NotYet
0,5.3,7,6,8.2,68,-5,31,NotYet
0,5.3,7.1,6,8.2,68,-5,31,NotYet
0,5.4,6.9,6,8.2,68,-5,31,NotYet
0,5.4,7,6,8.2,68,-5,31,NotYet
0,5.4,7.1,6,8.2,68,-5,31,NotYet
