theta,phi,z,r,status
0.0,70.0,0.2,4.6,NotYet
0.0,70.0,0.3,4.6,NotYet
0.0,70.0,0.4,4.7,NotYet
0.0,70.0,0.5,4.7,NotYet
0.0,70.0,0.6,4.7,NotYet
0.0,70.0,0.7,4.8,NotYet
0.0,70.0,0.8,4.8,NotYet
0.0,70.0,0.9,4.8,NotYet
0.0,70.0,1.0,4.8,NotYet
0.0,70.0,1.1,4.8,NotYet
0.0,70.0,1.2,4.8,NotYet
0.0,70.0,1.3,4.9,NotYet
0.0,70.0,1.4,4.8,NotYet
0.0,70.0,1.5,4.8,NotYet
0.0,75.0,0.0,4.2,NotYet
0.0,75.0,0.1,4.3,NotYet
0.0,75.0,0.2,4.4,NotYet
0.0,75.0,0.3,4.4,NotYet
0.0,75.0,0.4,4.5,NotYet
0.0,75.0,0.5,4.5,NotYet
0.0,75.0,0.6,4.5,NotYet
0.0,75.0,0.7,4.6,NotYet
0.0,75.0,0.8,4.6,NotYet
0.0,75.0,0.9,4.6,NotYet
0.0,75.0,1.0,4.6,NotYet
0.0,75.0,1.1,4.6,NotYet
0.0,75.0,1.2,4.7,NotYet
0.0,75.0,1.3,4.7,NotYet
0.0,75.0,1.4,4.7,NotYet
0.0,75.0,1.5,4.6,NotYet
0.0,80.0,0.0,4.2,NotYet
0.0,80.0,0.1,4.2,NotYet
0.0,80.0,0.2,4.3,NotYet
0.0,80.0,0.3,4.3,NotYet
0.0,80.0,0.4,4.3,NotYet
0.0,80.0,0.5,4.4,NotYet
0.0,80.0,0.6,4.4,NotYet
0.0,80.0,0.7,4.4,NotYet
0.0,80.0,0.8,4.5,NotYet
0.0,80.0,0.9,4.5,NotYet
0.0,80.0,1.0,4.5,NotYet
0.0,80.0,1.1,4.5,NotYet
0.0,80.0,1.2,4.5,NotYet
0.0,80.0,1.3,4.5,NotYet
0.0,80.0,1.4,4.5,NotYet
0.0,80.0,1.5,4.5,NotYet
0.0,85.0,0.0,4.2,NotYet
0.0,85.0,0.1,4.2,NotYet
0.0,85.0,0.2,4.3,NotYet
0.0,85.0,0.3,4.3,NotYet
0.0,85.0,0.4,4.4,NotYet
0.0,85.0,0.5,4.4,NotYet
0.0,85.0,0.6,4.4,NotYet
0.0,85.0,0.7,4.5,NotYet
0.0,85.0,0.8,4.5,NotYet
0.0,85.0,0.9,4.5,NotYet
0.0,85.0,1.0,4.5,NotYet
0.0,85.0,1.1,4.5,NotYet
0.0,85.0,1.2,4.5,NotYet
0.0,85.0,1.3,4.5,NotYet
0.0,85.0,1.4,4.5,NotYet
0.0,85.0,1.5,4.5,NotYet
0.0,90.0,0.0,4.2,NotYet
0.0,90.0,0.1,4.3,NotYet
0.0,90.0,0.2,4.3,NotYet
0.0,90.0,0.3,4.4,NotYet
0.0,90.0,0.4,4.4,NotYet
0.0,90.0,0.5,4.4,NotYet
0.0,90.0,0.6,4.5,NotYet
0.0,90.0,0.7,4.5,NotYet
0.0,90.0,0.8,4.5,NotYet
0.0,90.0,0.9,4.5,NotYet
0.0,90.0,1.0,4.5,NotYet
0.0,90.0,1.1,4.6,NotYet
0.0,90.0,1.2,4.6,NotYet
0.0,90.0,1.3,4.6,NotYet
0.0,90.0,1.4,4.6,NotYet
0.0,90.0,1.5,4.5,NotYet
