a,b,theta,A1,A2,phi_r,status
5.8,8.3,61.5,5,-10,85,NotYet
5.8,8.3,61.5,5,-12,85,NotYet
5.8,8.2,61.5,5,-6,219,NotYet
5.8,8.2,61.5,5,-8,219,NotYet
