a,b,theta,status
5.8,9,0,NotYet
5.9,9,0,NotYet
5.8,8.9,0,NotYet
5.9,8.9,0,NotYet
6,8.9,0,NotYet
6,9,0,NotYet
6,9.1,0,NotYet
5.8,8.8,0,NotYet
5.9,8.8,0,NotYet
6,8.8,0,NotYet
5.9,8.7,0,NotYet
6,8.7,0,NotYet
6.1,8.7,0,NotYet
6.1,8.8,0,NotYet
6.1,8.9,0,NotYet
5.9,8.6,0,NotYet
6,8.6,0,NotYet
6.1,8.6,0,NotYet
5.9,8.5,0,NotYet
6,8.5,0,NotYet
6.1,8.5,0,NotYet
6,8.4,0,NotYet
6.1,8.4,0,NotYet
6.2,8.4,0,NotYet
6.2,8.5,0,NotYet
6.2,8.6,0,NotYet
6,8.3,0,NotYet
6.1,8.3,0,NotYet
6.2,8.3,0,NotYet
6,8.2,0,NotYet
6.1,8.2,0,NotYet
6.2,8.2,0,NotYet
6.1,8.1,0,NotYet
6.2,8.1,0,NotYet
6.3,8.1,0,NotYet
6.3,8.2,0,NotYet
6.3,8.3,0,NotYet
6.1,8,0,NotYet
6.2,8,0,NotYet
6.3,8,0,NotYet
6.2,7.9,0,NotYet
6.3,7.9,0,NotYet
6.4,7.9,0,NotYet
6.4,8,0,NotYet
6.4,8.1,0,NotYet
6.2,7.8,0,NotYet
6.3,7.8,0,NotYet
6.4,7.8,0,NotYet
6.2,7.7,0,NotYet
6.3,7.7,0,NotYet
6.4,7.7,0,NotYet
6.3,7.6,0,NotYet
6.5,7.7,0,NotYet
6.5,7.8,0,NotYet
6.3,7.5,0,NotYet
6.3,7.4,0,NotYet
