a,b,theta,A1,A2,Rt,Rp,status
7.2,6,25,0,0,2.3,2.2,NotYet
7.2,6,25,-0.1,-0.3,2.3,2.2,NotYet
7.2,6,25,-0.2,-0.6,2.3,2.2,NotYet
7.2,6,25,-0.3,-0.9,2.3,2.2,NotYet
7.2,6,25,-0.4,-1.2,2.3,2.2,NotYet
