a,b,theta,A1,A2,status
6,8.5,65,-2,33,NotYet
6,8.5,65,-4,33,NotYet
6,8.5,65,-6,33,NotYet
6,8.5,65,-8,33,NotYet
6,8.5,65,-10,33,NotYet
6,8.5,65,-12,33,NotYet
