a,b,theta,A1,A2,phi_r,status
5.9,8.1,61.5,5,-1,217,NotYet
5.9,8.1,61.5,5,-3,217,NotYet
5.9,8.2,61.5,5,-7,217,NotYet
5.9,8.2,61.5,5,-9,217,NotYet
