a,b,theta,E,E_p1,E_p2,E_t1,machine_type,status,file_name
7.2,11.1,10,-42.35349503066391,-1.989759536227212,-0.6127886155154556,-9.287099681794643,3,Done,coronene_theta=10_a=7.2_b=11.1_cx=0_cy=0_cz=0.log
3.4,21.5,10,-31.289795939577743,-7.53011554479599e-05,-11.50086083530914,-2.0719809166621417,3,Done,coronene_theta=10_a=3.4_b=21.5_cx=0_cy=0_cz=0.log
9.2,9.2,20,-40.620469289133325,-4.492772051948123,-0.1311244897078722,-7.843169051455334,3,Done,coronene_theta=20_a=9.2_b=9.2_cx=0_cy=0_cz=0.log
3.9,20.2,20,-44.66102249408141,-0.0090662646107375,-17.025817811023444,-2.647813585703261,3,Done,coronene_theta=20_a=3.9_b=20.2_cx=0_cy=0_cz=0.log
11.1,7.0,30,-47.72327756858431,-8.462973856017925,-0.0759563203901052,-7.661354303942062,3,Done,coronene_theta=30_a=11.1_b=7.0_cx=0_cy=0_cz=0.log
4.1,19.1,30,-46.41338181891479,-0.0195908623281866,-17.584227664745413,-2.801436191191897,3,Done,coronene_theta=30_a=4.1_b=19.1_cx=0_cy=0_cz=0.log
14.9,5.4,40,-43.37916765548289,-13.02147946273908,-0.0373832806944847,-4.31536054215394,3,Done,coronene_theta=40_a=14.9_b=5.4_cx=0_cy=0_cz=0.log
4.6,17.3,40,-46.77779319090769,-0.0302058213856071,-16.803531805984676,-3.27757948404178,3,Done,coronene_theta=40_a=4.6_b=17.3_cx=0_cy=0_cz=0.log
7.0,10.9,10,-42.991662660148,-2.2905928504187614,-0.7501957351341844,-9.227521372260526,3,Done,coronene_theta=10_a=7.0_b=10.9_cx=0_cy=0_cz=0.log
7.0,11.1,10,-42.18765417672694,-1.989759536227212,-0.7501957351341844,-9.176935908501036,3,Done,coronene_theta=10_a=7.0_b=11.1_cx=0_cy=0_cz=0.log
7.0,11.3,10,-41.171749372268096,-1.6572752454085276,-0.7501957351341844,-9.089201852795668,3,Done,coronene_theta=10_a=7.0_b=11.3_cx=0_cy=0_cz=0.log
7.2,10.9,10,-43.47618321189657,-2.2905928504187614,-0.6127886155154556,-9.417355070007034,3,Done,coronene_theta=10_a=7.2_b=10.9_cx=0_cy=0_cz=0.log
7.2,11.3,10,-41.06513542518951,-1.6572752454085276,-0.6127886155154556,-9.131251925835386,3,Done,coronene_theta=10_a=7.2_b=11.3_cx=0_cy=0_cz=0.log
7.4,10.9,10,-42.58878115890548,-2.2905928504187614,-0.500366433756426,-9.251715647638775,3,Done,coronene_theta=10_a=7.4_b=10.9_cx=0_cy=0_cz=0.log
7.4,11.1,10,-41.27151216752827,-1.989759536227212,-0.500366433756426,-9.07281505689025,3,Done,coronene_theta=10_a=7.4_b=11.1_cx=0_cy=0_cz=0.log
7.4,11.3,10,-39.8247263666708,-1.6572752454085276,-0.500366433756426,-8.877360752085224,3,Done,coronene_theta=10_a=7.4_b=11.3_cx=0_cy=0_cz=0.log
3.2,21.3,10,-6.231558336876333,-0.0001694278325885,0.9526881920173764,-2.034148966311477,3,Done,coronene_theta=10_a=3.2_b=21.3_cx=0_cy=0_cz=0.log
3.2,21.5,10,-6.0679413783364,-7.53011554479599e-05,0.9526881920173764,-1.993291790015064,3,Done,coronene_theta=10_a=3.2_b=21.5_cx=0_cy=0_cz=0.log
3.2,21.7,10,-5.740752644371241,1.2550270184874536e-05,0.9526881920173764,-1.911538532236591,3,Done,coronene_theta=10_a=3.2_b=21.7_cx=0_cy=0_cz=0.log
3.4,21.3,10,-31.643400334520265,-0.0001694278325885,-11.50086083530914,-2.160334952059202,3,Done,coronene_theta=10_a=3.4_b=21.3_cx=0_cy=0_cz=0.log
3.4,21.7,10,-30.81967046740465,1.2550270184874536e-05,-11.50086083530914,-1.9544934743316844,3,Done,coronene_theta=10_a=3.4_b=21.7_cx=0_cy=0_cz=0.log
3.6,21.3,10,-39.21589106461033,-0.0001694278325885,-15.12937403167598,-2.239201036398299,3,Done,coronene_theta=10_a=3.6_b=21.3_cx=0_cy=0_cz=0.log
3.6,21.5,10,-38.710712883621454,-7.53011554479599e-05,-15.12937403167598,-2.11295355448965,3,Done,coronene_theta=10_a=3.6_b=21.5_cx=0_cy=0_cz=0.log
3.6,21.7,10,-38.130539728328586,1.2550270184874536e-05,-15.12937403167598,-1.967954191379249,3,Done,coronene_theta=10_a=3.6_b=21.7_cx=0_cy=0_cz=0.log
