a,b,theta,A2,z,phi,status
8.2,6.0,30,0,0,40,NotYet
8.2,6.0,30,0,0,190,NotYet
5.9,8.3,60,0,0,90,NotYet
5.9,8.3,60,0,0,200,NotYet
5.9,8.3,60,0,0,250,NotYet
