theta,A2,phi,a,b,z,status
30.0,2.0,188,8.3,5.8,-1.8,NotYet
30.0,2.0,188,8.3,5.8,-1.6,NotYet
30.0,2.0,187,8.3,5.9,-1.4,NotYet
30.0,2.0,186,8.4,5.8,-1.2,NotYet
30.0,2.0,186,8.5,5.7,-1.0,NotYet
30.0,2.0,186,8.5,5.6,-0.8,NotYet
30.0,2.0,186,8.6,5.5,-0.6,NotYet
30.0,2.0,186,8.5,5.5,-0.4,NotYet
30.0,2.0,186,8.4,5.6,-0.2,NotYet
30.0,2.0,186,8.3,5.8,0.0,NotYet
30.0,2.0,186,8.1,6.0,0.2,NotYet
30.0,2.0,186,8.0,6.1,0.4,NotYet
30.0,2.0,190,8.0,6.1,0.6,NotYet
30.0,2.0,190,8.0,6.1,0.8,NotYet
30.0,2.0,190,8.0,6.1,1.0,NotYet
30.0,4.0,183,8.4,5.7,-2.0,NotYet
30.0,4.0,183,8.3,5.8,-1.8,NotYet
30.0,4.0,183,8.4,5.8,-1.6,NotYet
30.0,4.0,183,8.4,5.8,-1.4,NotYet
30.0,4.0,182,8.5,5.8,-1.2,NotYet
30.0,4.0,182,8.6,5.7,-1.0,NotYet
30.0,4.0,182,8.6,5.6,-0.8,NotYet
30.0,4.0,182,8.7,5.5,-0.6,NotYet
30.0,4.0,182,8.6,5.5,-0.4,NotYet
30.0,4.0,182,8.5,5.7,-0.2,NotYet
30.0,4.0,183,8.3,5.9,0.0,NotYet
30.0,4.0,183,8.1,6.1,0.2,NotYet
30.0,4.0,183,8.0,6.2,0.4,NotYet
30.0,4.0,186,8.0,6.2,0.6,NotYet
30.0,4.0,188,8.1,6.1,0.8,NotYet
30.0,4.0,187,8.1,6.1,1.0,NotYet
30.0,6.0,180,8.5,5.7,-2.0,NotYet
30.0,6.0,180,8.5,5.7,-1.8,NotYet
30.0,6.0,180,8.6,5.7,-1.6,NotYet
30.0,6.0,180,8.7,5.7,-1.4,NotYet
30.0,6.0,180,8.7,5.7,-1.2,NotYet
30.0,6.0,177,8.7,5.6,-1.0,NotYet
30.0,6.0,180,8.8,5.5,-0.8,NotYet
30.0,6.0,180,8.8,5.5,-0.6,NotYet
30.0,6.0,180,8.7,5.6,-0.4,NotYet
30.0,6.0,180,8.6,5.7,-0.2,NotYet
30.0,6.0,180,8.3,6.0,0.0,NotYet
30.0,6.0,180,8.2,6.1,0.2,NotYet
30.0,6.0,183,8.1,6.2,0.4,NotYet
30.0,6.0,183,8.1,6.2,0.6,NotYet
30.0,6.0,186,8.3,6.1,0.8,NotYet
30.0,6.0,183,8.3,6.0,1.0,NotYet
30.0,8.0,180,8.8,5.6,-2.0,NotYet
30.0,8.0,180,8.9,5.6,-1.8,NotYet
30.0,8.0,173,8.7,5.7,-1.6,NotYet
30.0,8.0,173,8.7,5.7,-1.4,NotYet
30.0,8.0,173,8.8,5.6,-1.2,NotYet
30.0,8.0,173,8.8,5.6,-1.0,NotYet
30.0,8.0,173,8.9,5.5,-0.8,NotYet
30.0,8.0,173,8.8,5.5,-0.6,NotYet
30.0,8.0,173,8.7,5.6,-0.4,NotYet
30.0,8.0,173,8.5,5.9,-0.2,NotYet
30.0,8.0,180,8.5,6.1,0.0,NotYet
30.0,8.0,180,8.3,6.2,0.2,NotYet
30.0,8.0,180,8.2,6.2,0.4,NotYet
30.0,8.0,183,8.3,6.2,0.6,NotYet
30.0,8.0,183,8.4,6.1,0.8,NotYet
30.0,8.0,180,8.4,6.1,1.0,NotYet
30.0,10.0,177,9.1,5.5,-2.0,NotYet
30.0,10.0,169,8.8,5.6,-1.8,NotYet
30.0,10.0,169,8.9,5.6,-1.6,NotYet
30.0,10.0,169,8.9,5.6,-1.4,NotYet
30.0,10.0,169,8.9,5.6,-1.2,NotYet
30.0,10.0,169,9.0,5.5,-1.0,NotYet
30.0,10.0,169,9.0,5.5,-0.8,NotYet
30.0,10.0,169,8.9,5.5,-0.6,NotYet
30.0,10.0,169,8.8,5.7,-0.4,NotYet
30.0,10.0,169,8.5,6.0,-0.2,NotYet
30.0,10.0,177,8.5,6.2,0.0,NotYet
30.0,10.0,180,8.5,6.2,0.2,NotYet
30.0,10.0,180,8.5,6.2,0.4,NotYet
30.0,10.0,180,8.5,6.2,0.6,NotYet
30.0,10.0,180,8.7,6.1,0.8,NotYet
30.0,10.0,180,8.7,6.1,1.0,NotYet
