cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,status
1.5,-0.8,13.3,7.35,5.75,25.5,2.1,1.9,-0.5,-1.5,NotYet
0.2,1.5,13.5,7.35,5.75,25.5,2.1,1.9,-0.5,-1.5,NotYet
1.5,-0.8,13.3,7.35,5.75,25.5,2.1,1.9,-0.6,-1.8,NotYet
0.2,1.5,13.5,7.35,5.75,25.5,2.1,1.9,-0.6,-1.8,NotYet
1.5,-0.8,13.3,7.35,5.8,25.5,2.1,1.9,-0.8,-2.4,NotYet
0.2,1.5,13.5,7.35,5.8,25.5,2.1,1.9,-0.8,-2.4,NotYet
1.5,-0.8,13.3,7.4,5.7,25.5,2.1,1.9,-1,-3,NotYet
0.2,1.5,13.5,7.4,5.7,25.5,2.1,1.9,-1,-3,NotYet
1.5,-0.8,13.3,7.4,5.7,25.5,2.1,1.9,-1.2,-3.6,NotYet
0.2,1.5,13.5,7.4,5.7,25.5,2.1,1.9,-1.2,-3.6,NotYet
