theta,a1,z1,E1,machine_type,status,file_name
0,3.8,1.3,-4.487590701784939,3,Done,C6_theta=0_a1=3.8_z1=1.3_1.log
0,3.8,-1.3,-4.487589446711354,3,Done,C6_theta=0_a1=3.8_z1=-1.3_1.log
