cx,cy,cz,a,b,theta,Rt,Rp,status
0.4,1.4,11,7.4,5.8,25,1.8,1.6,NotYet
0.3,1.4,11,7.4,5.8,25,1.9,1.7,NotYet
0.3,1.4,11,7.4,5.8,25,2,1.8,NotYet
0.2,1.4,11.1,7.3,5.8,25,2.1,1.9,NotYet
1.7,-0.7,10.7,7.4,5.8,25,1.8,1.6,NotYet
1.6,-0.8,10.8,7.4,5.8,25,1.9,1.7,NotYet
1.6,-0.8,11,7.4,5.8,25,2,1.8,NotYet
1.5,-0.9,10.9,7.3,5.8,25,2.1,1.9,NotYet
