theta,A2,a,E1,machine_type,status,file_name
60.0,-2.0,5.8,-5.793128394288942,3,Done,BTBT_theta=60_A2=-2_a=5.8_1.log
60.0,0.0,5.8,-5.215693692443892,3,Done,BTBT_theta=60_A2=0_a=5.8_1.log
60.0,0.0,5.9,-5.249234101735056,3,Done,BTBT_theta=60_A2=0_a=5.9_1.log
60.0,2.0,5.9,-4.640561951790005,3,Done,BTBT_theta=60_A2=2_a=5.9_1.log
60.0,2.0,6.0,-4.676091568078846,3,Done,BTBT_theta=60_A2=2_a=6.0_1.log
60.0,4.0,6.0,-4.099397327983752,3,Done,BTBT_theta=60_A2=4_a=6.0_1.log
60.0,4.0,6.1,-4.153720868518576,3,Done,BTBT_theta=60_A2=4_a=6.1_1.log
60.0,6.0,6.1,-3.659286914393306,3,Done,BTBT_theta=60_A2=6_a=6.1_1.log
60.0,8.0,6.1,-3.1838288626167923,3,Done,BTBT_theta=60_A2=8_a=6.1_1.log
60.0,8.0,6.2,-3.3532753880135715,3,Done,BTBT_theta=60_A2=8_a=6.2_1.log
60.0,10.0,6.2,-3.0295492538716644,3,Done,BTBT_theta=60_A2=10_a=6.2_1.log
