theta,A2,b,z,E2,machine_type,status,file_name
30.0,-2.0,5.8,0.0,-5.793128394288942,3,Done,BTBT_theta=30_A2=-2_b=5.8_z=0.0_2.log
30.0,-2.0,6.0,0.2,-4.549573002150282,3,Done,BTBT_theta=30_A2=-2_b=6.0_z=0.2_2.log
30.0,-2.0,6.2,0.4,-3.594120001187548,3,Done,BTBT_theta=30_A2=-2_b=6.2_z=0.4_2.log
30.0,-2.0,6.2,0.6,-2.941020142985508,3,Done,BTBT_theta=30_A2=-2_b=6.2_z=0.6_2.log
30.0,-2.0,6.3,0.8,-2.939909450476989,3,Done,BTBT_theta=30_A2=-2_b=6.3_z=0.8_2.log
30.0,-2.0,6.2,1.0,-3.090009842300788,3,Done,BTBT_theta=30_A2=-2_b=6.2_z=1.0_2.log
30.0,0.0,6.0,-1.0,-4.246510772500187,3,Done,BTBT_theta=30_A2=0_b=6.0_z=-1.0_2.log
30.0,0.0,5.9,-0.8,-4.840298385126516,3,Done,BTBT_theta=30_A2=0_b=5.9_z=-0.8_2.log
30.0,0.0,5.8,-0.6,-5.6856045559979975,3,Done,BTBT_theta=30_A2=0_b=5.8_z=-0.6_2.log
30.0,0.0,5.7,-0.4,-6.393630363745615,3,Done,BTBT_theta=30_A2=0_b=5.7_z=-0.4_2.log
30.0,0.0,5.8,-0.2,-6.265041014878079,3,Done,BTBT_theta=30_A2=0_b=5.8_z=-0.2_2.log
30.0,0.0,5.9,0.0,-5.249234101735056,3,Done,BTBT_theta=30_A2=0_b=5.9_z=0.0_2.log
30.0,0.0,6.1,0.2,-4.058860181830823,3,Done,BTBT_theta=30_A2=0_b=6.1_z=0.2_2.log
30.0,0.0,6.2,0.4,-3.246052754111588,3,Done,BTBT_theta=30_A2=0_b=6.2_z=0.4_2.log
30.0,0.0,6.3,0.6,-2.968793735606596,3,Done,BTBT_theta=30_A2=0_b=6.3_z=0.6_2.log
30.0,0.0,6.3,0.8,-3.02267174446024,3,Done,BTBT_theta=30_A2=0_b=6.3_z=0.8_2.log
