a,b,theta,status
3.5,11.0,25,NotYet
3.5,11.5,25,NotYet
3.5,12.0,25,NotYet
3.5,12.5,25,NotYet
4.0,10.5,25,NotYet
4.0,11.0,25,NotYet
4.0,11.5,25,NotYet
4.0,12.0,25,NotYet
4.0,12.5,25,NotYet
4.5,9.5,25,NotYet
4.5,10.0,25,NotYet
4.5,10.5,25,NotYet
4.5,11.0,25,NotYet
4.5,11.5,25,NotYet
4.5,12.0,25,NotYet
4.5,12.5,25,NotYet
5.0,8.5,25,NotYet
5.0,9.0,25,NotYet
5.0,9.5,25,NotYet
5.0,10.0,25,NotYet
5.0,10.5,25,NotYet
5.0,11.0,25,NotYet
5.0,11.5,25,NotYet
5.0,12.0,25,NotYet
5.5,7.5,25,NotYet
5.5,8.0,25,NotYet
5.5,8.5,25,NotYet
5.5,9.0,25,NotYet
5.5,9.5,25,NotYet
5.5,10.0,25,NotYet
5.5,10.5,25,NotYet
5.5,11.0,25,NotYet
6.0,6.5,25,NotYet
6.0,7.0,25,NotYet
6.0,7.5,25,NotYet
6.0,8.0,25,NotYet
6.0,8.5,25,NotYet
6.0,9.0,25,NotYet
6.0,9.5,25,NotYet
6.0,10.0,25,NotYet
6.5,5.5,25,NotYet
6.5,6.0,25,NotYet
6.5,6.5,25,NotYet
6.5,7.0,25,NotYet
6.5,7.5,25,NotYet
6.5,8.0,25,NotYet
6.5,8.5,25,NotYet
6.5,9.0,25,NotYet
7.0,5.5,25,NotYet
7.0,6.0,25,NotYet
7.0,6.5,25,NotYet
7.0,7.0,25,NotYet
7.0,7.5,25,NotYet
7.0,8.0,25,NotYet
7.5,5.5,25,NotYet
7.5,6.0,25,NotYet
7.5,6.5,25,NotYet
7.5,7.0,25,NotYet
