a,b,theta,E,E_t1,machine_type,status,file_name
6.8,8.4,10,-7.550967765,-7.550967765,3,Done,pyrene_theta=10_a=6.8_b=8.4.log
6.7,8.4,10,-7.519633053,-7.519633053,3,Done,pyrene_theta=10_a=6.7_b=8.4.log
6.8,8.5,10,-7.453635944,-7.453635944,3,Done,pyrene_theta=10_a=6.8_b=8.5.log
6.7,8.5,10,-7.428541191,-7.428541191,3,Done,pyrene_theta=10_a=6.7_b=8.5.log
6.6,8.4,10,-7.39723911,-7.39723911,3,Done,pyrene_theta=10_a=6.6_b=8.4.log
6.8,8.6,10,-7.349279148,-7.349279148,3,Done,pyrene_theta=10_a=6.8_b=8.6.log
6.7,8.6,10,-7.329013713,-7.329013713,3,Done,pyrene_theta=10_a=6.7_b=8.6.log
6.6,8.5,10,-7.314921721,-7.314921721,3,Done,pyrene_theta=10_a=6.6_b=8.5.log
6.9,8.6,10,-7.301145366,-7.301145366,3,Done,pyrene_theta=10_a=6.9_b=8.6.log
6.8,8.7,10,-7.238859978,-7.238859978,3,Done,pyrene_theta=10_a=6.8_b=8.7.log
6.6,8.6,10,-7.222616255,-7.222616255,3,Done,pyrene_theta=10_a=6.6_b=8.6.log
6.7,8.7,10,-7.222239121,-7.222239121,3,Done,pyrene_theta=10_a=6.7_b=8.7.log
6.9,8.7,10,-7.188982974,-7.188982974,3,Done,pyrene_theta=10_a=6.9_b=8.7.log
6.8,8.8,10,-7.123312797,-7.123312797,3,Done,pyrene_theta=10_a=6.8_b=8.8.log
6.6,8.7,10,-7.121705744,-7.121705744,3,Done,pyrene_theta=10_a=6.6_b=8.7.log
6.7,8.8,10,-7.109338777,-7.109338777,3,Done,pyrene_theta=10_a=6.7_b=8.8.log
7,8.7,10,-7.087419225,-7.087419225,3,Done,pyrene_theta=10_a=7.0_b=8.7.log
6.9,8.8,10,-7.072550376,-7.072550376,3,Done,pyrene_theta=10_a=6.9_b=8.8.log
6.8,8.9,10,-7.003529923,-7.003529923,3,Done,pyrene_theta=10_a=6.8_b=8.9.log
7,8.8,10,-6.971531306,-6.971531306,3,Done,pyrene_theta=10_a=7.0_b=8.8.log
6.9,8.9,10,-6.952576739,-6.952576739,3,Done,pyrene_theta=10_a=6.9_b=8.9.log
7,8.9,10,-6.852704757,-6.852704757,3,Done,pyrene_theta=10_a=7.0_b=8.9.log
3.9,16,10,-2.251817753,-2.251817753,3,Done,pyrene_theta=10_a=3.9_b=16.0.log
3.9,16.1,10,-2.250102768,-2.250102768,3,Done,pyrene_theta=10_a=3.9_b=16.1.log
3.9,16.2,10,-2.23377684,-2.23377684,3,Done,pyrene_theta=10_a=3.9_b=16.2.log
3.9,16.3,10,-2.205150461,-2.205150461,3,Done,pyrene_theta=10_a=3.9_b=16.3.log
3.8,16.1,10,-2.188684599,-2.188684599,3,Done,pyrene_theta=10_a=3.8_b=16.1.log
3.8,16.2,10,-2.188336331,-2.188336331,3,Done,pyrene_theta=10_a=3.8_b=16.2.log
3.8,16.3,10,-2.173232793,-2.173232793,3,Done,pyrene_theta=10_a=3.8_b=16.3.log
3.8,16,10,-2.17165586,-2.17165586,3,Done,pyrene_theta=10_a=3.8_b=16.0.log
3.8,16.4,10,-2.145703929,-2.145703929,3,Done,pyrene_theta=10_a=3.8_b=16.4.log
3.7,16.3,10,-2.126857294,-2.126857294,3,Done,pyrene_theta=10_a=3.7_b=16.3.log
3.7,16.2,10,-2.126291907,-2.126291907,3,Done,pyrene_theta=10_a=3.7_b=16.2.log
3.7,16.4,10,-2.112620347,-2.112620347,3,Done,pyrene_theta=10_a=3.7_b=16.4.log
3.7,16.1,10,-2.108262917,-2.108262917,3,Done,pyrene_theta=10_a=3.7_b=16.1.log
3.8,16.5,10,-2.107807973,-2.107807973,3,Done,pyrene_theta=10_a=3.8_b=16.5.log
3.7,16.5,10,-2.085919169,-2.085919169,3,Done,pyrene_theta=10_a=3.7_b=16.5.log
3.7,16,10,-2.069738196,-2.069738196,3,Done,pyrene_theta=10_a=3.7_b=16.0.log
3.6,16.4,10,-2.065952428,-2.065952428,3,Done,pyrene_theta=10_a=3.6_b=16.4.log
3.6,16.3,10,-2.064933352,-2.064933352,3,Done,pyrene_theta=10_a=3.6_b=16.3.log
3.6,16.5,10,-2.052219372,-2.052219372,3,Done,pyrene_theta=10_a=3.6_b=16.5.log
3.7,16.6,10,-2.048811992,-2.048811992,3,Done,pyrene_theta=10_a=3.7_b=16.6.log
3.6,16.2,10,-2.046477655,-2.046477655,3,Done,pyrene_theta=10_a=3.6_b=16.2.log
3.6,16.6,10,-2.026057225,-2.026057225,3,Done,pyrene_theta=10_a=3.6_b=16.6.log
3.5,16.5,10,-2.005875876,-2.005875876,3,Done,pyrene_theta=10_a=3.5_b=16.5.log
3.5,16.4,10,-2.004848014,-2.004848014,3,Done,pyrene_theta=10_a=3.5_b=16.4.log
3.5,16.6,10,-1.992278361,-1.992278361,3,Done,pyrene_theta=10_a=3.5_b=16.6.log
3.6,16.7,10,-1.989522337,-1.989522337,3,Done,pyrene_theta=10_a=3.6_b=16.7.log
3.5,16.7,10,-1.966370984,-1.966370984,3,Done,pyrene_theta=10_a=3.5_b=16.7.log
3.4,16.6,10,-1.946803339,-1.946803339,3,Done,pyrene_theta=10_a=3.4_b=16.6.log
3.4,16.5,10,-1.946204695,-1.946204695,3,Done,pyrene_theta=10_a=3.4_b=16.5.log
3.4,16.7,10,-1.932996237,-1.932996237,3,Done,pyrene_theta=10_a=3.4_b=16.7.log
7.2,8,15,-7.370333364,-7.370333364,3,Done,pyrene_theta=15_a=7.2_b=8.0.log
7.1,8,15,-7.361569559,-7.361569559,3,Done,pyrene_theta=15_a=7.1_b=8.0.log
7.1,8.1,15,-7.332391599,-7.332391599,3,Done,pyrene_theta=15_a=7.1_b=8.1.log
7.2,8.1,15,-7.324344411,-7.324344411,3,Done,pyrene_theta=15_a=7.2_b=8.1.log
7.1,8.2,15,-7.291343032,-7.291343032,3,Done,pyrene_theta=15_a=7.1_b=8.2.log
7,8,15,-7.272296221,-7.272296221,3,Done,pyrene_theta=15_a=7.0_b=8.0.log
7.2,8.2,15,-7.268469038,-7.268469038,3,Done,pyrene_theta=15_a=7.2_b=8.2.log
7,8.1,15,-7.263929003,-7.263929003,3,Done,pyrene_theta=15_a=7.0_b=8.1.log
7,8.2,15,-7.241442182,-7.241442182,3,Done,pyrene_theta=15_a=7.0_b=8.2.log
7.1,8.3,15,-7.239415952,-7.239415952,3,Done,pyrene_theta=15_a=7.1_b=8.3.log
7,8.3,15,-7.206004182,-7.206004182,3,Done,pyrene_theta=15_a=7.0_b=8.3.log
7.2,8.3,15,-7.203555011,-7.203555011,3,Done,pyrene_theta=15_a=7.2_b=8.3.log
7.3,8.2,15,-7.187879811,-7.187879811,3,Done,pyrene_theta=15_a=7.3_b=8.2.log
7.1,8.4,15,-7.17759304,-7.17759304,3,Done,pyrene_theta=15_a=7.1_b=8.4.log
7.2,8.4,15,-7.130477706,-7.130477706,3,Done,pyrene_theta=15_a=7.2_b=8.4.log
7.3,8.3,15,-7.113166588,-7.113166588,3,Done,pyrene_theta=15_a=7.3_b=8.3.log
7.3,8.4,15,-7.031832507,-7.031832507,3,Done,pyrene_theta=15_a=7.3_b=8.4.log
3.8,15.9,15,-2.226890545,-2.226890545,3,Done,pyrene_theta=15_a=3.8_b=15.9.log
3.8,16,15,-2.225522574,-2.225522574,3,Done,pyrene_theta=15_a=3.8_b=16.0.log
3.8,16.1,15,-2.208625612,-2.208625612,3,Done,pyrene_theta=15_a=3.8_b=16.1.log
3.8,16.2,15,-2.17869464,-2.17869464,3,Done,pyrene_theta=15_a=3.8_b=16.2.log
3.7,16,15,-2.16331688,-2.16331688,3,Done,pyrene_theta=15_a=3.7_b=16.0.log
3.7,16.1,15,-2.162402598,-2.162402598,3,Done,pyrene_theta=15_a=3.7_b=16.1.log
3.7,16.2,15,-2.145969366,-2.145969366,3,Done,pyrene_theta=15_a=3.7_b=16.2.log
