a,b,theta,status
6.75,5.5,25,NotYet
6.75,5.75,25,NotYet
6.75,6.0,25,NotYet
6.75,6.25,25,NotYet
6.75,6.5,25,NotYet
7.0,5.5,25,NotYet
7.0,5.75,25,NotYet
7.0,6.0,25,NotYet
7.0,6.25,25,NotYet
7.0,6.5,25,NotYet
7.25,5.5,25,NotYet
7.25,5.75,25,NotYet
7.25,6.0,25,NotYet
7.25,6.25,25,NotYet
7.25,6.5,25,NotYet
7.5,5.5,25,NotYet
7.5,5.75,25,NotYet
7.5,6.0,25,NotYet
7.5,6.25,25,NotYet
7.5,6.5,25,NotYet
7.75,5.5,25,NotYet
7.75,5.75,25,NotYet
7.75,6.0,25,NotYet
7.75,6.25,25,NotYet
7.75,6.5,25,NotYet
