cx,cy,cz,a,b,theta,A1,A2,E,E_p1,E_p2,E_t,E_i01,E_ip1,E_ip2,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0,6.6,8.9,6.1,8.2,71,-8,32,-52.51770246,-5.439498899,-0.363867949,-7.163861238,-1.355007443,-0.128382271,-0.163626998,-0.071005894,-2.169366704,-2.169366704,-0.071005894,3,Done,anthracene_cx=0_cz=8.9_theta=71_A1=-8_A2=32_a=6.1_b=8.2_cy=6.6.log
0,6.6,8.9,6.1,8.3,71,-8,32,-52.61045095,-5.439498899,-0.337462328,-7.189737868,-1.355007443,-0.128382271,-0.163626998,-0.069314127,-2.181571773,-2.181571773,-0.069314127,3,Done,anthracene_cx=0_cz=8.9_theta=71_A1=-8_A2=32_a=6.1_b=8.3_cy=6.6.log
0,6.6,8.9,6.1,8.4,71,-8,32,-52.48189172,-5.439498899,-0.312941747,-7.163990505,-1.355007443,-0.128382271,-0.163626998,-0.067663776,-2.18908997,-2.18908997,-0.067663776,3,Done,anthracene_cx=0_cz=8.9_theta=71_A1=-8_A2=32_a=6.1_b=8.4_cy=6.6.log
0,6.5,8.9,5.9,8.2,72,-9,32,-52.03726073,-5.441281027,-0.351660369,-6.996424628,-1.387135955,-0.139697531,-0.210022577,-0.076012796,-2.171979028,-2.171979028,-0.076012796,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-9_A2=32_a=5.9_b=8.2_cy=6.5.log
0,6.5,8.9,5.9,8.3,72,-9,32,-52.3204334,-5.441281027,-0.325774326,-7.07191408,-1.387135955,-0.139697531,-0.210022577,-0.074178585,-2.182059976,-2.182059976,-0.074178585,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-9_A2=32_a=5.9_b=8.3_cy=6.5.log
0,6.5,8.9,5.9,8.4,72,-9,32,-52.3562341,-5.441281027,-0.301793404,-7.088792845,-1.387135955,-0.139697531,-0.210022577,-0.072390809,-2.187909624,-2.187909624,-0.072390809,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-9_A2=32_a=5.9_b=8.4_cy=6.5.log
0,6.5,8.9,6,8.2,72,-9,32,-52.54722806,-5.550576954,-0.351660369,-7.07390266,-1.387135955,-0.132799941,-0.195396574,-0.075316888,-2.178802571,-2.178802571,-0.075316888,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-9_A2=32_a=6_b=8.2_cy=6.5.log
0,6.5,8.9,6,8.4,72,-9,32,-52.62249914,-5.550576954,-0.301793404,-7.112903661,-1.387135955,-0.132799941,-0.195396574,-0.071746984,-2.187122726,-2.187122726,-0.071746984,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-9_A2=32_a=6_b=8.4_cy=6.5.log
0,6.5,8.9,6.1,8.2,72,-9,32,-52.54082997,-5.462044078,-0.351660369,-7.126908429,-1.387135955,-0.126239952,-0.181839848,-0.074619724,-2.179219238,-2.179219238,-0.074619724,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-9_A2=32_a=6.1_b=8.2_cy=6.5.log
0,6.5,8.9,6.1,8.3,72,-9,32,-52.574713,-5.462044078,-0.325774326,-7.147593042,-1.387135955,-0.126239952,-0.181839848,-0.072833831,-2.181734298,-2.181734298,-0.072833831,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-9_A2=32_a=6.1_b=8.3_cy=6.5.log
0,6.5,8.9,6.1,8.4,72,-9,32,-52.39837014,-5.462044078,-0.301793404,-7.118142742,-1.387135955,-0.126239952,-0.181839848,-0.071098766,-2.180824409,-2.180824409,-0.071098766,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-9_A2=32_a=6.1_b=8.4_cy=6.5.log
0,6.4,8.9,5.9,8.2,72,-10,31,-52.18521001,-5.669752398,-0.333334567,-6.912153172,-1.530362603,-0.141054208,-0.226462084,-0.078999744,-2.104666657,-2.104666657,-0.078999744,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-10_A2=31_a=5.9_b=8.2_cy=6.4.log
0,6.4,8.9,5.9,8.3,72,-10,31,-52.47664072,-5.669752398,-0.308467601,-6.97869747,-1.530362603,-0.141054208,-0.226462084,-0.077072661,-2.125340602,-2.125340602,-0.077072661,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-10_A2=31_a=5.9_b=8.3_cy=6.4.log
0,6.4,8.9,5.9,8.4,72,-10,31,-52.52699965,-5.669752398,-0.285558466,-6.988892625,-1.530362603,-0.141054208,-0.226462084,-0.075195778,-2.14106663,-2.14106663,-0.075195778,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-10_A2=31_a=5.9_b=8.4_cy=6.4.log
0,6.4,8.9,6,8.2,72,-10,31,-52.59964021,-5.689389696,-0.333334567,-6.992199603,-1.530362603,-0.134176698,-0.210793159,-0.078294423,-2.130387665,-2.130387665,-0.078294423,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-10_A2=31_a=6_b=8.2_cy=6.4.log
0,6.4,8.9,6,8.4,72,-10,31,-52.6891909,-5.689389696,-0.285558466,-7.015832257,-1.530362603,-0.134176698,-0.210793159,-0.07454254,-2.156782618,-2.156782618,-0.07454254,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-10_A2=31_a=6_b=8.4_cy=6.4.log
0,6.4,8.9,6.1,8.2,72,-10,31,-52.54876923,-5.539684635,-0.333334567,-7.048347942,-1.530362603,-0.127664399,-0.195889797,-0.077582199,-2.147794165,-2.147794165,-0.077582199,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-10_A2=31_a=6.1_b=8.2_cy=6.4.log
0,6.4,8.9,6.1,8.3,72,-10,31,-52.58247907,-5.539684635,-0.308467601,-7.060349071,-1.530362603,-0.127664399,-0.195889797,-0.075707827,-2.158528351,-2.158528351,-0.075707827,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-10_A2=31_a=6.1_b=8.3_cy=6.4.log
0,6.4,8.9,6.1,8.4,72,-10,31,-52.41206492,-5.539684635,-0.285558466,-7.024320585,-1.530362603,-0.127664399,-0.195889797,-0.073880517,-2.165235178,-2.165235178,-0.073880517,3,Done,anthracene_cx=0_cz=8.9_theta=72_A1=-10_A2=31_a=6.1_b=8.4_cy=6.4.log
0,6.6,8.9,5.9,8.5,70,-7,32,-52.48231592,-5.5280506,-0.301450784,-7.147786315,-1.238826477,-0.14777233,-0.18420556,-0.067084584,-2.205555205,-2.205555205,-0.067084584,3,Done,anthracene_cx=0_cz=8.9_theta=70_A1=-7_A2=32_a=5.9_b=8.5_cy=6.6.log
0,6.6,8.9,6,8.5,70,-7,32,-52.52157294,-5.556235839,-0.301450784,-7.153610862,-1.238826477,-0.140484429,-0.171226144,-0.066504137,-2.2061664,-2.2061664,-0.066504137,3,Done,anthracene_cx=0_cz=8.9_theta=70_A1=-7_A2=32_a=6_b=8.5_cy=6.6.log
0,6.6,8.9,6.1,8.5,70,-7,32,-52.12651022,-5.414703469,-0.301450784,-7.140940808,-1.238826477,-0.133623235,-0.15907504,-0.065919298,-2.200927947,-2.200927947,-0.065919298,3,Done,anthracene_cx=0_cz=8.9_theta=70_A1=-7_A2=32_a=6.1_b=8.5_cy=6.6.log
