a,b,theta,E,E_t1,machine_type,status,file_name
7.1,6.8,35,-2.562335428374354,-2.562335428374354,3,Done,benzene_theta=35_a=7.1_b=6.8.log
7.1,6.9,35,-2.571716702863341,-2.571716702863341,3,Done,benzene_theta=35_a=7.1_b=6.9.log
7.2,6.9,35,-2.567331035475945,-2.567331035475945,3,Done,benzene_theta=35_a=7.2_b=6.9.log
7.3,6.9,35,-2.545897803909611,-2.545897803909611,3,Done,benzene_theta=35_a=7.3_b=6.9.log
7.1,6.7,30,-2.498309328075265,-2.498309328075265,3,Done,benzene_theta=30_a=7.1_b=6.7.log
7.2,6.7,30,-2.496157596237026,-2.496157596237026,3,Done,benzene_theta=30_a=7.2_b=6.7.log
7.3,6.7,30,-2.4751309911662247,-2.4751309911662247,3,Done,benzene_theta=30_a=7.3_b=6.7.log
7.1,6.4,25,-2.3995461566664744,-2.3995461566664744,3,Done,benzene_theta=25_a=7.1_b=6.4.log
7.2,6.4,25,-2.400056322308956,-2.400056322308956,3,Done,benzene_theta=25_a=7.2_b=6.4.log
7.3,6.2,25,-2.395683205133537,-2.395683205133537,3,Done,benzene_theta=25_a=7.3_b=6.2.log
7.3,6.3,25,-2.3898693249793723,-2.3898693249793723,3,Done,benzene_theta=25_a=7.3_b=6.3.log
7.3,6.4,25,-2.3800870715931524,-2.3800870715931524,3,Done,benzene_theta=25_a=7.3_b=6.4.log
7.0,6.0,20,-2.2570242029614747,-2.2570242029614747,3,Done,benzene_theta=20_a=7.0_b=6.0.log
7.1,6.0,20,-2.2863063296244945,-2.2863063296244945,3,Done,benzene_theta=20_a=7.1_b=6.0.log
7.2,5.8,20,-2.2893805010826327,-2.2893805010826327,3,Done,benzene_theta=20_a=7.2_b=5.8.log
7.2,5.9,20,-2.2901291205198504,-2.2901291205198504,3,Done,benzene_theta=20_a=7.2_b=5.9.log
7.2,6.0,20,-2.2879485232406296,-2.2879485232406296,3,Done,benzene_theta=20_a=7.2_b=6.0.log
7.0,5.5,15,-2.1550845759629738,-2.1550845759629738,3,Done,benzene_theta=15_a=7.0_b=5.5.log
7.1,5.5,15,-2.1826893683173694,-2.1826893683173694,3,Done,benzene_theta=15_a=7.1_b=5.5.log
7.2,5.3,15,-2.190117204212584,-2.190117204212584,3,Done,benzene_theta=15_a=7.2_b=5.3.log
7.2,5.4,15,-2.187090723484289,-2.187090723484289,3,Done,benzene_theta=15_a=7.2_b=5.4.log
7.2,5.5,15,-2.1824829175311606,-2.1824829175311606,3,Done,benzene_theta=15_a=7.2_b=5.5.log
7.0,6.8,35,-2.52886278994265,-2.52886278994265,3,Done,benzene_theta=35_a=7.0_b=6.8.log
7.0,6.9,35,-2.5551121607713867,-2.5551121607713867,3,Done,benzene_theta=35_a=7.0_b=6.9.log
7.0,7.0,35,-2.568702772405232,-2.568702772405232,3,Done,benzene_theta=35_a=7.0_b=7.0.log
7.1,7.0,35,-2.5706424057716504,-2.5706424057716504,3,Done,benzene_theta=35_a=7.1_b=7.0.log
7.2,7.0,35,-2.554526066436665,-2.554526066436665,3,Done,benzene_theta=35_a=7.2_b=7.0.log
7.3,5.8,20,-2.282104522601003,-2.282104522601003,3,Done,benzene_theta=20_a=7.3_b=5.8.log
7.3,5.9,20,-2.2764293221989647,-2.2764293221989647,3,Done,benzene_theta=20_a=7.3_b=5.9.log
7.3,6.0,20,-2.2683269130357075,-2.2683269130357075,3,Done,benzene_theta=20_a=7.3_b=6.0.log
7.2,5.2,15,-2.19139104950591,-2.19139104950591,3,Done,benzene_theta=15_a=7.2_b=5.2.log
7.3,5.2,15,-2.181003248988418,-2.181003248988418,3,Done,benzene_theta=15_a=7.3_b=5.2.log
7.3,5.3,15,-2.1758043286099564,-2.1758043286099564,3,Done,benzene_theta=15_a=7.3_b=5.3.log
7.3,5.4,15,-2.1690397708443925,-2.1690397708443925,3,Done,benzene_theta=15_a=7.3_b=5.4.log
7.1,5.1,15,-2.169703676365316,-2.169703676365316,3,Done,benzene_theta=15_a=7.1_b=5.1.log
7.2,5.1,15,-2.190725261374609,-2.190725261374609,3,Done,benzene_theta=15_a=7.2_b=5.1.log
7.3,5.1,15,-2.1844840469420888,-2.1844840469420888,3,Done,benzene_theta=15_a=7.3_b=5.1.log
