a,b,theta,Rt,Rp,status
7.2,6,25,1.4,1.4,NotYet
7.2,6,25,1.5,1.5,NotYet
7.2,6,25,1.6,1.6,NotYet
7.2,6,25,1.7,1.7,NotYet
7.2,6,25,1.8,1.8,NotYet
7.2,6,25,1.9,1.9,NotYet
7.2,6,25,2,2,NotYet
7.2,6,25,2.1,2.1,NotYet
7.2,6,25,2.3,2.3,NotYet
7.2,6,25,2.4,2.4,NotYet
7.2,6,25,2.5,2.5,NotYet
