a,b,theta,Rt,Rp,status
7.3,5.9,25,2.1,1.7,NotYet
7.3,5.9,25,2.1,1.6,NotYet
7.3,5.9,25,2,1.6,NotYet
7.3,5.9,25,2,1.5,NotYet
7.3,5.9,25,1.9,1.5,NotYet
7.3,5.9,25,1.5,1.5,NotYet
7.3,5.9,25,1.4,1.4,NotYet
7.3,5.9,25,1.3,1.3,NotYet
7.3,5.9,25,1.2,1.2,NotYet
7.3,5.9,25,1.1,1.1,NotYet
7.3,5.9,25,1,1,NotYet
7.3,5.9,25,1,0.9,NotYet
7.3,5.9,25,0.9,0.9,NotYet
7.3,5.9,25,0.8,0.8,NotYet
7.3,5.9,25,0.7,0.7,NotYet
7.3,5.9,25,0.6,0.6,NotYet
7.3,5.9,25,0.5,0.5,NotYet
7.3,5.9,25,0.4,0.4,NotYet
7.3,5.9,25,0.3,0.3,NotYet
7.3,5.9,25,0.2,0.2,NotYet
7.3,5.9,25,0.1,0.1,NotYet
7.3,5.9,25,0,0,NotYet
