theta,z1,z2,a,b,status
5,0.0,0.0,3.7,12.7,NotYet
10,0.0,0.0,3.7,12.6,NotYet
15,0.0,0.0,3.8,12.3,NotYet
20,0.0,0.0,3.8,12.2,NotYet
25,0.0,0.0,3.9,11.9,NotYet
30,0.0,0.0,4.0,11.5,NotYet
35,0.0,0.0,4.2,11.1,NotYet
40,0.0,0.0,4.4,10.6,NotYet
45,0.0,0.0,4.7,10.0,NotYet
