a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,E_m,machine_type,status,file_name,phi_b
5.8,8.3,61.5,5,-11,85,-28.224031827878207,-0.4205509265884757,-7.341151638654992,-9.471748891752211,-9.34068715304602,-1.6498932178365069,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=85_phi_b=0_cx=0_cy=0_cz=0.log,0.0
5.8,8.2,61.5,5,-7,219,-26.923379300395027,-0.4374434959609061,-7.238742006476968,-9.387549599865451,-9.565191405708902,-0.2944527923827991,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-7_a=5.8_b=8.2_phi_r=219_phi_b=0_cx=0_cy=0_cz=0.log,0.0
7.9,6.0,28.5,2,-8,43,-28.25368167634588,-7.685089869657531,-0.4308107154211029,-9.802258408861237,-9.84007843688596,-0.4954442455200478,3,Done,mono-C4-BTBT_theta=28.5_A1=2_A2=-8_a=7.9_b=6.0_phi_r=43_phi_b=0_cx=0_cy=0_cz=0.log,0.0
8.0,5.8,28.5,2,-6,193,-26.820266857743263,-7.760027113719843,-0.3799886804772541,-9.50126068724785,-9.596246875706129,0.4172564994078129,3,Done,mono-C4-BTBT_theta=28.5_A1=2_A2=-6_a=8.0_b=5.8_phi_r=193_phi_b=0_cx=0_cy=0_cz=0.log,0.0
5.8,8.3,61.5,5,-11,84,-28.26585536962375,-0.4215988686773926,-7.335761327878572,-9.460278008831663,-9.562744116643444,-1.4854730475926772,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=84_phi_b=-2_cx=0_cy=0_cz=0.log,-2.0
5.8,8.3,61.5,5,-11,84,-28.21884859527927,-0.421931448741816,-7.329912934452295,-9.46758222556673,-9.357724049361424,-1.641697937157005,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=84_phi_b=0_cx=0_cy=0_cz=0.log,0.0
5.8,8.3,61.5,5,-11,84,-27.59818472980988,-0.4223832560237497,-7.328369259717874,-9.400877912412398,-8.874804904102348,-1.5717493975535035,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=84_phi_b=2_cx=0_cy=0_cz=0.log,2.0
5.8,8.3,61.5,5,-11,85,-28.32683679170441,-0.4202308967942372,-7.34594581509009,-9.501517966156824,-9.568969016196206,-1.49017309746705,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=85_phi_b=-2_cx=0_cy=0_cz=0.log,-2.0
5.8,8.3,61.5,5,-11,85,-27.555463848635554,-0.4209901838330552,-7.340756307239644,-9.384343023761176,-8.825721071683802,-1.5836532621178776,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=85_phi_b=2_cx=0_cy=0_cz=0.log,2.0
5.8,8.3,61.5,5,-11,86,-28.36918116675224,-0.4187311480054632,-7.35657583468128,-9.526235585217364,-9.573562389239669,-1.4940762096084654,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=86_phi_b=-2_cx=0_cy=0_cz=0.log,-2.0
5.8,8.3,61.5,5,-11,86,-28.217806929256767,-0.4190449031302705,-7.352930001216009,-9.466502908151597,-9.321981080225669,-1.6573480365332216,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.8_b=8.3_phi_r=86_phi_b=0_cx=0_cy=0_cz=0.log,0.0
