cx,cy,cz,a,b,theta,A1,A2,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-3.0,4.0,7.3,5.9,8,73,-13,29,-4.310652961954474,-1.096698599460069,-1.0296673537814058,-0.0402472363784909,-0.9979573909076862,-1.0414720718981698,-0.0350376483402214,-0.1645080215821508,-1.6881361871492118,-0.2920996298489626,-0.0453689729911275,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-3.0_cy=4.0_cz=7.3.log
-3.0,4.0,7.4,5.9,8,73,-13,29,-4.338134762685513,-1.095884718990419,-0.9559788544429466,-0.0390104142134077,-0.9232623656862416,-1.0675438573816791,-0.0334437728743068,-0.1568486346222926,-1.80536195775494,-0.2749384864873718,-0.0434236920264083,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-3.0_cy=4.0_cz=7.4.log
-3.0,4.0,7.5,5.9,8,73,-13,29,-4.252161186246667,-1.0601354742539115,-0.8840636984677985,-0.037799947313033,-0.8509556433418766,-1.0532372568850406,-0.0318982158787548,-0.1494026009459048,-1.8432949372800067,-0.258885525574442,-0.0415330043761059,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-3.0_cy=4.0_cz=7.5.log
-2.9,4.0,7.3,5.9,8,73,-13,29,-4.334104893205222,-1.0414720718981698,-0.9979573909076862,-0.0424516790080815,-1.0296673537814058,-1.096698599460069,-0.0366547415615059,-0.1645080215821508,-1.6881361871492118,-0.3119007079221774,-0.0471090582432225,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.9_cy=4.0_cz=7.3.log
-2.9,4.0,7.4,5.9,8,73,-13,29,-4.359836882154923,-1.0675438573816791,-0.9232623656862416,-0.0411207303404808,-0.9559788544429466,-1.095884718990419,-0.0349736422649584,-0.1568486346222926,-1.80536195775494,-0.2931645143544301,-0.0450796908698976,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.9_cy=4.0_cz=7.4.log
-2.9,4.0,7.5,5.9,8,73,-13,29,-4.272305826074444,-1.0532372568850406,-0.8509556433418766,-0.0398199020419269,-0.8840636984677985,-1.0601354742539115,-0.0333439988899044,-0.1494026009459048,-1.8432949372800067,-0.2757241289364174,-0.0431061719718854,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.9_cy=4.0_cz=7.5.log
-2.8,4.0,7.4,5.9,8,73,-13,29,-4.353617003085674,-1.0130659492569976,-0.8831356111331843,-0.0433540384401567,-0.9770776232180652,-1.1009650400374085,-0.0365838329889811,-0.1567231325607281,-1.810508794762427,-0.3125100201577879,-0.046784008067334,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.8_cy=4.0_cz=7.4.log
-2.8,4.0,7.5,5.9,8,73,-13,29,-4.27056856447598,-1.0263842214480974,-0.8121535624959506,-0.0419490435160696,-0.908020775183104,-1.0504523674608208,-0.034865710651502,-0.1492840014398098,-1.846079199167434,-0.2935648657148704,-0.0447276577760931,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.8_cy=4.0_cz=7.5.log
-2.8,4.0,7.6,5.9,8,73,-13,29,-4.113105597672984,-1.0067193130380474,-0.7442645106348209,-0.0405835817218758,-0.8401982394861989,-0.984296498238109,-0.0332040641224011,-0.1420425360556692,-1.8278061079035977,-0.2758929291449021,-0.0427309209480881,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.8_cy=4.0_cz=7.6.log
-2.7,4.1,7.4,5.9,8,73,-13,29,-4.164958003995707,-0.9410064658732152,-0.8051336081698537,-0.0435554690193384,-0.9731575682526454,-1.0397947376477532,-0.0382435970241203,-0.147361938317772,-1.7144225810479838,-0.3357479705009609,-0.0469797911355271,3,Done,naphthalene_a=5.9_b=8_theta=73_A1=-13_A2=29_cx=-2.7_cy=4.1_cz=7.4.log
